rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,train/actor_loss,train/ent_coef,time/fps,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/n_updates,train/learning_rate
-4.240165,166,4,2.1147942543029785,-121.63175201416016,0.017040066421031952,30,1257.0,5028,-169.55679321289062,4927,0.0008459126528049375
-3.318817375,339,8,1.7103016376495361,-127.59942626953125,0.0011427417630329728,29,1257.0,10056,115.291015625,9955,0.0008459126528049375
-2.759922833333334,515,12,2.2767934799194336,-129.826904296875,0.001074535888619721,29,1257.0,15084,-7.799948215484619,14983,0.0008459126528049375
-2.4162299375,692,16,2.286842107772827,-127.40678405761719,0.000854581652674824,29,1257.0,20112,-68.28877258300781,20011,0.0008459126528049375
-2.1998693499999997,4,20,3.3813228607177734,-127.32447814941406,0.0012060938170179725,32,1257.0,25140,101.34664916992188,25039,0.0008459126528049375
-2.0736537083333335,159,24,4.799302577972412,-123.34334564208984,0.0010781973833218217,32,1257.0,30168,13.819512367248535,30067,0.0008459126528049375
-1.9277749642857145,315,28,48.62517166137695,-93.08171081542969,0.001608460210263729,32,1257.0,35196,49.77880859375,35095,0.0008459126528049375
-1.83421584375,471,32,22.908958435058594,-65.07604217529297,0.0008372928132303059,32,1257.0,40224,90.60619354248047,40123,0.0008459126528049375
-1.7773177777777778,627,36,8.095367431640625,-33.118892669677734,0.0007767579518258572,32,1257.0,45252,-76.01191711425781,45151,0.0008459126528049375
-1.7538553499999998,8,40,4.091832160949707,-25.022987365722656,0.0005502079729922116,32,1257.0,50280,-49.40808868408203,50179,0.0008459126528049375
-1.712092568181818,161,44,0.729827880859375,-23.491344451904297,0.00028835132252424955,32,1257.0,55308,19.08146095275879,55207,0.0008459126528049375
-1.6699469583333333,330,48,0.21738412976264954,-21.99329948425293,0.00012481345038395375,31,1257.0,60336,-16.532085418701172,60235,0.0008459126528049375
-1.6301467307692308,511,52,0.4702492356300354,-20.051591873168945,0.0001487028639530763,30,1257.0,65364,-5.972359657287598,65263,0.0008459126528049375
-1.6062726785714285,693,56,0.12565243244171143,-19.152414321899414,0.00013528720592148602,29,1257.0,70392,39.45289993286133,70291,0.0008459126528049375
-1.5888208333333333,15,60,0.23972190916538239,-17.15622901916504,0.00010798469156725332,26,1257.0,75420,-88.21443176269531,75319,0.0008459126528049375
-1.5708079062499998,207,64,1.3378398418426514,-16.693845748901367,9.48798333411105e-05,26,1257.0,80448,87.35638427734375,80347,0.0008459126528049375
-1.5605458235294116,371,68,0.12914589047431946,-16.036949157714844,0.0003393790975678712,28,1257.0,85476,44.67473220825195,85375,0.0008459126528049375
-1.5527149166666665,535,72,0.12945955991744995,-13.4396390914917,9.266718552680686e-05,28,1257.0,90504,39.38978958129883,90403,0.0008459126528049375
-1.5328727631578944,695,76,0.3025889992713928,-10.530353546142578,0.00015726701531093568,29,1257.0,95532,-30.893207550048828,95431,0.0008459126528049375
