train/critic_loss,time/episodes,train/ent_coef,time/fps,rollout/ep_rew_mean,train/actor_loss,train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,train/learning_rate
45.08061218261719,4,0.01940624974668026,66,-4.2902510000000005,-120.68394470214844,4791,1223.0,-162.07029724121094,73,4892,0.0008459126528049375
4.455949783325195,8,0.0013326035114005208,65,-3.2662590000000002,-125.58295440673828,9683,1223.0,90.20490264892578,149,9784,0.0008459126528049375
4.128800392150879,12,0.0010130886221304536,65,-2.6490155000000004,-121.39000701904297,14575,1223.0,8.35989761352539,225,14676,0.0008459126528049375
2.3628339767456055,16,0.0009326239232905209,64,-2.3246446875,-120.85368347167969,19467,1223.0,104.66304016113281,301,19568,0.0008459126528049375
1.9822640419006348,20,0.0006119558238424361,64,-2.10300775,-116.92654418945312,24359,1223.0,21.60332679748535,377,24460,0.0008459126528049375
2.850372314453125,24,0.0007691513746976852,64,-1.9599568750000003,-99.85865783691406,29251,1223.0,-27.64417266845703,67,29352,0.0008459126528049375
13.780729293823242,28,0.0010708158370107412,64,-1.9122933214285716,-72.5804443359375,34143,1223.0,-5.767318248748779,142,34244,0.0008459126528049375
4.908656597137451,32,0.0006755731301382184,64,-1.85116990625,-58.03351974487305,39035,1223.0,13.922545433044434,217,39136,0.0008459126528049375
2.995016098022461,36,0.0002707417879719287,64,-1.840106972222222,-47.92853546142578,43927,1223.0,22.19455909729004,292,44028,0.0008459126528049375
2.1415390968322754,40,0.00024548120563849807,65,-1.839672325,-37.80369186401367,48819,1223.0,-53.13603210449219,367,48920,0.0008459126528049375
1.9513742923736572,44,0.0002064286672975868,65,-1.7980585,-31.18265724182129,53711,1223.0,-41.185089111328125,57,53812,0.0008459126528049375
1.7143268585205078,48,0.00014581000141333789,65,-1.7660746041666666,-24.528696060180664,58603,1223.0,-94.8733139038086,133,58704,0.0008459126528049375
1.6679892539978027,52,0.0001648961624596268,65,-1.7490746730769229,-19.55032730102539,63495,1223.0,-127.18296813964844,208,63596,0.0008459126528049375
1.1948837041854858,56,0.0002623789187055081,65,-1.7192264107142858,-14.212333679199219,68387,1223.0,-76.36689758300781,283,68488,0.0008459126528049375
4.4720563888549805,60,0.0003983346978202462,65,-1.6926986,-4.418640613555908,73279,1223.0,-73.48614501953125,358,73380,0.0008459126528049375
1.657708764076233,64,0.0004178122035227716,63,-1.679134625,1.6970553398132324,78171,1223.0,-34.1531867980957,51,78272,0.0008459126528049375
1.4384229183197021,68,0.00027660667547024786,62,-1.6772581323529412,7.291286468505859,83063,1223.0,90.04202270507812,129,83164,0.0008459126528049375
