time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
4069,512,0,1,,,,,,,,,,,,,
1859,1024,0,2,0.0004092704424510632,0.249755859375,0.1388069708045805,0.2,0.9999834895133972,-43.983723163604736,-0.03154121054103598,0.013561136,-0.0412086546421051,-0.4696958065032959,16,,
1575,1536,0,3,0.0004092704424510632,0.269775390625,0.003171374261000892,0.2,1.0012474060058594,-43.99898624420166,-0.033588509395485744,0.019444035,-0.04104141891002655,-0.13700902462005615,32,-2.239712,1257.0
1459,2048,1,4,0.0004092704424510632,0.3409423828125,0.0413190902909264,0.2,1.0007281303405762,-44.02226436138153,-0.03664893307723105,0.023459177,-0.024060994386672974,-0.0038100481033325195,48,-2.239712,1257.0
1403,2560,1,5,0.0004092704424510632,0.2454833984375,0.002920151069702115,0.2,0.998665988445282,-43.97727298736572,-0.028620860393857583,0.016833065,-0.03992032632231712,0.1276586651802063,64,-2.2608189999999997,1257.0
1367,3072,2,6,0.0004092704424510632,0.3341064453125,0.04961476777680218,0.2,0.9986949563026428,-43.93544268608093,-0.02657078002812341,0.025346808,-0.01612391322851181,0.005578875541687012,80,-2.2608189999999997,1257.0
1343,3584,2,7,0.0004092704424510632,0.330810546875,0.004185210382274818,0.2,0.9983845353126526,-43.940199971199036,-0.029366906179348007,0.019093115,-0.029185893014073372,0.09111106395721436,96,-2.2608189999999997,1257.0
1324,4096,3,8,0.0004092704424510632,0.3260498046875,0.004060212704644073,0.2,0.9984294176101685,-43.932793617248535,-0.029411187628284097,0.020991746,-0.029040371999144554,-0.1436847448348999,112,-2.3021089999999997,1257.0
1309,4608,3,9,0.0004092704424510632,0.3134765625,0.0658760997466743,0.2,0.9973515868186951,-43.9207957983017,-0.029298229434061795,0.01884928,-0.005481494590640068,0.0117378830909729,128,-2.3021089999999997,1257.0
1297,5120,3,10,0.0004092704424510632,0.2587890625,0.002414485214103479,0.2,0.9965230822563171,-43.88230347633362,-0.0279386608308414,0.016981566,-0.03136662021279335,-0.8745834827423096,144,-2.2787309999999996,1257.0
1288,5632,4,11,0.0004092704424510632,0.294189453125,0.0537787617649883,0.2,0.9965673089027405,-43.87205457687378,-0.02557519468246028,0.02139331,-0.006248516961932182,0.0782809853553772,160,-2.2787309999999996,1257.0
1281,6144,4,12,0.0004092704424510632,0.197509765625,0.00297879715799354,0.2,0.9952572584152222,-43.8569153547287,-0.018692842073505744,0.013731474,-0.027885328978300095,0.11215579509735107,176,-2.2787309999999996,1257.0
1274,6656,5,13,0.0004092704424510632,0.2236328125,0.0038416592869907618,0.2,0.99624103307724,-43.83974015712738,-0.02095676216413267,0.016108226,-0.035691648721694946,-0.14810597896575928,192,-2.263254,1257.0
1269,7168,5,14,0.0004092704424510632,0.296630859375,0.05225464457180351,0.2,0.9974316954612732,-43.88180696964264,-0.027548136102268472,0.020481264,-0.024552805349230766,0.04667925834655762,208,-2.263254,1257.0
1259,7680,6,15,0.0004092704424510632,0.25439453125,0.00519680674187839,0.2,0.996212363243103,-43.88758313655853,-0.02799284693901427,0.01897177,-0.04705428332090378,-3.2227001190185547,224,-2.270648833333333,1257.0
1257,8192,6,16,0.0004092704424510632,0.2818603515625,0.06062895758077502,0.2,0.994330644607544,-43.82772767543793,-0.025755503011168912,0.020264406,0.005999952554702759,0.16626936197280884,240,-2.270648833333333,1257.0
1255,8704,6,17,0.0004092704424510632,0.21923828125,0.005378980022214819,0.2,0.9934694170951843,-43.77944219112396,-0.023738503048662096,0.014335472,-0.01777755096554756,-0.07592284679412842,256,-2.270648833333333,1257.0
1251,9216,7,18,0.0004092704424510632,0.2462158203125,0.005045177131250966,0.2,0.9954142570495605,-43.791274666786194,-0.027954250341281295,0.014757477,-0.03620067238807678,-0.15022432804107666,272,-2.3027462857142855,1257.0
1249,9728,7,19,0.0004092704424510632,0.271484375,0.07357342296745628,0.2,0.994733989238739,-43.82470965385437,-0.027563775700400583,0.021314766,-0.01497713290154934,0.08188754320144653,288,-2.3027462857142855,1257.0
1246,10240,8,20,0.0004092704424510632,0.2034912109375,0.011289271773421206,0.2,0.992189884185791,-43.77150571346283,-0.01797735525178723,0.01480129,-0.02074875682592392,-0.2969719171524048,304,-2.299804,1257.0
1245,10752,8,21,0.0004092704424510632,0.2999267578125,0.0692838195245713,0.2,0.9918813109397888,-43.715423941612244,-0.027094036915514152,0.026941694,-0.011457754299044609,0.31138044595718384,320,-2.299804,1257.0
1243,11264,9,22,0.0004092704424510632,0.2099609375,0.010105447130626999,0.2,0.9931400418281555,-43.7355762720108,-0.021998396798153408,0.015765017,-0.02848748117685318,0.0547519326210022,336,-2.299804,1257.0
1241,11776,9,23,0.0004092704424510632,0.259033203125,0.006711997681122739,0.2,0.9948333501815796,-43.783660531044006,-0.02893265860620886,0.019645853,-0.04215497523546219,-0.5719372034072876,352,-2.325682,1257.0
1239,12288,9,24,0.0004092704424510632,0.2891845703125,0.062011408794205636,0.2,0.9944064021110535,-43.81003427505493,-0.024809176742564887,0.026827414,-0.024326927959918976,0.13065111637115479,368,-2.325682,1257.0
