time/fps,train/n_updates,train/critic_loss,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,time/episodes,train/learning_rate
11,4931,1.882049798965454,432,-164.46243286132812,-4.54766725,-124.08736419677734,1258.0,5032,0.017407773062586784,4,0.0008459126528049375
11,9963,5.4435014724731445,902,19.70232391357422,-3.57767125,-130.43692016601562,1258.0,10064,0.0012780658435076475,8,0.0008459126528049375
10,14995,5.525393486022949,1373,2.6418023109436035,-2.9005755833333335,-135.72698974609375,1258.0,15096,0.0010035289451479912,12,0.0008459126528049375
10,20027,3.371490478515625,1842,-7.56886100769043,-2.5345128125,-139.931396484375,1258.0,20128,0.0004992909380234778,16,0.0008459126528049375
10,25059,7.9225754737854,14,-35.662532806396484,-2.34582495,-122.51457214355469,1258.0,25160,0.0017437139758840203,20,0.0008459126528049375
10,30091,7.706552028656006,482,70.20967864990234,-2.252372625,-105.20046997070312,1258.0,30192,0.0007115984335541725,24,0.0008459126528049375
10,35123,3.410349130630493,948,-52.22014236450195,-2.1763336428571427,-94.9901351928711,1258.0,35224,0.0009252959862351418,28,0.0008459126528049375
10,40155,6.62809419631958,1420,-15.537468910217285,-2.088364125,-81.27557373046875,1258.0,40256,0.0005840008379891515,32,0.0008459126528049375
10,45187,4.4886698722839355,1887,-22.314823150634766,-2.025037277777778,-76.54369354248047,1258.0,45288,0.0006837901892140508,36,0.0008459126528049375
10,50219,5.784956455230713,30,-24.255701065063477,-1.9900509249999998,-60.67318344116211,1258.0,50320,0.0009245484252460301,40,0.0008459126528049375
10,55251,38.85252380371094,498,14.322134017944336,-1.952048,-46.162899017333984,1258.0,55352,0.0024606529623270035,44,0.0008459126528049375
10,60283,15.200695037841797,955,-77.11689758300781,-1.9153342083333333,-38.773033142089844,1258.0,60384,0.001242293044924736,48,0.0008459126528049375
10,65315,4.430190086364746,1422,22.601987838745117,-1.8714022307692306,-35.204715728759766,1258.0,65416,0.0016486872918903828,52,0.0008459126528049375
10,70347,8.388772010803223,1882,19.273523330688477,-1.838753142857143,-23.980741500854492,1258.0,70448,0.0013635517098009586,56,0.0008459126528049375
10,75379,22.40915298461914,46,18.37840461730957,-1.8139999000000004,-8.762548446655273,1258.0,75480,0.003909384366124868,60,0.0008459126528049375
10,80411,7.589626312255859,535,-35.13209533691406,-1.795059296875,3.72102952003479,1258.0,80512,0.0006377598620019853,64,0.0008459126528049375
10,85443,2.821920394897461,1031,-4.142925262451172,-1.7716893529411766,9.00904369354248,1258.0,85544,0.0009428950143046677,68,0.0008459126528049375
10,90475,2.1164746284484863,1513,-40.71470642089844,-1.7687323611111112,17.405366897583008,1258.0,90576,0.0006914722034707665,72,0.0008459126528049375
