train/actor_loss,time/time_elapsed,time/total_timesteps,train/critic_loss,time/fps,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean
-122.67032623291016,65,5032,1.4044809341430664,76,0.0008459126528049375,0.01726476103067398,-163.0843505859375,4931,-4.65605125,4,1258.0
-126.6457748413086,133,10064,3.6138014793395996,75,0.0008459126528049375,0.0010071824071928859,-20.593162536621094,9963,-3.718684375,8,1258.0
-114.43571472167969,201,15096,7.276419162750244,74,0.0008459126528049375,0.0014573646476492286,-43.29251480102539,14995,-3.090462666666667,12,1258.0
-102.51337432861328,270,20128,15.934480667114258,74,0.0008459126528049375,0.0016224234132096171,-6.053056240081787,20027,-2.743518875,16,1258.0
-88.2400131225586,2,25160,7.442530632019043,74,0.0008459126528049375,0.000962478166911751,7.900814533233643,25059,-2.57337915,20,1258.0
-80.56219482421875,70,30192,6.586936950683594,73,0.0008459126528049375,0.0006054420955479145,4.187387466430664,30091,-2.420147958333333,24,1258.0
-77.75178527832031,138,35224,2.530790328979492,73,0.0008459126528049375,0.0008305262308567762,-26.590782165527344,35123,-2.3378594642857142,28,1258.0
-68.23491668701172,206,40256,5.778828144073486,73,0.0008459126528049375,0.0006993942079134285,24.97986602783203,40155,-2.2945154375000003,32,1258.0
-66.25146484375,274,45288,3.0796337127685547,73,0.0008459126528049375,0.0005242733750492334,-1.829056978225708,45187,-2.234940361111111,36,1258.0
-54.75049591064453,4,50320,7.097704887390137,74,0.0008459126528049375,0.0003672782040666789,-26.335163116455078,50219,-2.1834350000000002,40,1258.0
-46.157142639160156,72,55352,3.767158031463623,73,0.0008459126528049375,0.0006187709514051676,-18.606388092041016,55251,-2.129376,44,1258.0
-38.982421875,140,60384,9.219078063964844,73,0.0008459126528049375,0.0006762444390915334,-40.75215148925781,60283,-2.0841102083333336,48,1258.0
-28.243873596191406,209,65416,5.375760078430176,73,0.0008459126528049375,0.0006109726382419467,-17.593767166137695,65315,-2.0576767692307696,52,1258.0
-22.366085052490234,278,70448,7.296513557434082,73,0.0008459126528049375,0.0005260164616629481,-14.769357681274414,70347,-2.0184326964285715,56,1258.0
-18.474533081054688,6,75480,2.5138309001922607,71,0.0008459126528049375,0.0008820184739306569,-33.2773551940918,75379,-1.9892964833333333,60,1258.0
-7.3676838874816895,78,80512,4.618558883666992,70,0.0008459126528049375,0.000538229534868151,24.97850227355957,80411,-1.9670487031250001,64,1258.0
2.156437397003174,151,85544,10.280911445617676,69,0.0008459126528049375,0.0007347319042310119,-52.158355712890625,85443,-1.9397995,68,1258.0
15.497556686401367,225,90576,10.135435104370117,69,0.0008459126528049375,0.0010790624655783176,-33.0405158996582,90475,-1.9109783055555556,72,1258.0
27.26430320739746,300,95608,8.493431091308594,68,0.0008459126528049375,0.0014443377731367946,-18.98038673400879,95507,-1.8907811710526314,76,1258.0
