train/n_updates,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,time/fps,time/time_elapsed,train/ent_coef_loss,time/episodes,train/actor_loss,train/learning_rate,time/total_timesteps
4931,1.8578122854232788,-5.37652575,0.016951026394963264,1258.0,57,87,-182.93600463867188,4,-121.59891510009766,0.0008459126528049375,5032
9963,8.222467422485352,-4.306242624999999,0.0011512014316394925,1258.0,56,177,1.818870186805725,8,-126.53854370117188,0.0008459126528049375,10064
14995,7.290543079376221,-3.620630166666667,0.0019262703135609627,1258.0,56,266,-37.91456604003906,12,-115.7060546875,0.0008459126528049375,15096
20027,6.729066371917725,-3.2803008124999997,0.0013423522468656301,1258.0,56,355,172.03126525878906,16,-89.7228012084961,0.0008459126528049375,20128
25059,3.2351770401000977,-3.04031145,0.0009474872495047748,1258.0,50,3,18.499217987060547,20,-79.52296447753906,0.0008459126528049375,25160
30091,1.2600069046020508,-2.9036879166666663,0.0006058680592104793,1258.0,55,92,102.71160888671875,24,-70.65506744384766,0.0008459126528049375,30192
35123,48.090003967285156,-2.795544285714285,0.0003903056785929948,1258.0,56,180,-54.538970947265625,28,-67.64190673828125,0.0008459126528049375,35224
40155,4.909725666046143,-2.70567125,0.0012328047305345535,1258.0,57,263,13.263484001159668,32,-54.889564514160156,0.0008459126528049375,40256
45187,1.5933585166931152,-2.636464888888889,0.0006634534802287817,1258.0,58,346,14.079405784606934,36,-49.315853118896484,0.0008459126528049375,45288
50219,4.0174407958984375,-2.5697234250000003,0.0008295660372823477,1258.0,50,6,25.568092346191406,40,-43.472625732421875,0.0008459126528049375,50320
55251,1.657989263534546,-2.519997363636364,0.0009412140934728086,1258.0,54,98,-49.28309631347656,44,-41.384239196777344,0.0008459126528049375,55352
60283,1.3975579738616943,-2.4902026250000002,0.0007192312623374164,1258.0,55,185,-40.22170639038086,48,-39.8547477722168,0.0008459126528049375,60384
65315,6.890615940093994,-2.458599884615385,0.0009930229280143976,1258.0,56,274,23.484962463378906,52,-26.437332153320312,0.0008459126528049375,65416
70347,3.8449978828430176,-2.413540535714286,0.00041088004945777357,1258.0,56,361,57.70180892944336,56,-23.771427154541016,0.0008459126528049375,70448
75379,4.849948406219482,-2.3745670333333337,0.0007257667020894587,1258.0,59,8,-48.22518539428711,60,-16.741043090820312,0.0008459126528049375,75480
80411,6.686981201171875,-2.3593613437500003,0.0014498993987217546,1258.0,59,93,-33.733245849609375,64,-8.448862075805664,0.0008459126528049375,80512
85443,4.657674789428711,-2.3334165147058825,0.0012394777731969953,1258.0,58,179,-36.87339401245117,68,-5.404902458190918,0.0008459126528049375,85544
90475,4.4183244705200195,-2.311936625,0.001075378037057817,1258.0,54,283,8.980925559997559,72,1.2123477458953857,0.0008459126528049375,90576
95507,3.9153800010681152,-2.3014578815789477,0.0009961373871192336,1258.0,53,385,38.82038116455078,76,6.877893447875977,0.0008459126528049375,95608
