time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/std,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
512,4099,0,1,,,,,,,,,,,,,
1024,1850,0,2,-43.98468375205994,0.22992793007506407,-0.025723658502101898,-0.023152069639763795,16,0.0004092704424510632,0.2,-1.2917215824127197,0.2042236328125,0.9997771382331848,0.017314967,,
1536,1591,0,3,-43.97110152244568,0.010943371860776097,-0.03459777683019638,-0.028901659708935767,32,0.0004092704424510632,0.2,0.0006098151206970215,0.2886962890625,0.9990445375442505,0.020873517,-2.739962,1258.0
2048,1483,1,4,-43.94231593608856,0.0020193717573420145,-0.03301326557993889,-0.028190732788061723,48,0.0004092704424510632,0.2,0.007856965065002441,0.27001953125,0.9981216192245483,0.016385302,-2.739962,1258.0
2560,1422,1,5,-43.93225157260895,0.003513227879011538,-0.02833733521401882,-0.028296596370637417,64,0.0004092704424510632,0.2,0.0041231513023376465,0.2838134765625,0.9987216591835022,0.019349474,-2.6807415,1258.0
3072,1383,2,6,-43.941999077796936,0.006640994368353859,-0.03350557014346123,-0.029267255682498217,80,0.0004092704424510632,0.2,0.00010073184967041016,0.33349609375,0.9984224438667297,0.021131061,-2.6807415,1258.0
3584,1360,2,7,-43.935784697532654,0.0033552461027284153,-0.01876411959528923,-0.02446255658287555,96,0.0004092704424510632,0.2,0.0020043253898620605,0.2327880859375,0.9987887144088745,0.015790634,-2.6807415,1258.0
4096,1344,3,8,-43.95410883426666,0.013789068209007382,-0.030996564775705338,-0.024069144390523434,112,0.0004092704424510632,0.2,0.00022357702255249023,0.25439453125,0.9992789030075073,0.02031196,-2.736175,1258.0
4608,1332,3,9,-43.95400524139404,0.011003823092323728,-0.015702633187174797,-0.023068190144840628,128,0.0004092704424510632,0.2,0.0029416680335998535,0.2763671875,0.998717725276947,0.019945543,-2.736175,1258.0
5120,1321,3,10,-43.94744038581848,0.012415175966452807,-0.027836287394165993,-0.02298792137298733,144,0.0004092704424510632,0.2,0.001517176628112793,0.2738037109375,0.9995244145393372,0.018260796,-2.74813525,1258.0
5632,1313,4,11,-43.96525502204895,0.02085069546592422,-0.023481551557779312,-0.02568417802103795,160,0.0004092704424510632,0.2,0.001444399356842041,0.285888671875,0.999117910861969,0.023775954,-2.74813525,1258.0
6144,1306,4,12,-43.923948526382446,0.002588771571026882,-0.02485244907438755,-0.024066470097750425,176,0.0004092704424510632,0.2,0.0030201077461242676,0.219482421875,0.9974346160888672,0.0150139015,-2.74813525,1258.0
6656,1300,5,13,-43.87821578979492,0.011962100834352896,-0.02887757122516632,-0.027205879683606327,192,0.0004092704424510632,0.2,0.0035942792892456055,0.2781982421875,0.9960165619850159,0.027464423,-2.7477177999999998,1258.0
7168,1294,5,14,-43.846365094184875,0.03416850388748571,-0.021185655146837234,-0.028820328996516764,208,0.0004092704424510632,0.2,0.0039591193199157715,0.2784423828125,0.9959400296211243,0.029562008,-2.7477177999999998,1258.0
7680,1290,5,15,-43.83526110649109,0.009377560185384937,-0.03633260354399681,-0.02936929275165312,224,0.0004092704424510632,0.2,0.0389171838760376,0.2958984375,0.9950639009475708,0.02838891,-2.742979333333333,1258.0
