time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/std,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
512,4176,0,1,,,,,,,,,,,,,
1024,1968,0,2,-43.967305421829224,0.09834283384407172,-0.04523443430662155,-0.03325402885093354,16,0.0004092704424510632,0.2,-0.6356819868087769,0.26220703125,0.9987555742263794,0.017596923,,
1536,1676,0,3,-43.935930609703064,0.014338945708004758,-0.029735418036580086,-0.029655456048203632,32,0.0004092704424510632,0.2,-0.006271243095397949,0.2825927734375,0.9979055523872375,0.017739108,-2.573341,1258.0
2048,1559,1,4,-43.89571988582611,0.006996561118285172,-0.02823687717318535,-0.0243824731442146,48,0.0004092704424510632,0.2,-0.015888452529907227,0.2958984375,0.9961599707603455,0.022435382,-2.573341,1258.0
2560,1498,1,5,-43.864691615104675,0.003025125537533313,-0.04405709728598595,-0.033331277954857796,64,0.0004092704424510632,0.2,-0.016743183135986328,0.2991943359375,0.9964775443077087,0.017125912,-2.747983,1258.0
3072,1462,2,6,-43.872981548309326,0.016648997989250347,-0.03415456786751747,-0.02848227706272155,80,0.0004092704424510632,0.2,-0.002836465835571289,0.3609619140625,0.9964066743850708,0.028393444,-2.747983,1258.0
3584,1430,2,7,-43.88160479068756,0.002724509104155004,-0.04503118246793747,-0.032989924075081944,96,0.0004092704424510632,0.2,0.004159510135650635,0.325927734375,0.9973623156547546,0.029567814,-2.747983,1258.0
4096,1409,2,8,-43.89481222629547,0.01286321334191598,-0.03614861145615578,-0.027984880580333993,112,0.0004092704424510632,0.2,0.013271331787109375,0.3150634765625,0.9968616366386414,0.02336454,-2.711092333333333,1258.0
4608,1396,3,9,-43.86329793930054,0.027659194136504084,-0.03364647179841995,-0.029643628469784744,128,0.0004092704424510632,0.2,0.011827528476715088,0.294189453125,0.9955576062202454,0.018899897,-2.711092333333333,1258.0
5120,1385,3,10,-43.82071793079376,0.009905939718009904,-0.03339904919266701,-0.030524561705533415,144,0.0004092704424510632,0.2,0.08481490612030029,0.3438720703125,0.9943295121192932,0.028713359,-2.744992,1258.0
5632,1375,4,11,-43.78315603733063,0.036502462869975716,-0.021322449669241905,-0.025768480569240637,160,0.0004092704424510632,0.2,0.027203917503356934,0.291259765625,0.992999792098999,0.020239215,-2.744992,1258.0
6144,1364,4,12,-43.74623215198517,0.0024033421868807636,-0.044363562017679214,-0.0290959216945339,176,0.0004092704424510632,0.2,-0.1765221357345581,0.246337890625,0.9919857382774353,0.01799561,-2.744992,1258.0
6656,1355,4,13,-43.73477518558502,0.013896901917178184,-0.019587546586990356,-0.027241497016802896,192,0.0004092704424510632,0.2,0.0535048246383667,0.2835693359375,0.9930209517478943,0.025915274,-2.7762719999999996,1258.0
7168,1351,5,14,-43.76149654388428,0.04313269292470068,-0.02707725390791893,-0.03230988353607245,208,0.0004092704424510632,0.2,0.03108072280883789,0.304931640625,0.9925998449325562,0.02937869,-2.7762719999999996,1258.0
7680,1345,5,15,-43.721585512161255,0.006645508037763648,-0.03801698610186577,-0.030205816627130844,224,0.0004092704424510632,0.2,0.2628670930862427,0.2969970703125,0.9910144209861755,0.024580643,-2.764584166666667,1258.0
8192,1342,6,16,-43.71510469913483,0.03909235820174217,-0.023064468055963516,-0.023187412836705334,240,0.0004092704424510632,0.2,0.17796844244003296,0.2442626953125,0.9926624894142151,0.017319173,-2.764584166666667,1258.0
8704,1339,6,17,-43.76183462142944,0.0026749884673336055,-0.034834861755371094,-0.0222198825358646,256,0.0004092704424510632,0.2,-1.912414789199829,0.21337890625,0.9933735132217407,0.013937153,-2.764584166666667,1258.0
9216,1336,6,18,-43.74364471435547,0.009628888437873684,-0.03180699795484543,-0.028345358616206795,272,0.0004092704424510632,0.2,0.0753602385520935,0.2760009765625,0.9912949800491333,0.020346362,-2.7405155714285714,1258.0
9728,1332,7,19,-43.6722537279129,0.041443009104114026,-0.01102813333272934,-0.022047051024856046,288,0.0004092704424510632,0.2,0.12435847520828247,0.26025390625,0.9895373582839966,0.02169814,-2.7405155714285714,1258.0
10240,1330,7,20,-43.64792501926422,0.008733140173717402,-0.026758801192045212,-0.026693923049606383,304,0.0004092704424510632,0.2,-0.9095338582992554,0.247802734375,0.9896668791770935,0.01750585,-2.720928625,1258.0
10752,1328,8,21,-43.65904772281647,0.05413722898811102,-0.02674679085612297,-0.03150035008729901,320,0.0004092704424510632,0.2,0.2678503394126892,0.3031005859375,0.9899419546127319,0.02811684,-2.720928625,1258.0
11264,1327,8,22,-43.62298011779785,0.005005059596442152,-0.01682179979979992,-0.021349721937440336,336,0.0004092704424510632,0.2,-3.2308950424194336,0.212890625,0.987026035785675,0.018734254,-2.720928625,1258.0
11776,1326,8,23,-43.53470194339752,0.012570398481329903,-0.030416343361139297,-0.024808036192553118,352,0.0004092704424510632,0.2,0.16917675733566284,0.273681640625,0.9852514863014221,0.022763025,-2.732123777777778,1258.0
12288,1326,9,24,-43.48906111717224,0.06006819708272815,-0.005736701190471649,-0.020491485905949958,368,0.0004092704424510632,0.2,0.18729078769683838,0.2496337890625,0.9836981892585754,0.025603853,-2.732123777777778,1258.0
