train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/ent_coef
-120.24200439453125,1257.0,-172.1240692138672,26,4927,0.0008459126528049375,1.927710771560669,5028,-4.85036425,191,4,0.017027053982019424
-122.27275085449219,1257.0,38.43159866333008,27,9955,0.0008459126528049375,20.363033294677734,10056,-3.772724,370,8,0.0011069935280829668
-120.35799407958984,1257.0,-12.362709045410156,27,14983,0.0008459126528049375,5.127640247344971,15084,-2.9890375833333334,554,12,0.0008908453164622188
-109.76518249511719,1257.0,75.71744537353516,27,20011,0.0008459126528049375,4.882458686828613,20112,-2.580763625,735,16,0.0007300825091078877
-101.3700180053711,1257.0,-30.27903175354004,34,25039,0.0008459126528049375,9.879438400268555,25140,-2.3906075,4,20,0.0015178753528743982
-87.54183197021484,1257.0,-7.383681774139404,34,30067,0.0008459126528049375,3.100759506225586,30168,-2.259647166666667,151,24,0.0011008793953806162
-78.02606201171875,1257.0,27.082080841064453,34,35095,0.0008459126528049375,3.6086983680725098,35196,-2.164250785714286,299,28,0.0011918599484488368
-43.75056457519531,1257.0,52.639366149902344,33,40123,0.0008459126528049375,27.225887298583984,40224,-2.0548787500000003,447,32,0.0023186092730611563
-35.06208801269531,1257.0,-84.92997741699219,33,45151,0.0008459126528049375,12.090085983276367,45252,-2.013994361111111,596,36,0.0011242909822613
-28.589046478271484,1257.0,9.228163719177246,34,50179,0.0008459126528049375,4.8825764656066895,50280,-1.976027525,8,40,0.0005435067578218877
-14.091775894165039,1257.0,12.746241569519043,32,55207,0.0008459126528049375,19.84539031982422,55308,-1.934234659090909,162,44,0.002142788842320442
-10.528274536132812,1257.0,27.211181640625,32,60235,0.0008459126528049375,5.531447410583496,60336,-1.9000481666666669,314,48,0.0009218662162311375
-9.967472076416016,1257.0,75.29000091552734,32,65263,0.0008459126528049375,4.231568336486816,65364,-1.8806484615384613,465,52,0.001484439242631197
-2.134852409362793,1257.0,-36.460693359375,32,70291,0.0008459126528049375,6.174086570739746,70392,-1.8784592142857142,618,56,0.0009360111434943974
4.787717342376709,1257.0,-56.286468505859375,31,75319,0.0008459126528049375,3.826935291290283,75420,-1.8531942666666668,13,60,0.0010551291052252054
14.255969047546387,1257.0,46.45903396606445,30,80347,0.0008459126528049375,5.804539203643799,80448,-1.836673515625,176,64,0.0005396894994191825
28.58493423461914,1257.0,-36.608131408691406,30,85375,0.0008459126528049375,7.660515785217285,85476,-1.8207660882352938,342,68,0.0017959857359528542
35.65666198730469,1257.0,-19.698740005493164,30,90403,0.0008459126528049375,3.128866672515869,90504,-1.820873402777778,508,72,0.0009373702923767269
45.5926628112793,1257.0,30.50611686706543,30,95431,0.0008459126528049375,5.998594284057617,95532,-1.8121083157894742,675,76,0.0005694348365068436
