train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/ent_coef
-121.00434875488281,1257.0,-179.32330322265625,30,4927,0.0008459126528049375,2.5636723041534424,5028,-4.516595000000001,163,4,0.01727408356964588
-117.43540954589844,1257.0,-63.27708435058594,30,9955,0.0008459126528049375,3.6318752765655518,10056,-3.584530625,329,8,0.0019672499038279057
-100.31869506835938,1257.0,-59.70652770996094,30,14983,0.0008459126528049375,3.283334255218506,15084,-2.984766833333333,492,12,0.000859037390910089
-88.52625274658203,1257.0,3.1083056926727295,31,20011,0.0008459126528049375,3.174499750137329,20112,-2.6646643125000002,633,16,0.0005682879709638655
-85.60355377197266,1257.0,80.7820816040039,36,25039,0.0008459126528049375,10.645384788513184,25140,-2.3930424500000003,3,20,0.0008367986883968115
-81.23765563964844,1257.0,24.172489166259766,35,30067,0.0008459126528049375,6.005890846252441,30168,-2.289690166666667,143,24,0.0005596087430603802
-76.46973419189453,1257.0,45.92020797729492,36,35095,0.0008459126528049375,1.678377628326416,35196,-2.194433857142857,282,28,0.0008047663723118603
-64.76741027832031,1257.0,51.05724334716797,36,40123,0.0008459126528049375,15.58936882019043,40224,-2.091728875,421,32,0.0010961942607536912
-62.488792419433594,1257.0,101.89624786376953,36,45151,0.0008459126528049375,9.424714088439941,45252,-2.02916875,560,36,0.0006111722905188799
-45.44905471801758,1257.0,-41.63206481933594,36,50179,0.0008459126528049375,6.44570255279541,50280,-1.9793553000000004,7,40,0.0007944861426949501
-41.307830810546875,1257.0,-21.41254234313965,36,55207,0.0008459126528049375,1.8319544792175293,55308,-1.934867204545455,145,44,0.0007413233397528529
-36.73876190185547,1257.0,-61.904911041259766,36,60235,0.0008459126528049375,6.942193984985352,60336,-1.8922381666666668,284,48,0.0005526488530449569
-33.382652282714844,1257.0,33.944637298583984,36,65263,0.0008459126528049375,26.71292495727539,65364,-1.858246134615385,422,52,0.0006997004384174943
-30.18911361694336,1257.0,9.901124954223633,37,70291,0.0008459126528049375,3.966843605041504,70392,-1.8299628392857143,549,56,0.0007513386663049459
-22.852001190185547,1257.0,-38.43466567993164,40,75319,0.0008459126528049375,3.465780735015869,75420,-1.8086087000000002,10,60,0.0005115921376273036
-15.011194229125977,1257.0,-1.0097877979278564,38,80347,0.0008459126528049375,25.55677032470703,80448,-1.7953152812500002,140,64,0.0007129682344384491
19.73617172241211,1257.0,333.3315124511719,39,85375,0.0008459126528049375,113.8851318359375,85476,-1.7807340882352942,267,68,0.0014752052957192063
84.51808166503906,1257.0,-47.275081634521484,39,90403,0.0008459126528049375,40.71854782104492,90504,-1.7726224861111113,387,72,0.002529945457354188
105.48241424560547,1257.0,-26.04430389404297,40,95431,0.0008459126528049375,11.539104461669922,95532,-1.7600724736842104,507,76,0.0014233184047043324
