train/n_updates,time/fps,train/learning_rate,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/ent_coef,time/total_timesteps
4927,10,0.0008459126528049375,4,-122.14190673828125,-5.063314,-172.16268920898438,471,2.262169361114502,1257.0,0.017161106690764427,5028
9955,10,0.0008459126528049375,8,-131.9810791015625,-3.951321,75.71087646484375,972,32.180389404296875,1257.0,0.0011120077688246965,10056
14983,10,0.0008459126528049375,12,-137.50491333007812,-3.334126916666667,-19.285919189453125,1460,5.708927631378174,1257.0,0.0010548243299126625,15084
20011,10,0.0008459126528049375,16,-138.8104248046875,-3.04253,-42.252464294433594,1952,2.770141124725342,1257.0,0.0006157226162031293,20112
25039,10,0.0008459126528049375,20,-129.41026306152344,-2.8302056,-7.895353317260742,13,4.440508842468262,1257.0,0.0009556522709317505,25140
30067,9,0.0008459126528049375,24,-124.00735473632812,-2.6847480000000004,4.0872883796691895,523,5.051885604858398,1257.0,0.0011762462090700865,30168
35095,9,0.0008459126528049375,28,-117.76884460449219,-2.6022525357142863,8.975276947021484,1024,6.134391784667969,1257.0,0.001051918021403253,35196
40123,10,0.0008459126528049375,32,-98.4753646850586,-2.5491462187500002,-28.209104537963867,1520,3.5244550704956055,1257.0,0.0004626815498340875,40224
45151,10,0.0008459126528049375,36,-74.9062271118164,-2.486979777777778,-69.13948822021484,2023,4.691629886627197,1257.0,0.0010692182695493102,45252
50179,10,0.0008459126528049375,40,-59.09973907470703,-2.4507283749999997,-73.38233947753906,26,7.568918228149414,1257.0,0.0009810514748096466,50280
55207,10,0.0008459126528049375,44,-52.909420013427734,-2.402046386363636,4.961298942565918,510,6.030346393585205,1257.0,0.00034463609335944057,55308
60235,10,0.0008459126528049375,48,-29.324352264404297,-2.3639070833333333,-18.438833236694336,994,5.6189117431640625,1257.0,0.0016921395435929298,60336
