time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/learning_rate,time/fps,train/actor_loss,time/time_elapsed,rollout/ep_rew_mean
4,0.016941498965024948,1257.0,4927,-175.9086151123047,5028,1.8922994136810303,0.0008459126528049375,25,-123.29302215576172,196,-4.5271342500000005
8,0.0009366969461552799,1257.0,9955,-55.99801254272461,10056,4.380606651306152,0.0008459126528049375,26,-127.60330200195312,378,-3.559736375
12,0.0006496241549029946,1257.0,14983,138.5881805419922,15084,7.900436878204346,0.0008459126528049375,27,-128.87611389160156,546,-2.9860629166666666
16,0.000998040079139173,1257.0,20011,104.33907318115234,20112,11.68670654296875,0.0008459126528049375,28,-116.93423461914062,713,-2.637551125
20,0.0011039861710742116,1257.0,25039,-24.98410415649414,25140,4.769054412841797,0.0008459126528049375,25,-106.64195251464844,5,-2.4191099499999997
24,0.0011486002476885915,1257.0,30067,-81.46712493896484,30168,10.276320457458496,0.0008459126528049375,28,-85.44599151611328,180,-2.250352
28,0.0008228968363255262,1257.0,35095,46.94795227050781,35196,7.6507134437561035,0.0008459126528049375,29,-80.32818603515625,344,-2.1254485357142854
32,0.000721635646186769,1257.0,40123,-46.702301025390625,40224,1.9906880855560303,0.0008459126528049375,29,-78.78521728515625,524,-2.089482125
36,0.00034836947452276945,1257.0,45151,-55.132179260253906,45252,0.776789128780365,0.0008459126528049375,27,-77.48287200927734,726,-2.0713457222222225
40,0.00011152336810482666,1257.0,50179,-142.3662872314453,50280,1.4454212188720703,0.0008459126528049375,29,-73.7972412109375,9,-2.0230206500000003
44,0.0004193890781607479,1257.0,55207,1.88685941696167,55308,1.8870712518692017,0.0008459126528049375,29,-70.35630798339844,179,-1.9714078181818182
48,0.00024704154930077493,1257.0,60235,-9.412856101989746,60336,0.5813084840774536,0.0008459126528049375,29,-67.71454620361328,349,-1.934440125
52,0.0001950161822605878,1257.0,65263,24.47922706604004,65364,2.323706865310669,0.0008459126528049375,29,-60.29408264160156,519,-1.9062111346153843
56,0.0007268181070685387,1257.0,70291,1.6649649143218994,70392,8.14352798461914,0.0008459126528049375,29,-56.50678253173828,688,-1.8842006785714285
60,0.0006057580467313528,1257.0,75319,-2.8565587997436523,75420,3.0126543045043945,0.0008459126528049375,24,-48.974491119384766,17,-1.8596305666666666
64,0.0002765083045233041,1257.0,80347,-58.80086898803711,80448,1.6441292762756348,0.0008459126528049375,27,-46.160552978515625,197,-1.827734734375
68,0.001077451161108911,1257.0,85375,-32.65705108642578,85476,4.905703544616699,0.0008459126528049375,27,-32.14773941040039,381,-1.8187784117647057
72,0.000561749970074743,1257.0,90403,-21.456398010253906,90504,1.8947672843933105,0.0008459126528049375,26,-26.350189208984375,586,-1.7987406666666663
76,0.000683372956700623,1257.0,95431,-35.13802719116211,95532,4.067474842071533,0.0008459126528049375,26,-11.414483070373535,773,-1.7722726842105259
