time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/learning_rate,time/fps,train/actor_loss,time/time_elapsed,rollout/ep_rew_mean
4,0.017040066421031952,1257.0,4927,-165.83956909179688,5028,1.4126718044281006,0.0008459126528049375,24,-118.88493347167969,205,-4.56030825
8,0.0008881096146069467,1257.0,9955,13.569487571716309,10056,2.0367252826690674,0.0008459126528049375,24,-120.72118377685547,414,-3.63758975
12,0.0013138634385541081,1257.0,14983,-58.57736587524414,15084,8.35454273223877,0.0008459126528049375,23,-112.09616088867188,630,-2.9100684166666664
16,0.0006919052684679627,1257.0,20011,66.38906860351562,20112,2.1452465057373047,0.0008459126528049375,24,-103.54498291015625,811,-2.58388625
20,0.00046440804726444185,1257.0,25039,37.74958038330078,25140,2.0052778720855713,0.0008459126528049375,23,-100.46438598632812,5,-2.37923055
24,0.0007940956857055426,1257.0,30067,29.819517135620117,30168,4.577014446258545,0.0008459126528049375,28,-100.57515716552734,181,-2.1900962500000003
28,0.001286779181100428,1257.0,35095,-64.3814926147461,35196,3.678741216659546,0.0008459126528049375,28,-87.29336547851562,359,-2.0885783571428576
32,0.0004251387726981193,1257.0,40123,73.33050537109375,40224,1.703153371810913,0.0008459126528049375,27,-80.93540954589844,549,-2.01204459375
36,0.00023404642706736922,1257.0,45151,17.770111083984375,45252,2.141289234161377,0.0008459126528049375,27,-76.8438491821289,727,-1.9731076111111112
40,0.0003330269828438759,1257.0,50179,51.03440856933594,50280,2.3453972339630127,0.0008459126528049375,32,-58.70158386230469,8,-1.938179775
44,0.000290639785816893,1257.0,55207,0.7097514867782593,55308,2.4319682121276855,0.0008459126528049375,32,-39.62485122680664,164,-1.8974299545454547
48,0.0003180946223437786,1257.0,60235,-26.674840927124023,60336,6.211243629455566,0.0008459126528049375,31,-32.856712341308594,332,-1.8715178333333335
52,0.00047589631867595017,1257.0,65263,3.148315191268921,65364,2.7663490772247314,0.0008459126528049375,29,-12.074058532714844,514,-1.851678961538462
56,0.0002887869777623564,1257.0,70291,17.491443634033203,70392,2.808926582336426,0.0008459126528049375,30,-3.486177921295166,677,-1.832269785714286
60,0.0005739439511671662,1257.0,75319,-146.10244750976562,75420,4.01030969619751,0.0008459126528049375,24,19.22513198852539,17,-1.815295616666667
64,0.0003962685586884618,1257.0,80347,25.104679107666016,80448,1.7554360628128052,0.0008459126528049375,26,23.137481689453125,206,-1.8173631875000003
68,0.00036845821887254715,1257.0,85375,-95.58937072753906,85476,2.063063144683838,0.0008459126528049375,27,27.89105987548828,380,-1.8213045000000003
72,0.0005264714127406478,1257.0,90403,-71.2435531616211,90504,1.3942334651947021,0.0008459126528049375,27,31.027896881103516,564,-1.8046874444444445
76,0.0003786890592891723,1257.0,95431,-74.0009536743164,95532,2.2634904384613037,0.0008459126528049375,26,36.16935729980469,761,-1.7865765526315793
