time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss
5032,0.017327260226011276,0.0008459126528049375,0.6712828874588013,4931,1258.0,129,38,4,-121.88536071777344,-4.42422625,-177.6448211669922
10064,0.0010445808293297887,0.0008459126528049375,1.6704823970794678,9963,1258.0,282,35,8,-130.61973571777344,-3.300601875,-17.436235427856445
15096,0.0009554672869853675,0.0008459126528049375,2.3490495681762695,14995,1258.0,436,34,12,-132.76885986328125,-2.6304500833333333,-2.477982521057129
20128,0.0010655653895810246,0.0008459126528049375,3.6173653602600098,20027,1258.0,590,34,16,-130.8641815185547,-2.288376125,-57.724979400634766
25160,0.0007585147395730019,0.0008459126528049375,3.137824535369873,25059,1258.0,4,32,20,-133.16006469726562,-2.0817238500000004,-12.789413452148438
30192,0.0017134809168055654,0.0008459126528049375,6.0644636154174805,30091,1258.0,158,32,24,-129.6052703857422,-1.9151784583333333,76.3051528930664
35224,0.0015874698292464018,0.0008459126528049375,7.680826663970947,35123,1258.0,312,32,28,-113.34596252441406,-1.8442212857142855,40.51885223388672
40256,0.0007233081851154566,0.0008459126528049375,13.573265075683594,40155,1258.0,442,34,32,-101.7605972290039,-1.80978790625,-49.66832733154297
45288,0.0009415620006620884,0.0008459126528049375,15.268755912780762,45187,1258.0,598,33,36,-88.92224884033203,-1.7441929444444444,8.616512298583984
50320,0.000650497677270323,0.0008459126528049375,13.544755935668945,50219,1258.0,10,31,40,-86.10578918457031,-1.7003663249999998,9.839831352233887
55352,0.0013691274216398597,0.0008459126528049375,17.25082015991211,55251,1258.0,167,31,44,-71.42404174804688,-1.653307909090909,-12.266783714294434
60384,0.0005698705208487809,0.0008459126528049375,20.09128189086914,60283,1258.0,314,33,48,-47.321197509765625,-1.6316677708333334,-6.626047611236572
65416,0.0010899173794314265,0.0008459126528049375,13.451641082763672,65315,1258.0,428,35,52,-41.55906677246094,-1.6241525192307693,70.39024353027344
70448,0.000691915163770318,0.0008459126528049375,9.323760986328125,70347,1258.0,544,37,56,-35.07588195800781,-1.631525017857143,28.27713966369629
75480,0.0003997941967099905,0.0008459126528049375,9.529424667358398,75379,1258.0,15,30,60,-29.79039764404297,-1.6242962333333333,28.195070266723633
80512,0.0004144508857280016,0.0008459126528049375,4.9707136154174805,80411,1258.0,183,30,64,-24.955429077148438,-1.61460378125,-171.73846435546875
85544,0.00047277010162360966,0.0008459126528049375,2.6185989379882812,85443,1258.0,353,29,68,-21.160724639892578,-1.6031595735294117,-42.35603332519531
90576,0.00036172999534755945,0.0008459126528049375,2.2400400638580322,90475,1258.0,524,29,72,-17.93314552307129,-1.5869784305555557,-33.48602294921875
95608,0.0002081393904518336,0.0008459126528049375,1.127828598022461,95507,1258.0,695,29,76,-15.455793380737305,-1.5653479868421054,-81.05892181396484
