time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss
5032,0.017159199342131615,0.0008459126528049375,1.8291902542114258,4931,1258.0,105,47,4,-121.39618682861328,-4.43398975,-162.74032592773438
10064,0.0010444035287946463,0.0008459126528049375,0.7238668203353882,9963,1258.0,254,39,8,-127.10590362548828,-3.384106125,138.32095336914062
15096,0.0007503394153900445,0.0008459126528049375,5.928310871124268,14995,1258.0,407,37,12,-130.7069091796875,-2.8036646666666667,17.96603775024414
20128,0.0008133869851008058,0.0008459126528049375,2.0704715251922607,20027,1258.0,561,35,16,-133.68359375,-2.5073270625,-38.0467529296875
25160,0.0004922718508169055,0.0008459126528049375,52.51854705810547,25059,1258.0,4,32,20,-136.1697998046875,-2.3327725,109.10206604003906
30192,0.0008508834871463478,0.0008459126528049375,2.9855587482452393,30091,1258.0,158,32,24,-135.8931121826172,-2.2242065416666668,16.36695098876953
35224,0.0007190025644376874,0.0008459126528049375,9.356534004211426,35123,1258.0,312,32,28,-138.9821014404297,-2.1115799285714285,-25.94586944580078
40256,0.001070660538971424,0.0008459126528049375,6.688429832458496,40155,1258.0,467,32,32,-132.51553344726562,-2.00147365625,-61.40892028808594
45288,0.000950597517658025,0.0008459126528049375,19.81930160522461,45187,1258.0,622,32,36,-123.28192138671875,-1.9174891666666665,59.961448669433594
50320,0.0009467176860198379,0.0008459126528049375,43.24577331542969,50219,1258.0,9,32,40,-98.509765625,-1.8713268500000002,34.079925537109375
55352,0.002834636950865388,0.0008459126528049375,19.429489135742188,55251,1258.0,163,32,44,-79.54254913330078,-1.8313248409090912,39.58940124511719
60384,0.001671961392275989,0.0008459126528049375,21.130340576171875,60283,1258.0,317,32,48,-58.16655731201172,-1.7928065208333333,-54.83163070678711
65416,0.0012387940660119057,0.0008459126528049375,13.774335861206055,65315,1258.0,472,32,52,-51.71154022216797,-1.764970865384615,19.26946258544922
70448,0.0008640377782285213,0.0008459126528049375,10.69692611694336,70347,1258.0,629,32,56,-51.251068115234375,-1.7466966607142855,19.393131256103516
75480,0.000568338087759912,0.0008459126528049375,6.288975715637207,75379,1258.0,15,30,60,-48.798484802246094,-1.7237139499999998,23.029705047607422
80512,0.0013435689033940434,0.0008459126528049375,8.298587799072266,80411,1258.0,183,30,64,-37.90913772583008,-1.70291471875,-54.219200134277344
85544,0.0007369990344159305,0.0008459126528049375,7.268955230712891,85443,1258.0,353,29,68,-32.57406997680664,-1.6889614264705883,70.44293975830078
90576,0.000933848088607192,0.0008459126528049375,4.390133857727051,90475,1258.0,523,29,72,-27.942928314208984,-1.6749473611111112,-23.59881591796875
95608,0.0008240874158218503,0.0008459126528049375,1.954996943473816,95507,1258.0,693,29,76,-25.592777252197266,-1.666655460526316,5.992260932922363
