time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss
5032,0.01737394742667675,0.0008459126528049375,1.670370101928711,4931,1258.0,113,44,4,-121.50011444091797,-4.3752175,-165.048095703125
10064,0.0013034585863351822,0.0008459126528049375,1.3889397382736206,9963,1258.0,228,44,8,-126.67514038085938,-3.360217,21.13920021057129
15096,0.0009741593967191875,0.0008459126528049375,2.0163896083831787,14995,1258.0,344,43,12,-130.67393493652344,-2.747446666666667,-48.6219596862793
20128,0.0010179299861192703,0.0008459126528049375,3.610118865966797,20027,1258.0,460,43,16,-132.3787841796875,-2.4252531875,-36.2347412109375
25160,0.0005996573017910123,0.0008459126528049375,4.827071666717529,25059,1258.0,3,43,20,-130.79197692871094,-2.2370533,151.89950561523438
30192,0.0006628081318922341,0.0008459126528049375,3.7335424423217773,30091,1258.0,121,42,24,-126.80028533935547,-2.0826422499999997,8.175657272338867
35224,0.0018621019553393126,0.0008459126528049375,6.417526721954346,35123,1258.0,241,42,28,-120.9593505859375,-1.9767956428571427,69.88456726074219
40256,0.000880927313119173,0.0008459126528049375,19.818519592285156,40155,1258.0,386,39,32,-106.72612762451172,-1.91998775,-37.41804504394531
45288,0.0015621676575392485,0.0008459126528049375,9.071401596069336,45187,1258.0,544,37,36,-87.1744155883789,-1.87931075,-2.4274775981903076
50320,0.002007673494517803,0.0008459126528049375,18.72061538696289,50219,1258.0,10,31,40,-73.95150756835938,-1.8157551249999997,-49.851905822753906
55352,0.003625974291935563,0.0008459126528049375,17.378623962402344,55251,1258.0,168,31,44,-61.32904052734375,-1.770441909090909,2.95711088180542
60384,0.0017609173664823174,0.0008459126528049375,27.07681655883789,60283,1258.0,327,31,48,-40.523136138916016,-1.7435838124999998,-6.328762531280518
65416,0.0012482957681640983,0.0008459126528049375,7.722552299499512,65315,1258.0,487,31,52,-31.857803344726562,-1.7058458269230767,-69.728515625
70448,0.0008127185865305364,0.0008459126528049375,5.714643478393555,70347,1258.0,647,31,56,-22.96017074584961,-1.678660267857143,-26.961139678955078
75480,0.0009523261105641723,0.0008459126528049375,3.3292951583862305,75379,1258.0,16,29,60,-18.46153450012207,-1.6477585666666668,-21.14299774169922
80512,0.0004133781767450273,0.0008459126528049375,2.220107078552246,80411,1258.0,188,29,64,-11.868978500366211,-1.62214625,9.98422622680664
85544,0.00020132680947426707,0.0008459126528049375,1.9580867290496826,85443,1258.0,332,31,68,-8.179829597473145,-1.5977330147058824,-69.64566802978516
90576,0.00033938264823518693,0.0008459126528049375,1.8703477382659912,90475,1258.0,466,33,72,-4.747577667236328,-1.5730170694444443,92.21806335449219
95608,0.0002233024570159614,0.0008459126528049375,1.1081938743591309,95507,1258.0,600,34,76,-0.8107386231422424,-1.5553696710526315,-48.42933654785156
