time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/episodes,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/ent_coef
5028,28.077857971191406,-171.74378967285156,4,-120.7514419555664,4927,1257.0,68,73,-5.2320407499999995,0.0008459126528049375,0.01736021600663662
10056,5.4424943923950195,38.78615951538086,8,-120.63943481445312,9955,1257.0,67,149,-4.3264995,0.0008459126528049375,0.0009611816494725645
15084,5.722331523895264,-33.00334167480469,12,-117.78221893310547,14983,1257.0,66,225,-3.5608153333333337,0.0008459126528049375,0.0012893704697489738
20112,21.980905532836914,157.41880798339844,16,-103.5246353149414,20011,1257.0,66,301,-3.181683875,0.0008459126528049375,0.0011410064762458205
25140,2.795177936553955,61.785404205322266,20,-94.85966491699219,25039,1257.0,64,2,-3.01548535,0.0008459126528049375,0.000599629245698452
30168,1.9207050800323486,12.133597373962402,24,-89.56172943115234,30067,1257.0,66,78,-2.8664753333333337,0.0008459126528049375,0.0007323590107262135
35196,1.6111677885055542,37.1628532409668,28,-73.09541320800781,35095,1257.0,66,153,-2.7892681428571433,0.0008459126528049375,0.0005152683588676155
40224,0.7146024107933044,-17.63042640686035,32,-54.52174758911133,40123,1257.0,66,229,-2.73017746875,0.0008459126528049375,0.0004327458736952394
45252,0.5258795619010925,14.07594108581543,36,-53.44312286376953,45151,1257.0,66,305,-2.6885185555555555,0.0008459126528049375,0.00031984495581127703
50280,4.132434368133545,338.9501953125,40,-37.392333984375,50179,1257.0,65,4,-2.6195051499999997,0.0008459126528049375,0.000279493018751964
55308,0.8673526048660278,-14.501094818115234,44,-23.99861717224121,55207,1257.0,65,80,-2.5542474090909093,0.0008459126528049375,0.0004094640025869012
60336,1.4844448566436768,-19.438030242919922,48,-9.681157112121582,60235,1257.0,65,157,-2.5008971458333336,0.0008459126528049375,0.0005486070294864476
65364,2.3914875984191895,-44.70881652832031,52,-2.227593183517456,65263,1257.0,65,235,-2.4674833076923077,0.0008459126528049375,0.0006021839799359441
70392,24.069316864013672,264.1442565917969,56,3.615760326385498,70291,1257.0,65,313,-2.409443482142857,0.0008459126528049375,0.00042568810749799013
75420,0.9270046949386597,-33.854774475097656,60,9.480536460876465,75319,1257.0,63,6,-2.3736533499999997,0.0008459126528049375,0.00017941094120033085
80448,0.628018856048584,20.15607452392578,64,11.135519027709961,80347,1257.0,61,88,-2.3401631875,0.0008459126528049375,0.00020402311929501593
85476,0.9686895608901978,-58.26371765136719,68,15.136167526245117,85375,1257.0,61,169,-2.300010235294118,0.0008459126528049375,0.0003206913243047893
90504,2.0139479637145996,-3.360334634780884,72,26.368810653686523,90403,1257.0,61,251,-2.2897599027777775,0.0008459126528049375,0.00040741515113040805
