time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss
5032,0.01778906211256981,0.0008459126528049375,0.6453133225440979,4931,1258.0,149,33,4,-122.51100158691406,-4.40183125,-159.5439453125
10064,0.0011581155704334378,0.0008459126528049375,0.958890974521637,9963,1258.0,301,33,8,-128.62901306152344,-3.361233375,-21.748781204223633
15096,0.0011878815712407231,0.0008459126528049375,2.1382620334625244,14995,1258.0,454,33,12,-132.23977661132812,-2.6959666666666666,-54.0925407409668
20128,0.0011435343185439706,0.0008459126528049375,3.8379390239715576,20027,1258.0,607,33,16,-133.2822265625,-2.4202810625,7.618165016174316
25160,0.0006772425840608776,0.0008459126528049375,4.203962326049805,25059,1258.0,4,33,20,-132.68556213378906,-2.2306086000000005,-18.255979537963867
30192,0.0015831994824111462,0.0008459126528049375,9.86852741241455,30091,1258.0,158,32,24,-126.25060272216797,-2.0969695833333333,43.61924743652344
35224,0.0010136370547115803,0.0008459126528049375,3.687953233718872,35123,1258.0,311,32,28,-122.56825256347656,-1.99913375,50.433502197265625
40256,0.0009489390649832785,0.0008459126528049375,5.249804973602295,40155,1258.0,465,32,32,-118.1043701171875,-1.9575219375,22.790559768676758
45288,0.0007816252182237804,0.0008459126528049375,5.293881893157959,45187,1258.0,618,32,36,-111.3687744140625,-1.8997003055555552,9.121770858764648
50320,0.00045887980377301574,0.0008459126528049375,7.952253818511963,50219,1258.0,9,32,40,-98.14736938476562,-1.8550608250000002,-85.645751953125
55352,0.00042298808693885803,0.0008459126528049375,1.3327791690826416,55251,1258.0,164,32,44,-96.27156066894531,-1.809453136363637,-46.524192810058594
60384,0.0012715839548036456,0.0008459126528049375,6.130206108093262,60283,1258.0,319,32,48,-79.84286499023438,-1.771223229166667,-21.565824508666992
65416,0.0006905854679644108,0.0008459126528049375,2.2320282459259033,65315,1258.0,481,31,52,-75.50364685058594,-1.7451987307692312,-80.35745239257812
70448,0.0003669349243864417,0.0008459126528049375,2.5898962020874023,70347,1258.0,640,31,56,-73.37784576416016,-1.7068251964285714,33.25163269042969
75480,0.0011456190841272473,0.0008459126528049375,11.78288745880127,75379,1258.0,15,30,60,-53.97882080078125,-1.6813257000000001,-41.9754638671875
80512,0.0005269476096145809,0.0008459126528049375,4.016417980194092,80411,1258.0,184,29,64,-49.4554443359375,-1.67170121875,34.95214080810547
