train/n_updates,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef_loss
4791,165,29,4892,0.0008459126528049375,0.019438816234469414,-121.43843841552734,2.0519511699676514,-4.20427925,4,1223.0,-167.44708251953125
9683,309,31,9784,0.0008459126528049375,0.0011439956724643707,-127.65106201171875,0.5751618146896362,-3.200322875,8,1223.0,3.8677279949188232
14575,460,31,14676,0.0008459126528049375,0.001108356169424951,-133.03741455078125,0.39304524660110474,-2.5166817499999996,12,1223.0,-3.0061275959014893
19467,623,31,19568,0.0008459126528049375,0.001176808262243867,-136.0567169189453,67.0762939453125,-2.22324325,16,1223.0,-70.51937866210938
24359,767,31,24460,0.0008459126528049375,0.0010752991074696183,-139.5977325439453,1.4031662940979004,-2.0387627999999998,20,1223.0,-10.996908187866211
29251,128,33,29352,0.0008459126528049375,0.0006340532563626766,-144.39474487304688,3.5134873390197754,-1.9419283333333333,24,1223.0,-1.39641535282135
34143,273,33,34244,0.0008459126528049375,0.0009799868566915393,-144.1065216064453,1.6313674449920654,-1.8624438214285715,28,1223.0,-16.82597541809082
39035,436,32,39136,0.0008459126528049375,0.0005585644976235926,-147.21170043945312,71.80937957763672,-1.778935625,32,1223.0,-30.523212432861328
43927,595,31,44028,0.0008459126528049375,0.0011515050427988172,-152.54751586914062,2.3112006187438965,-1.7289595,36,1223.0,5.751387596130371
48819,763,31,48920,0.0008459126528049375,0.0008941460982896388,-153.2722930908203,4.001890182495117,-1.7049512999999998,40,1223.0,-41.65202713012695
53711,117,32,53812,0.0008459126528049375,0.0010047797113656998,-150.5127716064453,7.654129505157471,-1.6686763181818178,44,1223.0,17.3768310546875
58603,268,32,58704,0.0008459126528049375,0.0015994643326848745,-153.44064331054688,2.3025081157684326,-1.6400752916666665,48,1223.0,29.06220245361328
63495,421,32,63596,0.0008459126528049375,0.002027826150879264,-154.4301300048828,4.171932697296143,-1.6156709230769228,52,1223.0,-40.61798858642578
68387,579,31,68488,0.0008459126528049375,0.0023094387724995613,-156.7700958251953,2.53607177734375,-1.589879892857143,56,1223.0,2.5203609466552734
73279,750,31,73380,0.0008459126528049375,0.0020810544956475496,-157.28933715820312,2.4892783164978027,-1.5759837000000003,60,1223.0,-14.064041137695312
78171,125,25,78272,0.0008459126528049375,0.001046040328219533,-157.658447265625,80.51467895507812,-1.565208609375,64,1223.0,42.97111511230469
83063,315,25,83164,0.0008459126528049375,0.001243274426087737,-159.8402099609375,6.052037715911865,-1.5502865147058824,68,1223.0,34.42632293701172
87955,503,25,88056,0.0008459126528049375,0.0019837867002934217,-161.7247772216797,7.597586631774902,-1.5354686666666666,72,1223.0,34.54106903076172
92847,682,26,92948,0.0008459126528049375,0.0019022732740268111,-163.56564331054688,3.5408263206481934,-1.5284141184210525,76,1223.0,33.32126235961914
