time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
1,3809,0,512,,,,,,,,,,,,,
2,1811,0,1024,-0.038611799478530884,0.014140595,-0.24811840057373047,0.2301025390625,0.0004092704424510632,-44.01165544986725,0.2,-0.030503236543154344,1.0015608072280884,0.16379977552423952,16,,
3,1560,0,1536,-0.031694162636995316,0.015900796,-0.010818243026733398,0.2384033203125,0.0004092704424510632,-44.01958250999451,0.2,-0.02657243398425635,1.0000646114349365,0.0037818622731720097,32,1223.0,-2.615754
4,1454,1,2048,-0.03236109018325806,0.024179908,-0.029956340789794922,0.337646484375,0.0004092704424510632,-43.9727349281311,0.2,-0.02872700011357665,0.9996411204338074,0.007807904446963221,48,1223.0,-2.615754
5,1398,1,2560,-0.03516120836138725,0.016188674,-0.016635417938232422,0.259765625,0.0004092704424510632,-43.960057735443115,0.2,-0.028048441250575706,0.9984887838363647,0.0014833908371656435,64,1223.0,-2.5312605
6,1364,2,3072,-0.02633635513484478,0.015165272,-0.008292794227600098,0.2281494140625,0.0004092704424510632,-43.91554927825928,0.2,-0.023655597906326875,0.9973409175872803,0.003831918464129558,80,1223.0,-2.5312605
7,1338,2,3584,-0.04351824149489403,0.019471267,-0.008521795272827148,0.2540283203125,0.0004092704424510632,-43.89978015422821,0.2,-0.024668005586136132,0.9977037310600281,0.0023424001738021616,96,1223.0,-2.5312605
8,1321,3,4096,-0.030253417789936066,0.0138164405,-0.0020835399627685547,0.207275390625,0.0004092704424510632,-43.926512241363525,0.2,-0.021724995502154343,0.9989692568778992,0.003319773451949004,112,1223.0,-2.502833666666667
9,1307,3,4608,-0.0416148416697979,0.016323935,0.0006434321403503418,0.21044921875,0.0004092704424510632,-43.97295033931732,0.2,-0.0235953614464961,1.0007644891738892,0.004250301361025777,128,1223.0,-2.502833666666667
10,1298,3,5120,-0.047983914613723755,0.016886707,-0.009262323379516602,0.2491455078125,0.0004092704424510632,-44.007903695106506,0.2,-0.024196222511818632,1.0009260177612305,0.0020145621219853638,144,1223.0,-2.5507310000000003
11,1291,4,5632,-0.032935913652181625,0.018926509,0.0011986494064331055,0.2548828125,0.0004092704424510632,-43.99755275249481,0.2,-0.02715387319040019,1.0004068613052368,0.006257730448851362,160,1223.0,-2.5507310000000003
12,1285,4,6144,-0.03380408510565758,0.015687443,-0.006577014923095703,0.2322998046875,0.0004092704424510632,-43.98426115512848,0.2,-0.02627835131715983,1.000003695487976,0.0019784741634794045,176,1223.0,-2.5461632
