time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
1,3843,0,512,,,,,,,,,,,,,
2,1853,0,1024,-0.028184950351715088,0.015453586,-0.28124094009399414,0.232666015625,0.0004092704424510632,-43.969133138656616,0.2,-0.028655120404437184,0.9985868334770203,0.16100228959840024,16,,
3,1581,0,1536,-0.03962939977645874,0.019822774,0.0749807357788086,0.271728515625,0.0004092704424510632,-43.93222498893738,0.2,-0.028059108735760674,0.998042643070221,0.0031985305358830374,32,1223.0,-2.610951
4,1480,1,2048,-0.03210357204079628,0.01612074,-0.020795822143554688,0.2314453125,0.0004092704424510632,-43.93236041069031,0.2,-0.026873509457800537,0.9985621571540833,0.005285344501317013,48,1223.0,-2.610951
5,1426,1,2560,-0.038233596831560135,0.018575951,0.013557493686676025,0.2806396484375,0.0004092704424510632,-43.938828468322754,0.2,-0.026684822980314493,0.9985277056694031,0.0016639216137264157,64,1223.0,-2.5676365
6,1397,2,3072,-0.035228341817855835,0.024315864,0.014217376708984375,0.329833984375,0.0004092704424510632,-43.95252180099487,0.2,-0.0315542874741368,0.9995937943458557,0.009191451230435632,80,1223.0,-2.5676365
7,1373,2,3584,-0.04129009321331978,0.013605064,0.0666356086730957,0.238037109375,0.0004092704424510632,-43.948755860328674,0.2,-0.02107505709864199,0.997556746006012,0.002200592000008328,96,1223.0,-2.5676365
8,1354,3,4096,-0.029993891716003418,0.017513022,0.00019741058349609375,0.256591796875,0.0004092704424510632,-43.86913013458252,0.2,-0.02728412175201811,0.995340883731842,0.0037021163661847822,112,1223.0,-2.559751
9,1344,3,4608,-0.03217635303735733,0.020879343,0.0019295215606689453,0.2845458984375,0.0004092704424510632,-43.82004261016846,0.2,-0.028032584639731795,0.9944290518760681,0.019814939267234877,128,1223.0,-2.559751
10,1333,3,5120,-0.03745754435658455,0.017505739,0.02534586191177368,0.25830078125,0.0004092704424510632,-43.77742350101471,0.2,-0.02667028571886476,0.9921542406082153,0.0020795057134819217,144,1223.0,-2.53155225
