time/episodes,train/n_updates,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean
4,4927,-186.35250854492188,35,0.0008459126528049375,-4.570244,-120.37014770507812,0.016953427344560623,1.7298215627670288,5028,142,1257.0
8,9955,-45.676292419433594,34,0.0008459126528049375,-3.5974956250000005,-125.70230102539062,0.000951581634581089,1.721588373184204,10056,288,1257.0
12,14983,23.051843643188477,34,0.0008459126528049375,-2.9168719166666666,-125.74055480957031,0.0007620094693265855,4.71558141708374,15084,441,1257.0
16,20011,167.16993713378906,33,0.0008459126528049375,-2.5601855625,-115.90165710449219,0.001238191151060164,47.28627014160156,20112,601,1257.0
20,25039,38.43791961669922,32,0.0008459126528049375,-2.3645052500000006,-113.14205932617188,0.0007683060830458999,3.8227288722991943,25140,4,1257.0
24,30067,14.434141159057617,32,0.0008459126528049375,-2.2133865416666665,-88.59121704101562,0.001081467024050653,3.7156620025634766,30168,160,1257.0
28,35095,-62.96382522583008,31,0.0008459126528049375,-2.116544785714286,-88.21543884277344,0.0005848262808285654,1.2546452283859253,35196,326,1257.0
32,40123,-42.18013000488281,30,0.0008459126528049375,-2.02000915625,-82.57556915283203,0.0003494902339298278,1.607064127922058,40224,499,1257.0
36,45151,-22.04767608642578,29,0.0008459126528049375,-1.9626251111111108,-80.32347106933594,0.0005295849405229092,3.258707046508789,45252,679,1257.0
40,50179,-13.992891311645508,28,0.0008459126528049375,-1.892998225,-76.25298309326172,0.0002820953377522528,1.6044459342956543,50280,9,1257.0
44,55207,-10.611966133117676,28,0.0008459126528049375,-1.8482311363636361,-70.21307373046875,0.0008445977000519633,1.9139254093170166,55308,188,1257.0
48,60235,37.34089279174805,28,0.0008459126528049375,-1.8135599791666668,-63.425933837890625,0.0003876302216667682,4.912697792053223,60336,369,1257.0
52,65263,-16.599292755126953,27,0.0008459126528049375,-1.7861854807692312,-56.94544982910156,0.0006690515438094735,3.676278591156006,65364,550,1257.0
56,70291,-34.37317657470703,28,0.0008459126528049375,-1.7584836785714286,-54.30561065673828,0.0004814823914784938,19.001407623291016,70392,727,1257.0
60,75319,-30.319168090820312,26,0.0008459126528049375,-1.7358003166666667,-43.830711364746094,0.0011708008823916316,43.26182556152344,75420,15,1257.0
64,80347,-36.27394485473633,29,0.0008459126528049375,-1.710971921875,-43.20200729370117,0.0007844427018426359,1.1238429546356201,80448,183,1257.0
68,85375,7.262688636779785,30,0.0008459126528049375,-1.6888061617647059,-31.603187561035156,0.0003828727640211582,59.80470275878906,85476,348,1257.0
72,90403,-4.306530952453613,30,0.0008459126528049375,-1.6732571250000001,-29.382673263549805,0.0003744330315385014,1.482370138168335,90504,511,1257.0
76,95431,-14.141934394836426,29,0.0008459126528049375,-1.6645763684210528,-24.209043502807617,0.0003890874213539064,2.2136096954345703,95532,690,1257.0
