time/episodes,train/n_updates,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean
4,4927,-166.057861328125,30,0.0008459126528049375,-4.51022175,-121.82173156738281,0.017034810036420822,2.011654853820801,5028,162,1257.0
8,9955,-12.653619766235352,30,0.0008459126528049375,-3.5030835000000002,-128.57211303710938,0.001074054860509932,5.5947265625,10056,331,1257.0
12,14983,-34.493621826171875,29,0.0008459126528049375,-2.83387475,-124.9151382446289,0.0004977529169991612,2.082106113433838,15084,506,1257.0
16,20011,2.058483362197876,30,0.0008459126528049375,-2.4991296875,-123.42496490478516,0.0011958973482251167,2.1497366428375244,20112,668,1257.0
20,25039,57.81329345703125,28,0.0008459126528049375,-2.2987198,-95.95084381103516,0.0008904584101401269,2.729597330093384,25140,4,1257.0
24,30067,329.5440979003906,31,0.0008459126528049375,-2.170315875,-67.98902893066406,0.0008993508527055383,28.481464385986328,30168,162,1257.0
28,35095,-29.83440399169922,31,0.0008459126528049375,-2.0781697500000003,-61.782310485839844,0.0009625318925827742,5.189365386962891,35196,318,1257.0
32,40123,13.379695892333984,30,0.0008459126528049375,-2.00038209375,-57.99895477294922,0.0005198725848458707,2.1798110008239746,40224,494,1257.0
36,45151,5.852344512939453,30,0.0008459126528049375,-1.9626335555555552,-55.41582107543945,0.0003844471648335457,1.3357579708099365,45252,674,1257.0
40,50179,-47.172393798828125,27,0.0008459126528049375,-1.94871135,-52.1035041809082,0.0002828417927958071,0.7966335415840149,50280,10,1257.0
44,55207,-35.854820251464844,27,0.0008459126528049375,-1.9239877045454548,-48.5523681640625,0.000313003285555169,0.824457585811615,55308,190,1257.0
48,60235,-7.694689750671387,29,0.0008459126528049375,-1.8770526250000001,-41.377071380615234,0.001202450250275433,3.27347731590271,60336,355,1257.0
52,65263,64.25369262695312,30,0.0008459126528049375,-1.8719425769230769,-36.41454315185547,0.0003323185374028981,1.6743769645690918,65364,508,1257.0
56,70291,-44.3626594543457,30,0.0008459126528049375,-1.8489186964285713,-34.31934356689453,0.0003437509585637599,1.4663258790969849,70392,662,1257.0
60,75319,-27.89861488342285,31,0.0008459126528049375,-1.8131118833333335,-28.92074203491211,0.0007766038761474192,1.626732349395752,75420,13,1257.0
64,80347,-41.55226135253906,27,0.0008459126528049375,-1.7939561875,-16.50444793701172,0.0006763199344277382,3.987205982208252,80448,200,1257.0
68,85375,-51.818450927734375,26,0.0008459126528049375,-1.7809822941176472,-11.356912612915039,0.0005491537740454078,6.058343887329102,85476,395,1257.0
72,90403,10.91543960571289,26,0.0008459126528049375,-1.760159638888889,-3.4866061210632324,0.00030865916050970554,1.369583010673523,90504,588,1257.0
76,95431,3.529282808303833,26,0.0008459126528049375,-1.7343883157894733,0.933965802192688,0.0006222217343747616,2.1111226081848145,95532,769,1257.0
