train/critic_loss,time/total_timesteps,train/n_updates,train/ent_coef,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean,time/episodes,time/fps,train/ent_coef_loss
2.0597853660583496,5032,4931,0.017418965697288513,-122.73848724365234,1258.0,163,0.0008459126528049375,-4.296016,4,30,-177.6638641357422
4.644440650939941,10064,9963,0.0013621947728097439,-131.66151428222656,1258.0,331,0.0008459126528049375,-3.3176155,8,30,-13.969494819641113
8.736761093139648,15096,14995,0.0014354381710290909,-126.17965698242188,1258.0,499,0.0008459126528049375,-2.663510916666666,12,30,-3.946387529373169
5.7611846923828125,20128,20027,0.0010582329705357552,-116.8104248046875,1258.0,668,0.0008459126528049375,-2.324774375,16,30,55.712867736816406
6.485401153564453,25160,25059,0.0008724720682948828,-100.73329162597656,1258.0,5,0.0008459126528049375,-2.1828869500000003,20,30,-48.66283416748047
2.195216417312622,30192,30091,0.001007214654237032,-86.70420837402344,1258.0,174,0.0008459126528049375,-2.065779791666667,24,29,7.6712751388549805
2.2299351692199707,35224,35123,0.0006207894184626639,-86.91964721679688,1258.0,343,0.0008459126528049375,-1.9440293928571428,28,29,17.452478408813477
6.198107719421387,40256,40155,0.0005962306750006974,-86.24849700927734,1258.0,511,0.0008459126528049375,-1.85537165625,32,29,78.84569549560547
23.300201416015625,45288,45187,0.000738010392524302,-81.22669982910156,1258.0,679,0.0008459126528049375,-1.803724277777778,36,29,-10.349343299865723
1.455507755279541,50320,50219,0.000523644033819437,-78.5594482421875,1258.0,10,0.0008459126528049375,-1.7341973750000002,40,29,27.81555938720703
38.95353698730469,55352,55251,0.0006065184716135263,-76.27863311767578,1258.0,180,0.0008459126528049375,-1.6757985681818184,44,29,25.82419204711914
9.456890106201172,60384,60283,0.0009506723145022988,-69.44608306884766,1258.0,350,0.0008459126528049375,-1.6274874583333332,48,29,-4.906584739685059
27.396533966064453,65416,65315,0.0025521698407828808,-62.66797637939453,1258.0,522,0.0008459126528049375,-1.6027065384615382,52,29,-17.895898818969727
45.897499084472656,70448,70347,0.0014498772798106074,-56.818660736083984,1258.0,696,0.0008459126528049375,-1.576532589285714,56,29,43.545101165771484
15.376304626464844,75480,75379,0.0012512730900198221,-47.424251556396484,1258.0,17,0.0008459126528049375,-1.5521902666666665,60,27,-43.34075927734375
700.856201171875,80512,80411,0.0017882419051602483,-44.05867004394531,1258.0,204,0.0008459126528049375,-1.52262678125,64,26,7.366222858428955
