time/episodes,time/fps,train/ent_coef_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
4,33,-167.74978637695312,0.0008459126528049375,150,-123.12300872802734,4931,0.017178144305944443,5032,1258.0,6.378331184387207,-4.5306885
8,31,-9.165581703186035,0.0008459126528049375,316,-131.1656036376953,9963,0.000983673264272511,10064,1258.0,9.585540771484375,-3.538144
12,29,-14.837099075317383,0.0008459126528049375,511,-134.21197509765625,14995,0.0008518651593476534,15096,1258.0,7.475473403930664,-2.833743333333334
16,28,-34.888328552246094,0.0008459126528049375,701,-129.01795959472656,20027,0.001171101350337267,20128,1258.0,5.874845027923584,-2.4535855625
20,31,11.181661605834961,0.0008459126528049375,5,-126.63172912597656,25059,0.000513956299982965,25160,1258.0,2.9601082801818848,-2.2091342
24,27,46.65310287475586,0.0008459126528049375,189,-110.18018341064453,30091,0.0014467337168753147,30192,1258.0,4.897852897644043,-2.03306375
28,28,34.10954666137695,0.0008459126528049375,356,-107.36656951904297,35123,0.0007927847327664495,35224,1258.0,3.0514965057373047,-1.9331258571428573
32,29,-15.278949737548828,0.0008459126528049375,512,-98.26937866210938,40155,0.0009953026892617345,40256,1258.0,5.692729473114014,-1.83084678125
36,30,-86.47152709960938,0.0008459126528049375,666,-101.51654815673828,45187,0.0005715229199267924,45288,1258.0,6.788562774658203,-1.7495648611111112
40,31,11.496500968933105,0.0008459126528049375,10,-91.93488311767578,50219,0.0003219301870558411,50320,1258.0,4.000651836395264,-1.7123690249999999
44,30,-18.1951961517334,0.0008459126528049375,174,-88.48348236083984,55251,0.0003177732287440449,55352,1258.0,1.6593763828277588,-1.6638869545454542
48,30,-68.99042510986328,0.0008459126528049375,337,-88.21957397460938,60283,0.0008862377144396305,60384,1258.0,10.137116432189941,-1.6259640208333332
52,30,-61.701534271240234,0.0008459126528049375,497,-82.89163970947266,65315,0.0007458006730303168,65416,1258.0,2.8290860652923584,-1.5850618076923078
56,30,98.1546401977539,0.0008459126528049375,660,-85.65070343017578,70347,0.0003690863377414644,70448,1258.0,5.976858139038086,-1.554602982142857
60,30,14.545897483825684,0.0008459126528049375,15,-82.37642669677734,75379,0.0003520291647873819,75480,1258.0,2.393773078918457,-1.5337806333333333
64,29,46.81429672241211,0.0008459126528049375,187,-79.49652099609375,80411,0.00029794155852869153,80512,1258.0,5.996047019958496,-1.5091743437499998
68,29,-59.470848083496094,0.0008459126528049375,362,-79.80252075195312,85443,0.0004270199278835207,85544,1258.0,1.2078254222869873,-1.4929383382352939
72,28,-49.724693298339844,0.0008459126528049375,540,-74.8591079711914,90475,0.0005760524072684348,90576,1258.0,9.351810455322266,-1.4768015416666667
76,28,-50.48994445800781,0.0008459126528049375,718,-68.59114074707031,95507,0.0005420402740128338,95608,1258.0,5.1541948318481445,-1.4684296315789476
