time/episodes,time/fps,train/ent_coef_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
4,33,-173.06170654296875,0.0008459126528049375,151,-122.73472595214844,4931,0.017258785665035248,5032,1258.0,3.4835004806518555,-4.499357
8,32,-16.512691497802734,0.0008459126528049375,306,-123.48379516601562,9963,0.0010728484485298395,10064,1258.0,2.5721139907836914,-3.39514075
12,32,1.805254340171814,0.0008459126528049375,461,-118.02017211914062,14995,0.0014411511365324259,15096,1258.0,3.7291884422302246,-2.670704666666666
16,32,105.54742431640625,0.0008459126528049375,616,-115.21424102783203,20027,0.0005274093709886074,20128,1258.0,1.1932263374328613,-2.349352
20,32,0.7672070264816284,0.0008459126528049375,4,-111.89495086669922,25059,0.0005822929670102894,25160,1258.0,1.4721657037734985,-2.1400184500000003
24,32,38.402687072753906,0.0008459126528049375,161,-104.85765075683594,30091,0.0006602813373319805,30192,1258.0,12.12899398803711,-2.0135504166666665
28,32,-49.56846237182617,0.0008459126528049375,316,-101.89131927490234,35123,0.0006249755388125777,35224,1258.0,2.7109975814819336,-1.9016695714285714
32,32,4.5242133140563965,0.0008459126528049375,472,-100.45555114746094,40155,0.000568223767913878,40256,1258.0,8.139847755432129,-1.8312615625
36,32,-5.955837249755859,0.0008459126528049375,628,-99.99728393554688,45187,0.0006233067833818495,45288,1258.0,2.1095595359802246,-1.7871372499999998
40,25,2.9529266357421875,0.0008459126528049375,12,-98.00067138671875,50219,0.0006128906388767064,50320,1258.0,1.4943177700042725,-1.7465634250000002
44,26,-16.965818405151367,0.0008459126528049375,200,-90.65432739257812,55251,0.0012039936846122146,55352,1258.0,5.192080497741699,-1.6951184545454545
48,28,-48.440975189208984,0.0008459126528049375,361,-75.98054504394531,60283,0.001242491533048451,60384,1258.0,6.787024974822998,-1.6664677083333335
52,28,-21.6777286529541,0.0008459126528049375,533,-66.50267028808594,65315,0.0006872154772281647,65416,1258.0,4.154647350311279,-1.6350490384615388
56,29,-45.77239990234375,0.0008459126528049375,688,-63.158199310302734,70347,0.0008608420030213892,70448,1258.0,7.04110050201416,-1.611181910714286
60,25,-7.079563617706299,0.0008459126528049375,18,-53.850433349609375,75379,0.0008401070954278111,75480,1258.0,19.185665130615234,-1.57876035
64,25,-31.719974517822266,0.0008459126528049375,216,-43.84474563598633,80411,0.0007696253596805036,80512,1258.0,14.468404769897461,-1.564264453125
68,26,-33.2700080871582,0.0008459126528049375,397,-45.091590881347656,85443,0.0013961197109892964,85544,1258.0,7.349155426025391,-1.5518373529411766
72,25,-68.34664916992188,0.0008459126528049375,604,-37.870819091796875,90475,0.0015570363029837608,90576,1258.0,5.6811370849609375,-1.5230715555555554
76,26,-60.13671875,0.0008459126528049375,780,-29.291898727416992,95507,0.001643763156607747,95608,1258.0,12.9331693649292,-1.4973882368421052
