time/episodes,time/fps,train/ent_coef_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
4,29,-185.13909912109375,0.0008459126528049375,171,-122.50900268554688,4931,0.01708346977829933,5032,1258.0,1.9487926959991455,-4.345662750000001
8,28,-104.94342803955078,0.0008459126528049375,357,-123.64550018310547,9963,0.001267039100639522,10064,1258.0,2.7755818367004395,-3.220413
12,28,35.452857971191406,0.0008459126528049375,532,-113.06678009033203,14995,0.0008106440654955804,15096,1258.0,3.1362123489379883,-2.6157452500000002
16,28,-27.65987777709961,0.0008459126528049375,698,-105.51718139648438,20027,0.000662264705169946,20128,1258.0,2.5863614082336426,-2.294116375
20,29,-5.892271995544434,0.0008459126528049375,5,-97.72196960449219,25059,0.0007855768781155348,25160,1258.0,2.901747703552246,-2.0970402500000005
24,25,39.107852935791016,0.0008459126528049375,207,-92.34172821044922,30091,0.000611170195043087,30192,1258.0,184.15353393554688,-1.9579895416666666
28,24,-17.615093231201172,0.0008459126528049375,411,-88.56102752685547,35123,0.0004887056420557201,35224,1258.0,2.7810821533203125,-1.833951357142857
32,25,100.80616760253906,0.0008459126528049375,594,-84.63695526123047,40155,0.0003172236611135304,40256,1258.0,5.98405647277832,-1.7383721875
36,26,-72.77974700927734,0.0008459126528049375,767,-78.25531768798828,45187,0.00033013170468620956,45288,1258.0,7.014616966247559,-1.6675215
40,24,21.310014724731445,0.0008459126528049375,12,-77.82612609863281,50219,0.0005525653250515461,50320,1258.0,13.673686981201172,-1.606312925
44,27,4.131811141967773,0.0008459126528049375,197,-69.26586151123047,55251,0.0004969487199559808,55352,1258.0,1.155935287475586,-1.5570201818181815
48,28,8.279462814331055,0.0008459126528049375,367,-64.90282440185547,60283,0.0013974690809845924,60384,1258.0,20.978836059570312,-1.5109518125
52,28,-58.61326599121094,0.0008459126528049375,537,-61.26687240600586,65315,0.0008296151063404977,65416,1258.0,3.2161316871643066,-1.489488923076923
56,27,-37.60022735595703,0.0008459126528049375,732,-55.667118072509766,70347,0.0005971110076643527,70448,1258.0,1.6604162454605103,-1.4542956607142858
60,28,-50.832088470458984,0.0008459126528049375,17,-54.336952209472656,75379,0.00036103551974520087,75480,1258.0,0.9740220308303833,-1.4346722666666671
64,25,-16.38933563232422,0.0008459126528049375,213,-49.174312591552734,80411,0.0006202464574016631,80512,1258.0,1.8982001543045044,-1.40810525
68,24,-52.12793731689453,0.0008459126528049375,423,-50.4979248046875,85443,0.0008528991602361202,85544,1258.0,1.1124873161315918,-1.4001452352941175
72,25,3.91627836227417,0.0008459126528049375,617,-46.128944396972656,90475,0.000601825478952378,90576,1258.0,10.188077926635742,-1.3935036805555556
76,24,-20.63030433654785,0.0008459126528049375,840,-41.741355895996094,95507,0.0007077704067341983,95608,1258.0,20.768829345703125,-1.3862104342105264
