train/ent_coef_loss,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,time/fps
-167.18057250976562,0.0008459126528049375,5032,-4.590007,1258.0,4,443,4931,-123.55743408203125,2.0573081970214844,0.017545877024531364,11
-3.3782906532287598,0.0008459126528049375,10064,-3.600780625,1258.0,8,907,9963,-127.8848648071289,5.883882522583008,0.0011829480063170195,11
25.11330223083496,0.0008459126528049375,15096,-2.890155333333334,1258.0,12,1372,14995,-124.74810791015625,8.299398422241211,0.001130924909375608,10
-32.09859848022461,0.0008459126528049375,20128,-2.5865861875,1258.0,16,1838,20027,-114.7985610961914,4.5726518630981445,0.0010505325626581907,10
-81.04774475097656,0.0008459126528049375,25160,-2.34331895,1258.0,20,14,25059,-99.05783081054688,2.1087646484375,0.000708017498254776,10
42.656532287597656,0.0008459126528049375,30192,-2.193600416666667,1258.0,24,485,30091,-95.16681671142578,2.1439125537872314,0.0005936375237070024,10
-17.508949279785156,0.0008459126528049375,35224,-2.0871497857142858,1258.0,28,954,35123,-92.3711929321289,4.70247745513916,0.0004907377297058702,10
18.183551788330078,0.0008459126528049375,40256,-2.03974071875,1258.0,32,1420,40155,-91.06175994873047,3.704758644104004,0.0004886033711954951,10
-16.722972869873047,0.0008459126528049375,45288,-1.968984777777778,1258.0,36,1884,45187,-84.331298828125,4.146060943603516,0.0008306624949909747,10
37.428382873535156,0.0008459126528049375,50320,-1.9173603,1258.0,40,29,50219,-81.50010681152344,15.616281509399414,0.0008901272667571902,10
-31.28313446044922,0.0008459126528049375,55352,-1.8858570000000001,1258.0,44,489,55251,-67.26516723632812,18.856700897216797,0.001588456449098885,10
-17.78854751586914,0.0008459126528049375,60384,-1.8439666666666668,1258.0,48,948,60283,-61.0743408203125,28.93868637084961,0.0022270178887993097,10
-16.24512481689453,0.0008459126528049375,65416,-1.8060079615384614,1258.0,52,1407,65315,-58.12739562988281,14.895037651062012,0.002154230372980237,10
-3.7844204902648926,0.0008459126528049375,70448,-1.7613175892857142,1258.0,56,1865,70347,-40.536319732666016,13.309483528137207,0.002297627739608288,10
-5.175053596496582,0.0008459126528049375,75480,-1.73639445,1258.0,60,44,75379,-29.044118881225586,49.306976318359375,0.002451604465022683,10
46.20097351074219,0.0008459126528049375,80512,-1.708018625,1258.0,64,521,80411,-12.366171836853027,33.883121490478516,0.001524715917184949,10
-33.79261779785156,0.0008459126528049375,85544,-1.6931161764705882,1258.0,68,1000,85443,-2.1649951934814453,30.963647842407227,0.0015481405425816774,10
-48.803077697753906,0.0008459126528049375,90576,-1.6690406666666666,1258.0,72,1477,90475,19.351911544799805,33.44475555419922,0.0017272814875468612,10
