rollout/ep_rew_mean,time/episodes,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,time/fps,train/critic_loss,time/time_elapsed,train/ent_coef,time/total_timesteps,train/learning_rate,train/n_updates
-5.41628325,4,-122.83659362792969,-181.34864807128906,1258.0,21,1.6606130599975586,238,0.017269669100642204,5032,0.0008459126528049375,4931
-4.309530625000001,8,-126.38194274902344,29.93834686279297,1258.0,21,4.347558975219727,476,0.0014921939000487328,10064,0.0008459126528049375,9963
-3.608655583333334,12,-112.40330505371094,64.64895629882812,1258.0,20,36.60277557373047,729,0.00124738656450063,15096,0.0008459126528049375,14995
-3.3151538125,16,-110.2829818725586,0.0012500286102294922,1258.0,20,2.181535005569458,963,0.000875969126354903,20128,0.0008459126528049375,20027
-3.146378,20,-108.74864959716797,18.477802276611328,1258.0,22,1.5348752737045288,7,0.0006586857489310205,25160,0.0008459126528049375,25059
-3.009692,24,-104.73201751708984,-5.2244367599487305,1258.0,21,1.006279706954956,241,0.00048082461580634117,30192,0.0008459126528049375,30091
-2.90514425,28,-90.10828399658203,-86.28097534179688,1258.0,21,2.028693199157715,482,0.0008757419418543577,35224,0.0008459126528049375,35123
-2.8294602812500003,32,-82.04283142089844,-19.749801635742188,1258.0,20,3.7461886405944824,730,0.0004234381194692105,40256,0.0008459126528049375,40155
-2.7712967499999994,36,-72.12687683105469,3.363896369934082,1258.0,20,5.721243381500244,972,0.0008541579591110349,45288,0.0008459126528049375,45187
-2.726192075,40,-69.455078125,18.653392791748047,1258.0,21,1.7478621006011963,15,0.00033786080894060433,50320,0.0008459126528049375,50219
-2.7040378181818183,44,-42.05728530883789,17.48025894165039,1258.0,20,3.4011809825897217,255,0.0005383488605730236,55352,0.0008459126528049375,55251
-2.6851925000000008,48,-29.6380558013916,12.823537826538086,1258.0,21,5.715699195861816,492,0.000701579381711781,60384,0.0008459126528049375,60283
-2.649573230769232,52,-22.049819946289062,-32.37617111206055,1258.0,20,5.011180877685547,738,0.0011157257249578834,65416,0.0008459126528049375,65315
-2.6321296607142854,56,-15.103092193603516,-15.213010787963867,1258.0,20,7.31673526763916,975,0.0011173266684636474,70448,0.0008459126528049375,70347
-2.6132626500000002,60,16.042837142944336,4.037867546081543,1258.0,21,46.557899475097656,22,0.0023745987564325333,75480,0.0008459126528049375,75379
-2.5811738281250003,64,33.97349548339844,-27.15386962890625,1258.0,20,48.004737854003906,269,0.0016558971256017685,80512,0.0008459126528049375,80411
-2.5614092941176474,68,39.468509674072266,-16.489789962768555,1258.0,20,15.792413711547852,520,0.001531098154373467,85544,0.0008459126528049375,85443
-2.541560666666667,72,52.496856689453125,-26.79311752319336,1258.0,20,11.106330871582031,771,0.0013560412917286158,90576,0.0008459126528049375,90475
-2.5407387236842105,76,59.69208908081055,11.28896427154541,1258.0,20,13.962830543518066,1022,0.0008292255224660039,95608,0.0008459126528049375,95507
