time/episodes,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/total_timesteps,time/time_elapsed,train/learning_rate,train/ent_coef_loss,time/fps,train/actor_loss
4,1.1315613985061646,-4.3237190000000005,0.019025450572371483,1223.0,4791,4892,197,0.0008459126528049375,-163.13363647460938,24,-122.1534423828125
8,0.6001254916191101,-3.289827375,0.0010038702748715878,1223.0,9683,9784,392,0.0008459126528049375,-35.46164321899414,24,-127.38143157958984
12,0.8247488737106323,-2.6650791666666667,0.0009051407687366009,1223.0,14575,14676,591,0.0008459126528049375,-50.938690185546875,24,-130.66493225097656
16,1.7165412902832031,-2.3186790625,0.000902006751857698,1223.0,19467,19568,793,0.0008459126528049375,58.424530029296875,24,-135.39244079589844
20,67.39961242675781,-2.13558915,0.0010519782081246376,1223.0,24359,24460,997,0.0008459126528049375,19.319190979003906,24,-136.30502319335938
24,134.8586883544922,-1.9907500000000002,0.0007903633522801101,1223.0,29251,29352,179,0.0008459126528049375,49.07792282104492,24,-137.24334716796875
28,1.83135986328125,-1.877668035714286,0.00043917555012740195,1223.0,34143,34244,383,0.0008459126528049375,30.457714080810547,24,-139.82083129882812
32,1.8104572296142578,-1.81048228125,0.0004668623732868582,1223.0,39035,39136,589,0.0008459126528049375,50.57134246826172,23,-143.541748046875
36,2.970163345336914,-1.7550441388888889,0.000728147744666785,1223.0,43927,44028,793,0.0008459126528049375,82.7731704711914,23,-144.84878540039062
40,3.62373685836792,-1.7051347500000003,0.0007350855157710612,1223.0,48819,48920,986,0.0008459126528049375,20.55769157409668,24,-143.55471801757812
44,2.4148759841918945,-1.6710746363636362,0.000866276619490236,1223.0,53711,53812,149,0.0008459126528049375,4.013741493225098,25,-145.149169921875
48,2.957106590270996,-1.6246143125,0.0006849453784525394,1223.0,58603,58704,343,0.0008459126528049375,2.3550362586975098,25,-144.83364868164062
52,67.64335632324219,-1.6007335192307688,0.0006996904266998172,1223.0,63495,63596,540,0.0008459126528049375,-36.26386642456055,25,-146.71786499023438
56,134.29837036132812,-1.5664972857142858,0.0013933178270235658,1223.0,68387,68488,744,0.0008459126528049375,-23.438474655151367,24,-147.61996459960938
60,5.368921756744385,-1.5386507,0.0009002939332276583,1223.0,73279,73380,955,0.0008459126528049375,10.7850341796875,24,-150.93807983398438
64,3.2317047119140625,-1.5127570937500001,0.001054759370163083,1223.0,78171,78272,147,0.0008459126528049375,30.744314193725586,22,-153.13900756835938
68,4.275424957275391,-1.479914367647059,0.002165968529880047,1223.0,83063,83164,379,0.0008459126528049375,-29.515033721923828,21,-157.0650177001953
