train/actor_loss,train/ent_coef_loss,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,train/learning_rate
-123.45923614501953,-180.738525390625,4,167,-4.30640025,4927,0.017351849004626274,1257.0,5028,30,1.3348870277404785,0.0008459126528049375
-129.27828979492188,-8.328516006469727,8,338,-3.2730105,9955,0.0012261763913556933,1257.0,10056,29,1.2877235412597656,0.0008459126528049375
-134.4806671142578,27.28518295288086,12,513,-2.6290841666666664,14983,0.0008538378751836717,1257.0,15084,29,1.5821009874343872,0.0008459126528049375
-139.6266326904297,-6.471686363220215,16,690,-2.2943791875,20011,0.0008236364228650928,1257.0,20112,29,3.340911626815796,0.0008459126528049375
-140.24574279785156,38.219173431396484,20,3,-2.0826854,25039,0.0008911924669519067,1257.0,25140,35,3.9275054931640625,0.0008459126528049375
-143.44139099121094,44.17190933227539,24,147,-1.9328521250000001,30067,0.0008490742184221745,1257.0,30168,35,3.170085906982422,0.0008459126528049375
-144.70570373535156,-67.24745178222656,28,291,-1.8286161785714288,35095,0.0009353709174320102,1257.0,35196,35,3.6398210525512695,0.0008459126528049375
-144.29275512695312,2.6720190048217773,32,435,-1.7460966249999998,40123,0.000884789798874408,1257.0,40224,34,5.085654258728027,0.0008459126528049375
-140.76405334472656,-17.18667221069336,36,579,-1.6787581666666667,45151,0.0010233448119834065,1257.0,45252,34,7.826102256774902,0.0008459126528049375
-136.22665405273438,8.428399085998535,40,9,-1.65257885,50179,0.0014681715983897448,1257.0,50280,28,10.140861511230469,0.0008459126528049375
-128.46029663085938,43.0211296081543,44,190,-1.6237612045454548,55207,0.0011178873246535659,1257.0,55308,27,2.8154149055480957,0.0008459126528049375
-127.73517608642578,-46.649688720703125,48,370,-1.5982842291666666,60235,0.0010281787253916264,1257.0,60336,27,2.178633689880371,0.0008459126528049375
-120.90031433105469,-102.0146484375,52,551,-1.5627467307692309,65263,0.0010709388880059123,1257.0,65364,27,39.72059631347656,0.0008459126528049375
-118.4133071899414,-7.863246917724609,56,706,-1.523704982142857,70291,0.0010284380987286568,1257.0,70392,28,2.6367692947387695,0.0008459126528049375
-115.0171890258789,46.59159851074219,60,15,-1.4977604999999998,75319,0.0012639639899134636,1257.0,75420,27,2.0406501293182373,0.0008459126528049375
-102.8031234741211,138.6082305908203,64,179,-1.477261109375,80347,0.0007425381918437779,1257.0,80448,30,29.079938888549805,0.0008459126528049375
