rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/episodes,train/ent_coef_loss,time/total_timesteps,train/n_updates,time/fps,train/actor_loss
-5.225140000000001,159,0.017332648858428,1257.0,2.195706844329834,0.0008459126528049375,4,-168.86117553710938,5028,4927,31,-123.77642822265625
-4.013599875,323,0.0012997149024158716,1257.0,3.9055700302124023,0.0008459126528049375,8,-18.25890350341797,10056,9955,31,-129.5623779296875
-3.414288333333333,487,0.0007431927951984107,1257.0,4.799711227416992,0.0008459126528049375,12,-20.223567962646484,15084,14983,30,-125.55775451660156
-3.0544673125,651,0.001729496754705906,1257.0,20.3569278717041,0.0008459126528049375,16,64.11390686035156,20112,20011,30,-106.18904876708984
-2.8633211,4,0.0007872876594774425,1257.0,5.618807792663574,0.0008459126528049375,20,19.531497955322266,25140,25039,31,-97.99217224121094
-2.6946246249999994,168,0.0006347617600113153,1257.0,3.0299110412597656,0.0008459126528049375,24,52.8127555847168,30168,30067,30,-81.60107421875
-2.604365142857142,332,0.0007280998397618532,1257.0,1.96859872341156,0.0008459126528049375,28,-32.32720184326172,35196,35095,30,-74.79414367675781
-2.51742153125,495,0.0005650398088619113,1257.0,5.547623634338379,0.0008459126528049375,32,-2.8025622367858887,40224,40123,30,-72.3201675415039
-2.444852,657,0.001216100063174963,1257.0,4.555024147033691,0.0008459126528049375,36,-44.430206298828125,45252,45151,30,-59.465171813964844
-2.4219994,8,0.0006428596680052578,1257.0,2.332711935043335,0.0008459126528049375,40,48.966392517089844,50280,50179,31,-48.64909362792969
-2.3783267954545453,171,0.0006333833443932235,1257.0,1.8084378242492676,0.0008459126528049375,44,31.454076766967773,55308,55207,31,-39.4952278137207
-2.339453333333333,333,0.0016072358703240752,1257.0,2.9192094802856445,0.0008459126528049375,48,22.26272964477539,60336,60235,31,-28.675809860229492
-2.3062622307692306,496,0.0008198402938432992,1257.0,10.461357116699219,0.0008459126528049375,52,30.436513900756836,65364,65263,30,-20.97779083251953
-2.279475875,674,0.0005999801796860993,1257.0,8.92315673828125,0.0008459126528049375,56,-2.4239954948425293,70392,70291,30,-15.714211463928223
-2.2848287666666662,16,0.000674327602609992,1257.0,5.783911228179932,0.0008459126528049375,60,7.244799613952637,75420,75319,25,-5.987575054168701
-2.26333675,221,0.0012139042373746634,1257.0,6.713624000549316,0.0008459126528049375,64,20.890796661376953,80448,80347,24,-1.3349889516830444
-2.2540124852941177,428,0.0014382615918293595,1257.0,10.85451889038086,0.0008459126528049375,68,-0.7080958485603333,85476,85375,24,10.316375732421875
-2.240104013888889,634,0.0006055076373741031,1257.0,4.912008285522461,0.0008459126528049375,72,4.121439456939697,90504,90403,24,19.90001678466797
-2.225284894736842,843,0.0009523374610580504,1257.0,4.0988545417785645,0.0008459126528049375,76,32.32669448852539,95532,95431,24,31.187461853027344
