train/n_updates,train/ent_coef_loss,time/episodes,time/fps,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,train/critic_loss
4927,-167.50392150878906,4,11,0.0008459126528049375,1257.0,451,-121.47957611083984,5028,0.017663484439253807,-5.53917375,47.343727111816406
9955,78.66424560546875,8,10,0.0008459126528049375,1257.0,923,-129.43719482421875,10056,0.0016117868945002556,-4.337084125,4.81240177154541
14983,6.865624904632568,12,10,0.0008459126528049375,1257.0,1392,-122.36456298828125,15084,0.0012651380384340882,-3.594084583333333,20.238428115844727
20011,81.30709838867188,16,10,0.0008459126528049375,1257.0,1859,-116.04085540771484,20112,0.000980084529146552,-3.2441108124999998,6.1895294189453125
25039,61.00060272216797,20,10,0.0008459126528049375,1257.0,13,-103.25823974609375,25140,0.000998650910332799,-3.0421234999999998,6.220440864562988
30067,-7.521589279174805,24,10,0.0008459126528049375,1257.0,498,-85.25402069091797,30168,0.0009523347252979875,-2.867428916666667,3.930783987045288
35095,-5.311059951782227,28,10,0.0008459126528049375,1257.0,980,-64.94998931884766,35196,0.0007387860678136349,-2.7564118214285718,2.8243298530578613
40123,10.043603897094727,32,10,0.0008459126528049375,1257.0,1452,-63.47202682495117,40224,0.0006147539243102074,-2.6607052500000004,1.2344133853912354
45151,-5.396206378936768,36,10,0.0008459126528049375,1257.0,1918,-58.278106689453125,45252,0.0004015291342511773,-2.590894527777778,0.6324196457862854
50179,65.41598510742188,40,10,0.0008459126528049375,1257.0,26,-49.34994888305664,50280,0.00028198209474794567,-2.5235904500000004,0.7559170722961426
55207,-70.07950592041016,44,10,0.0008459126528049375,1257.0,500,-28.78839111328125,55308,0.0004945590044371784,-2.458892613636364,1.1502561569213867
60235,-2.9422597885131836,48,10,0.0008459126528049375,1257.0,974,-26.915149688720703,60336,0.00027841716655530035,-2.3979681041666665,0.6780883073806763
65263,-40.800418853759766,52,10,0.0008459126528049375,1257.0,1430,-26.598798751831055,65364,0.00023071163741406053,-2.353856153846154,2.3672971725463867
70291,-57.178340911865234,56,10,0.0008459126528049375,1257.0,1908,-25.08193588256836,70392,0.00022816950513515621,-2.32706125,0.657945454120636
75319,26.342998504638672,60,10,0.0008459126528049375,1257.0,39,-23.038284301757812,75420,0.0001603440468898043,-2.2923997333333332,1.138664960861206
80347,40.34844970703125,64,10,0.0008459126528049375,1257.0,520,-21.96100425720215,80448,0.0002495570224709809,-2.251077921875,1.4319697618484497
85375,-35.62696075439453,68,10,0.0008459126528049375,1257.0,1001,-15.716995239257812,85476,0.0006550789694301784,-2.2300383235294112,0.7523604035377502
90403,-41.743003845214844,72,10,0.0008459126528049375,1257.0,1487,-10.173513412475586,90504,0.00026437247288413346,-2.2049558194444447,0.48317989706993103
95431,-61.492095947265625,76,10,0.0008459126528049375,1257.0,1954,-7.129926681518555,95532,0.0002715027367230505,-2.187214631578948,0.7997674942016602
