train/critic_loss,train/ent_coef_loss,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,time/fps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/n_updates,time/episodes
54.93427276611328,-165.3343505859375,-122.03340148925781,1257.0,5028,33,0.0008459126528049375,-5.0397835,150,0.017533639445900917,4927,4
1.5381240844726562,-67.8686294555664,-129.6532745361328,1257.0,10056,31,0.0008459126528049375,-3.9726701250000005,316,0.000934314914047718,9955,8
55.57795715332031,-24.537025451660156,-132.70587158203125,1257.0,15084,30,0.0008459126528049375,-3.2672865000000004,487,0.0008694445132277906,14983,12
6.123940467834473,-65.43363189697266,-135.5968017578125,1257.0,20112,29,0.0008459126528049375,-2.9760764375,677,0.0009327422012574971,20011,16
8.462991714477539,0.01107187569141388,-132.79229736328125,1257.0,25140,32,0.0008459126528049375,-2.7897029499999997,4,0.0018697768682613969,25039,20
3.1797242164611816,13.462881088256836,-129.9090576171875,1257.0,30168,28,0.0008459126528049375,-2.681665166666667,183,0.0014621472219005227,30067,24
3.0660929679870605,68.46604919433594,-126.24983215332031,1257.0,35196,30,0.0008459126528049375,-2.6059024999999996,338,0.0006052054231986403,35095,28
2.079838275909424,-29.1884708404541,-123.70055389404297,1257.0,40224,30,0.0008459126528049375,-2.5346061874999997,491,0.0008946083835326135,40123,32
58.92866134643555,65.01937866210938,-120.5194091796875,1257.0,45252,30,0.0008459126528049375,-2.488310027777777,653,0.0007194216595962644,45151,36
39.88719177246094,114.54759216308594,-117.61689758300781,1257.0,50280,33,0.0008459126528049375,-2.462868125,8,0.00032501411624252796,50179,40
3.927165985107422,-2.2775096893310547,-118.7169418334961,1257.0,55308,33,0.0008459126528049375,-2.436552022727273,160,0.001104049850255251,55207,44
3.8419885635375977,-8.645381927490234,-113.28990936279297,1257.0,60336,30,0.0008459126528049375,-2.402540375,343,0.0009650176507420838,60235,48
1.3186233043670654,-29.008216857910156,-107.1837387084961,1257.0,65364,28,0.0008459126528049375,-2.377143384615384,532,0.00045895593939349055,65263,52
71.33975219726562,179.6083526611328,-81.22050476074219,1257.0,70392,28,0.0008459126528049375,-2.340806982142857,704,0.000479239271953702,70291,56
3.7631454467773438,-17.907089233398438,-76.30109405517578,1257.0,75420,25,0.0008459126528049375,-2.3363792999999995,16,0.0004883855581283569,75319,60
7.847272872924805,12.311515808105469,-62.895477294921875,1257.0,80448,25,0.0008459126528049375,-2.316231140625,214,0.0003337048110552132,80347,64
1.2109813690185547,62.03248596191406,-59.799068450927734,1257.0,85476,25,0.0008459126528049375,-2.3057577352941174,412,0.0005972505314275622,85375,68
4.270549774169922,-3.05348801612854,-55.18771743774414,1257.0,90504,26,0.0008459126528049375,-2.3096720138888887,593,0.0013814166886731982,90403,72
0.8613976240158081,117.13390350341797,-50.73332595825195,1257.0,95532,25,0.0008459126528049375,-2.317047592105263,790,0.0004927074769511819,95431,76
