rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/fps,train/n_updates,train/ent_coef,train/ent_coef_loss,time/episodes,train/learning_rate
-4.56030825,-118.88493347167969,490,1.4126718044281006,1257.0,5028,10,4927,0.017040066421031952,-165.83956909179688,4,0.0008459126528049375
-3.63758975,-120.72118377685547,985,2.0367252826690674,1257.0,10056,10,9955,0.0008881096146069467,13.569487571716309,8,0.0008459126528049375
-2.9100684166666664,-112.09616088867188,1475,8.35454273223877,1257.0,15084,10,14983,0.0013138634385541081,-58.57736587524414,12,0.0008459126528049375
-2.58388625,-103.54498291015625,1965,2.1452465057373047,1257.0,20112,10,20011,0.0006919052684679627,66.38906860351562,16,0.0008459126528049375
-2.37923055,-100.46438598632812,13,2.0052778720855713,1257.0,25140,10,25039,0.00046440804726444185,37.74958038330078,20,0.0008459126528049375
-2.1900962500000003,-100.57515716552734,506,4.577014446258545,1257.0,30168,10,30067,0.0007940956857055426,29.819517135620117,24,0.0008459126528049375
-2.0885783571428576,-87.29336547851562,1005,3.678741216659546,1257.0,35196,10,35095,0.001286779181100428,-64.3814926147461,28,0.0008459126528049375
-2.01204459375,-80.93540954589844,1511,1.703153371810913,1257.0,40224,10,40123,0.0004251387726981193,73.33050537109375,32,0.0008459126528049375
-1.9731076111111112,-76.8438491821289,2017,2.141289234161377,1257.0,45252,10,45151,0.00023404642706736922,17.770111083984375,36,0.0008459126528049375
-1.938179775,-58.70158386230469,27,2.3453972339630127,1257.0,50280,10,50179,0.0003330269828438759,51.03440856933594,40,0.0008459126528049375
-1.8974299545454547,-39.62485122680664,519,2.4319682121276855,1257.0,55308,10,55207,0.000290639785816893,0.7097514867782593,44,0.0008459126528049375
-1.8715178333333335,-32.856712341308594,998,6.211243629455566,1257.0,60336,10,60235,0.0003180946223437786,-26.674840927124023,48,0.0008459126528049375
