time/episodes,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/total_timesteps,time/time_elapsed,train/learning_rate,train/ent_coef_loss,time/fps,train/actor_loss
4,0.8257255554199219,-4.2706835000000005,0.019249949604272842,1223.0,4791,4892,230,0.0008459126528049375,-166.7599334716797,21,-122.17720031738281
8,64.00022888183594,-3.367492875,0.001268411404453218,1223.0,9683,9784,454,0.0008459126528049375,-72.94084167480469,21,-127.536865234375
12,65.4669189453125,-2.757182916666667,0.0008535447996109724,1223.0,14575,14676,708,0.0008459126528049375,22.122516632080078,20,-132.90802001953125
16,0.8503191471099854,-2.426351375,0.0006602108478546143,1223.0,19467,19568,942,0.0008459126528049375,-27.337329864501953,20,-133.56710815429688
20,1.9594204425811768,-2.22550635,0.001127975177951157,1223.0,24359,24460,1166,0.0008459126528049375,-20.21351432800293,20,-138.49874877929688
24,1.2260322570800781,-2.0589631666666666,0.0008748137042857707,1223.0,29251,29352,204,0.0008459126528049375,11.302164077758789,21,-142.05987548828125
28,2.5284409523010254,-1.952734107142857,0.001170614967122674,1223.0,34143,34244,424,0.0008459126528049375,-18.711959838867188,21,-143.16989135742188
32,4.46125602722168,-1.909346625,0.0008618906140327454,1223.0,39035,39136,659,0.0008459126528049375,-54.34086608886719,21,-147.2572021484375
36,7.973785877227783,-1.854601305555556,0.0011961932759732008,1223.0,43927,44028,897,0.0008459126528049375,17.47238540649414,21,-147.98306274414062
40,2.912789821624756,-1.8187425249999998,0.0007409614627249539,1223.0,48819,48920,1132,0.0008459126528049375,-14.118690490722656,21,-151.01377868652344
44,13.890447616577148,-1.780468818181818,0.001078678760677576,1223.0,53711,53812,179,0.0008459126528049375,5.280380725860596,21,-152.07601928710938
48,6.525320529937744,-1.7397477916666666,0.0007303589954972267,1223.0,58603,58704,416,0.0008459126528049375,-68.57488250732422,20,-154.24063110351562
52,4.43133544921875,-1.7084440961538463,0.0014691338874399662,1223.0,63495,63596,654,0.0008459126528049375,-35.1410026550293,20,-157.0630645751953
56,5.207360744476318,-1.672418857142857,0.0016984206158667803,1223.0,68387,68488,886,0.0008459126528049375,-46.83694076538086,20,-160.12525939941406
60,81.16676330566406,-1.6545786833333331,0.001172368531115353,1223.0,73279,73380,1129,0.0008459126528049375,17.827037811279297,20,-162.84254455566406
64,4.604669094085693,-1.64153546875,0.0010483077494427562,1223.0,78171,78272,155,0.0008459126528049375,91.70343780517578,21,-162.88429260253906
68,89.20864868164062,-1.6343555147058824,0.0008935651276260614,1223.0,83063,83164,394,0.0008459126528049375,-39.68526840209961,20,-165.14309692382812
72,3.0572524070739746,-1.61626475,0.0019486170494928956,1223.0,87955,88056,633,0.0008459126528049375,5.9791388511657715,20,-168.45265197753906
76,7.33477258682251,-1.609133539473684,0.001687549869529903,1223.0,92847,92948,873,0.0008459126528049375,63.6220703125,20,-171.39114379882812
80,3.8892085552215576,-1.59943795,0.001860144198872149,1223.0,97739,97840,1113,0.0008459126528049375,17.133445739746094,20,-170.3426055908203
