time/episodes,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/total_timesteps,time/time_elapsed,train/learning_rate,train/ent_coef_loss,time/fps,train/actor_loss
4,58.808475494384766,-4.3612455,0.01954733207821846,1223.0,4791,4892,195,0.0008459126528049375,-187.24461364746094,24,-122.35980224609375
8,0.36868011951446533,-3.3855476250000005,0.00116149359382689,1223.0,9683,9784,390,0.0008459126528049375,-69.42454528808594,25,-129.3411865234375
12,0.7875498533248901,-2.7661503333333335,0.0009519601590000093,1223.0,14575,14676,585,0.0008459126528049375,46.04132843017578,25,-135.32382202148438
16,0.7198563814163208,-2.4743054375,0.001186573295854032,1223.0,19467,19568,799,0.0008459126528049375,2.511530637741089,24,-138.97015380859375
20,3.4249801635742188,-2.275759,0.0008629137300886214,1223.0,24359,24460,1056,0.0008459126528049375,-55.21551513671875,23,-142.74386596679688
24,72.77894592285156,-2.1766572083333333,0.0012517928844317794,1223.0,29251,29352,242,0.0008459126528049375,-5.814501762390137,17,-143.57803344726562
28,73.27891540527344,-2.117972892857143,0.0007840163889341056,1223.0,34143,34244,517,0.0008459126528049375,-6.644417762756348,17,-145.31529235839844
32,2.0211708545684814,-2.05380240625,0.0008470680331811309,1223.0,39035,39136,797,0.0008459126528049375,-61.97613525390625,17,-149.01486206054688
36,3.1991047859191895,-2.0178766111111113,0.0006960834725759923,1223.0,43927,44028,1072,0.0008459126528049375,32.52522277832031,17,-151.7847442626953
40,3.5421485900878906,-1.9756209249999999,0.0009462392772547901,1223.0,48819,48920,1342,0.0008459126528049375,40.222896575927734,17,-153.708251953125
44,6.721109390258789,-1.9455662954545452,0.0010937137994915247,1223.0,53711,53812,210,0.0008459126528049375,-43.317108154296875,18,-159.33226013183594
48,3.4493021965026855,-1.9313446250000001,0.0016761786537244916,1223.0,58603,58704,480,0.0008459126528049375,16.00421142578125,18,-160.76760864257812
52,3.1397275924682617,-1.922322980769231,0.0010710828937590122,1223.0,63495,63596,760,0.0008459126528049375,7.922881603240967,17,-163.7782745361328
56,3.3782339096069336,-1.8974236964285711,0.0012527435319498181,1223.0,68387,68488,1013,0.0008459126528049375,-35.31549072265625,18,-165.71241760253906
60,88.80740356445312,-1.8908213666666662,0.001188059919513762,1223.0,73279,73380,1233,0.0008459126528049375,29.64188003540039,18,-168.8005828857422
64,6.010352611541748,-1.884442515625,0.0026116925291717052,1223.0,78171,78272,160,0.0008459126528049375,-9.533903121948242,20,-170.87193298339844
68,3.6161270141601562,-1.8717342205882355,0.0016581276431679726,1223.0,83063,83164,403,0.0008459126528049375,5.785219192504883,20,-174.229248046875
72,8.941774368286133,-1.8582036944444442,0.0016098052728921175,1223.0,87955,88056,641,0.0008459126528049375,-19.895381927490234,20,-177.21734619140625
76,3.585433006286621,-1.8579860657894738,0.0014342237263917923,1223.0,92847,92948,887,0.0008459126528049375,11.094404220581055,20,-178.88186645507812
80,4.579853057861328,-1.8604204624999998,0.001355930115096271,1223.0,97739,97840,1129,0.0008459126528049375,-21.13779067993164,20,-181.56854248046875
