rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/total_timesteps
-4.22849475,57,4,2.182842254638672,4927,0.0008459126528049375,1257.0,0.017164796590805054,87,-122.11528778076172,-172.64527893066406,5028
-3.191894625,56,8,32.239097595214844,9955,0.0008459126528049375,1257.0,0.0011285643558949232,177,-132.06161499023438,49.445640563964844,10056
-2.574680416666667,56,12,5.711102485656738,14983,0.0008459126528049375,1257.0,0.0007335833506658673,266,-137.71974182128906,-49.34929656982422,15084
-2.2634545624999998,55,16,2.707314968109131,20011,0.0008459126528049375,1257.0,0.0011096480302512646,364,-140.0681610107422,-18.56224250793457,20112
-2.1036001,46,20,4.012294769287109,25039,0.0008459126528049375,1257.0,0.0006985962972976267,3,-128.883056640625,-47.03634262084961,25140
-1.9725330833333334,47,24,4.272700309753418,30067,0.0008459126528049375,1257.0,0.0005246234941296279,109,-112.34596252441406,-32.55186462402344,30168
-1.9008510714285713,48,28,117.24050903320312,35095,0.0008459126528049375,1257.0,0.0003241232770960778,208,-87.89352416992188,393.75421142578125,35196
-1.8339086875000001,52,32,7.861843109130859,40123,0.0008459126528049375,1257.0,0.0014630162622779608,292,-68.25975799560547,-59.866634368896484,40224
-1.7883315833333333,53,36,21.296852111816406,45151,0.0008459126528049375,1257.0,0.0017875880002975464,377,-42.29180145263672,-21.69634437561035,45252
-1.7651163500000002,56,40,6.085355758666992,50179,0.0008459126528049375,1257.0,0.00047067191917449236,4,-20.569515228271484,29.127460479736328,50280
-1.7420065454545457,57,44,7.9474053382873535,55207,0.0008459126528049375,1257.0,0.0006572629208676517,91,1.7787370681762695,-66.17987823486328,55308
-1.7251607708333332,56,48,3.143551826477051,60235,0.0008459126528049375,1257.0,0.0003037956194020808,182,11.251842498779297,-20.50641441345215,60336
-1.712796634615385,56,52,4.338254928588867,65263,0.0008459126528049375,1257.0,0.000373576651327312,272,24.772750854492188,-29.447336196899414,65364
-1.6946976964285716,56,56,6.603597640991211,70291,0.0008459126528049375,1257.0,0.000328376772813499,358,39.986854553222656,-21.83123016357422,70392
-1.6886305833333337,59,60,3.306919813156128,75319,0.0008459126528049375,1257.0,0.00037015581619925797,7,54.90656661987305,-21.258474349975586,75420
-1.6897214218749999,58,64,3.721057891845703,80347,0.0008459126528049375,1257.0,0.00026990805054083467,93,70.51362609863281,-39.85487747192383,80448
-1.6720436617647056,57,68,2.0260961055755615,85375,0.0008459126528049375,1257.0,0.0003648354031611234,180,83.08733367919922,-20.193851470947266,85476
-1.6520916805555557,57,72,5.0051751136779785,90403,0.0008459126528049375,1257.0,0.0006922194152139127,267,99.07142639160156,-37.437686920166016,90504
-1.6390650789473686,56,76,1.9121849536895752,95431,0.0008459126528049375,1257.0,0.0001861933124018833,360,106.32423400878906,-8.061939239501953,95532
