train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,time/fps,train/critic_loss,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/actor_loss
-166.76707458496094,0.0008459126528049375,4927,0.017710130661725998,11,47.498138427734375,4,-4.5763405,451,1257.0,5028,-121.49009704589844
46.63881301879883,0.0008459126528049375,9955,0.0013426729710772634,10,4.317488193511963,8,-3.5428288749999997,923,1257.0,10056,-128.99441528320312
-38.39952850341797,0.0008459126528049375,14983,0.001972752856090665,10,20.139995574951172,12,-2.8998687499999996,1396,1257.0,15084,-117.64582824707031
-65.8323745727539,0.0008459126528049375,20011,0.0024108134675771,10,11.32577896118164,16,-2.5600979375,1870,1257.0,20112,-103.93963623046875
-64.49197387695312,0.0008459126528049375,25039,0.0014899969100952148,10,6.969878196716309,20,-2.34587775,13,1257.0,25140,-81.9468765258789
-65.10192108154297,0.0008459126528049375,30067,0.0018141857581213117,10,27.90737533569336,24,-2.171204916666667,484,1257.0,30168,-70.43255615234375
78.45709228515625,0.0008459126528049375,35095,0.0010648954194039106,10,6.183568954467773,28,-2.06324525,956,1257.0,35196,-55.63574981689453
-14.582059860229492,0.0008459126528049375,40123,0.000814613129477948,10,1.128596544265747,32,-1.9694252187499999,1428,1257.0,40224,-54.40736770629883
-29.468334197998047,0.0008459126528049375,45151,0.0006683057290501893,10,2.1735963821411133,36,-1.9306244722222223,1899,1257.0,45252,-52.25990676879883
6.401067733764648,0.0008459126528049375,50179,0.0006163755897432566,10,2.7644834518432617,40,-1.8844637,25,1257.0,50280,-47.51469421386719
-19.874330520629883,0.0008459126528049375,55207,0.0006770878680981696,11,4.750306129455566,44,-1.835906295454545,481,1257.0,55308,-43.232154846191406
55.985164642333984,0.0008459126528049375,60235,0.000585947826039046,11,1.432422399520874,48,-1.7982157083333334,937,1257.0,60336,-39.99759292602539
-31.810707092285156,0.0008459126528049375,65263,0.0009301049285568297,11,3.992609977722168,52,-1.7740495,1393,1257.0,65364,-29.434322357177734
43.69391632080078,0.0008459126528049375,70291,0.001133961253799498,11,46.7207145690918,56,-1.7447073214285713,1850,1257.0,70392,-20.01932716369629
-8.763833045959473,0.0008459126528049375,75319,0.0011016319040209055,10,2.4701154232025146,60,-1.7128170333333335,40,1257.0,75420,-10.15534782409668
7.264272212982178,0.0008459126528049375,80347,0.0008109293994493783,10,1.7804901599884033,64,-1.6894417499999999,543,1257.0,80448,-5.840559482574463
-13.569658279418945,0.0008459126528049375,85375,0.0020251350942999125,10,10.802387237548828,68,-1.6594331470588235,1034,1257.0,85476,7.977461814880371
-49.777400970458984,0.0008459126528049375,90403,0.0003726633731275797,10,2.7939066886901855,72,-1.6535975972222223,1525,1257.0,90504,17.191434860229492
-37.21699142456055,0.0008459126528049375,95431,0.0008191509987227619,10,1.988999366760254,76,-1.6241640789473684,2021,1257.0,95532,22.683534622192383
