train/critic_loss,train/ent_coef_loss,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,time/fps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/n_updates,time/episodes
0.9731985330581665,-162.63003540039062,-121.19935607910156,1257.0,5028,26,0.0008459126528049375,-5.600784,190,0.017282750457525253,4927,4
57.299137115478516,-6.4823808670043945,-127.8659896850586,1257.0,10056,26,0.0008459126528049375,-4.431312875,373,0.0012690272415056825,9955,8
2.8347482681274414,26.39948272705078,-132.9776153564453,1257.0,15084,26,0.0008459126528049375,-3.677856333333333,571,0.0008202911703847349,14983,12
3.1931073665618896,33.46045684814453,-135.45135498046875,1257.0,20112,26,0.0008459126528049375,-3.3158839999999996,759,0.0008022001711651683,20011,16
51.03437042236328,39.8912467956543,-136.0791778564453,1257.0,25140,29,0.0008459126528049375,-3.0928201499999997,4,0.0009659305796958506,25039,20
6.108017921447754,8.385581970214844,-138.2378692626953,1257.0,30168,29,0.0008459126528049375,-2.937451583333333,177,0.0009967199293896556,30067,24
4.610525608062744,-5.405278205871582,-143.2112579345703,1257.0,35196,29,0.0008459126528049375,-2.8282286428571424,345,0.000634379277471453,35095,28
43.50591278076172,36.404457092285156,-137.92649841308594,1257.0,40224,28,0.0008459126528049375,-2.7324920312499996,525,0.0006543081835843623,40123,32
12.21274185180664,97.90219116210938,-135.51156616210938,1257.0,45252,27,0.0008459126528049375,-2.686131527777777,724,0.0011903304839506745,45151,36
33.67940139770508,11.005249977111816,-126.89320373535156,1257.0,50280,31,0.0008459126528049375,-2.656420675,8,0.0010082515655085444,50179,40
3.772951126098633,-13.002189636230469,-114.14474487304688,1257.0,55308,31,0.0008459126528049375,-2.5877914090909098,171,0.001451876014471054,55207,44
2.544346809387207,-35.127586364746094,-114.73889923095703,1257.0,60336,31,0.0008459126528049375,-2.567422875,329,0.0009643539087846875,60235,48
5.426640510559082,-20.85711097717285,-112.563232421875,1257.0,65364,31,0.0008459126528049375,-2.540828596153846,493,0.0007236079545691609,65263,52
44.5329704284668,121.850830078125,-103.69927978515625,1257.0,70392,29,0.0008459126528049375,-2.513271142857143,680,0.0015060006408020854,70291,56
44.54631042480469,120.44294738769531,-91.86959075927734,1257.0,75420,30,0.0008459126528049375,-2.503824316666667,13,0.0014697146834805608,75319,60
1.8527443408966064,18.965803146362305,-92.26486206054688,1257.0,80448,26,0.0008459126528049375,-2.498613515625,203,0.0007574474439024925,80347,64
1.2327760457992554,-0.9740499258041382,-92.9583511352539,1257.0,85476,26,0.0008459126528049375,-2.4729756911764706,402,0.000906198809389025,85375,68
0.9702157974243164,-34.52968978881836,-93.0909423828125,1257.0,90504,26,0.0008459126528049375,-2.446825513888889,580,0.000554679601918906,90403,72
2.4107940196990967,23.541345596313477,-88.91477966308594,1257.0,95532,26,0.0008459126528049375,-2.4254890263157893,779,0.0004177556256763637,95431,76
