time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_range,train/n_updates,train/std,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,512,3663,,,,,,,,,,,,,
0,2,1024,1852,-0.036180847469950095,0.2,16,0.9989542365074158,-0.04087381064891815,0.0004092704424510632,0.08753596276801545,0.023125371,-0.7766684293746948,-43.968565940856934,0.2921142578125,,
0,3,1536,1582,-0.03287800690304721,0.2,32,1.0003710985183716,-0.04281735047698021,0.0004092704424510632,0.00404333756887354,0.017574906,-0.07620763778686523,-43.970765352249146,0.294921875,-2.599436,1257.0
1,4,2048,1481,-0.03639444820873905,0.2,48,0.9991224408149719,-0.04398404434323311,0.0004092704424510632,0.008907715426175855,0.023034113,-0.0034679174423217773,-43.98622953891754,0.3282470703125,-2.599436,1257.0
1,5,2560,1424,-0.024416494314209558,0.2,64,0.9959883093833923,-0.025018876418471336,0.0004092704424510632,0.004149716871324927,0.015777629,0.016103088855743408,-43.910720229148865,0.2178955078125,-2.705476,1257.0
2,6,3072,1388,-0.02400329292868264,0.2,80,0.9963207244873047,-0.02162986248731613,0.0004092704424510632,0.010151595459319651,0.017714197,0.0021257400512695312,-43.85615527629852,0.273193359375,-2.705476,1257.0
2,7,3584,1364,-0.030443315859884024,0.2,96,0.9969376921653748,-0.04178062826395035,0.0004092704424510632,0.002643138370331144,0.022165395,0.07332015037536621,-43.87947154045105,0.30126953125,-2.705476,1257.0
3,8,4096,1349,-0.03380715620005503,0.2,112,0.9952096343040466,-0.0459415540099144,0.0004092704424510632,0.0030920905046514235,0.021818189,-0.015000700950622559,-43.86789667606354,0.28857421875,-2.6570093333333333,1257.0
3,9,4608,1335,-0.028756652696756646,0.2,128,0.991715133190155,-0.030144132673740387,0.0004092704424510632,0.021499960392247885,0.019632729,-0.0018792152404785156,-43.78296613693237,0.313232421875,-2.6570093333333333,1257.0
3,10,5120,1325,-0.026337597504607402,0.2,144,0.9896851181983948,-0.032469384372234344,0.0004092704424510632,0.00421153569186572,0.018495604,0.006727814674377441,-43.686798334121704,0.2547607421875,-2.6403100000000004,1257.0
4,11,5632,1312,-0.021528752622543834,0.2,160,0.9897843599319458,-0.01188022829592228,0.0004092704424510632,0.03515316505217925,0.017767072,0.00017750263214111328,-43.65662658214569,0.22412109375,-2.6403100000000004,1257.0
4,12,6144,1306,-0.02886832984222565,0.2,176,0.9895808100700378,-0.03447512537240982,0.0004092704424510632,0.0033523731799505185,0.019335302,0.011057496070861816,-43.66004729270935,0.2760009765625,-2.6403100000000004,1257.0
5,13,6656,1301,-0.028140432317741215,0.2,192,0.9899059534072876,-0.030037760734558105,0.0004092704424510632,0.0023379936174023896,0.020660449,0.003146231174468994,-43.65344774723053,0.2808837890625,-2.6291404000000003,1257.0
5,14,7168,1298,-0.02440403326181695,0.2,208,0.9907234311103821,-0.016932936385273933,0.0004092704424510632,0.043780958163551986,0.015567154,0.000668644905090332,-43.675575733184814,0.2252197265625,-2.6291404000000003,1257.0
5,15,7680,1294,-0.02773279184475541,0.2,224,0.9906105399131775,-0.037757474929094315,0.0004092704424510632,0.005638609633024316,0.023627218,0.006460130214691162,-43.68302237987518,0.2628173828125,-2.6401516666666667,1257.0
6,16,8192,1291,-0.026999546753359027,0.2,240,0.9903638958930969,-0.009077675640583038,0.0004092704424510632,0.052824790705926716,0.026606012,0.0019047856330871582,-43.68424987792969,0.2855224609375,-2.6401516666666667,1257.0
6,17,8704,1288,-0.024272995913634077,0.2,256,0.9891504645347595,-0.025835616514086723,0.0004092704424510632,0.003077758454310242,0.012009461,-0.012830018997192383,-43.66027653217316,0.1993408203125,-2.6401516666666667,1257.0
7,18,9216,1284,-0.02812375727808103,0.2,272,0.9885082840919495,-0.03214452415704727,0.0004092704424510632,0.002614235825603828,0.019901512,0.0004969239234924316,-43.6258442401886,0.267822265625,-2.610722,1257.0
7,19,9728,1282,-0.02540115987358149,0.2,288,0.9873661398887634,-0.005101392045617104,0.0004092704424510632,0.061979507212527096,0.016527064,0.0017616748809814453,-43.60404562950134,0.285400390625,-2.610722,1257.0
7,20,10240,1280,-0.019783372175879776,0.2,304,0.9871566891670227,-0.019606994464993477,0.0004092704424510632,0.003164247846143553,0.0111121815,-0.005635380744934082,-43.57492399215698,0.16845703125,-2.6182745,1257.0
8,21,10752,1278,-0.02828542584029492,0.2,320,0.9860509634017944,0.00439896434545517,0.0004092704424510632,0.07135375903453678,0.02399407,0.0026848912239074707,-43.55761432647705,0.2808837890625,-2.6182745,1257.0
8,22,11264,1277,-0.02651709536439739,0.2,336,0.9857789278030396,-0.040023285895586014,0.0004092704424510632,0.0032650153261784,0.017477848,-0.10343015193939209,-43.52849626541138,0.2548828125,-2.6182745,1257.0
9,23,11776,1276,-0.02598937912262045,0.2,352,0.9849957227706909,-0.03212777152657509,0.0004092704424510632,0.0022042632263037376,0.01633517,0.003161132335662842,-43.52058815956116,0.228271484375,-2.6233113333333336,1257.0
9,24,12288,1274,-0.027623701229458675,0.2,368,0.9831259846687317,-0.008618749678134918,0.0004092704424510632,0.07754557917360216,0.031779174,0.0024331212043762207,-43.47224771976471,0.281982421875,-2.6233113333333336,1257.0
