time/episodes,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss
4,0.017373856157064438,4931,1.904419183731079,-170.43138122558594,-4.5298605,5032,1258.0,10,470,0.0008459126528049375,-121.72037506103516
8,0.0012165808584541082,9963,35.70528030395508,-64.89824676513672,-3.380085375,10064,1258.0,10,947,0.0008459126528049375,-122.35420989990234
12,0.0008064612629823387,14995,2.4311861991882324,24.052026748657227,-2.690361166666667,15096,1258.0,10,1417,0.0008459126528049375,-120.71537780761719
16,0.0008266258519142866,20027,1.4985551834106445,83.15047454833984,-2.3307535,20128,1258.0,10,1888,0.0008459126528049375,-109.37017059326172
20,0.0007358707371167839,25059,1.6776576042175293,38.57475280761719,-2.11678385,25160,1258.0,10,14,0.0008459126528049375,-105.87826538085938
24,0.000760127033572644,30091,3.482445001602173,-45.83369445800781,-1.9729337916666665,30192,1258.0,10,486,0.0008459126528049375,-99.38581085205078
28,0.0011564512969926,35123,5.104146957397461,-95.14684295654297,-1.8707921071428573,35224,1258.0,10,960,0.0008459126528049375,-81.3012466430664
32,0.0006543425261043012,40155,4.1922101974487305,13.607324600219727,-1.7827701875,40256,1258.0,10,1429,0.0008459126528049375,-68.78163146972656
36,0.0005987772601656616,45187,5.3130269050598145,-16.298442840576172,-1.7407731111111113,45288,1258.0,10,1885,0.0008459126528049375,-63.34061050415039
40,0.0006194847519509494,50219,149.51414489746094,232.16993713378906,-1.6861326499999998,50320,1258.0,10,30,0.0008459126528049375,-46.3792610168457
44,0.0011291461996734142,55251,12.917265892028809,-35.43628692626953,-1.645664227272727,55352,1258.0,10,508,0.0008459126528049375,-21.389617919921875
48,0.0004457774921320379,60283,3.934807300567627,75.90423583984375,-1.6187360208333335,60384,1258.0,10,985,0.0008459126528049375,-13.545999526977539
52,0.0008166327606886625,65315,16.557029724121094,-53.30397033691406,-1.5901994423076926,65416,1258.0,10,1462,0.0008459126528049375,-7.515134334564209
