time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,512,4164,,,,,,,,,,,,,
0,2,1024,2548,0.16480587597834528,-0.036457791284192353,1.0018837451934814,0.2,0.3218994140625,-0.25462424755096436,16,-0.0367666520178318,0.0004092704424510632,0.022730833,-44.017866134643555,,
0,3,1536,2138,0.004762252043292392,-0.02943640694138594,1.0022163391113281,0.2,0.252197265625,0.028204262256622314,32,-0.04235244169831276,0.0004092704424510632,0.01831067,-44.052700996398926,-2.275749,1258.0
1,4,2048,1986,0.001906984984088922,-0.025776755501283333,1.0017670392990112,0.2,0.2479248046875,-0.014145135879516602,48,-0.03427944332361221,0.0004092704424510632,0.017518833,-44.048561453819275,-2.275749,1258.0
1,5,2560,1905,0.0022103508963482454,-0.02881489956052974,1.00104558467865,0.2,0.2733154296875,0.030695080757141113,64,-0.032089658081531525,0.0004092704424510632,0.017700318,-44.02686810493469,-2.2976064999999997,1258.0
1,6,3072,1848,0.006290462508331984,-0.03253150676027872,0.99894118309021,0.2,0.31201171875,0.00035834312438964844,80,-0.03978453204035759,0.0004092704424510632,0.023081679,-43.986612200737,-2.2976064999999997,1258.0
1,7,3584,1815,0.0030034130868443754,-0.019114877708489075,0.9981187582015991,0.2,0.183837890625,0.020311057567596436,96,-0.03123074397444725,0.0004092704424510632,0.011080237,-43.93286633491516,-2.2976064999999997,1258.0
2,8,4096,1787,0.006535578620969318,-0.025539209942508023,0.9971978068351746,0.2,0.27294921875,0.028299570083618164,112,-0.036918796598911285,0.0004092704424510632,0.01912143,-43.906028628349304,-2.348662333333333,1258.0
2,9,4608,1769,0.01131905012880452,-0.025758039482752793,0.9952748417854309,0.2,0.280029296875,0.03269928693771362,128,-0.03557836636900902,0.0004092704424510632,0.02084181,-43.86753559112549,-2.348662333333333,1258.0
2,10,5120,1756,0.0033467363318777643,-0.024525452914531343,0.9953814148902893,0.2,0.2447509765625,0.3446653485298157,144,-0.0366084948182106,0.0004092704424510632,0.017143352,-43.82872533798218,-2.2847695,1258.0
3,11,5632,1745,0.01514318713452667,-0.026457475803908892,0.995098888874054,0.2,0.283203125,0.06911224126815796,160,-0.026890885084867477,0.0004092704424510632,0.017932061,-43.8344247341156,-2.2847695,1258.0
3,12,6144,1734,0.0024890732747735456,-0.02289734676014632,0.9959632754325867,0.2,0.222412109375,-0.34025895595550537,176,-0.03754870966076851,0.0004092704424510632,0.015304505,-43.83501899242401,-2.2847695,1258.0
3,13,6656,1725,0.0068721629795618355,-0.026817300473339856,0.9959326982498169,0.2,0.2608642578125,0.026734888553619385,192,-0.029709184542298317,0.0004092704424510632,0.016620085,-43.85543417930603,-2.3019132,1258.0
