time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,512,3962,,,,,,,,,,,,,
0,2,1024,2377,0.17012286080898775,-0.022657480876659974,1.0003111362457275,0.2,0.22216796875,-2.347890615463257,16,-0.03316347301006317,0.0004092704424510632,0.015075008,-43.992655754089355,,
0,3,1536,2134,0.005456046244944446,-0.03642558184219524,0.999343991279602,0.2,0.3304443359375,-0.0034908056259155273,32,-0.034526169300079346,0.0004092704424510632,0.026754178,-43.98217535018921,-2.206219,1258.0
1,4,2048,2011,0.007520076469518244,-0.025453018562984653,0.9991128444671631,0.2,0.2930908203125,0.00043129920959472656,48,-0.027651220560073853,0.0004092704424510632,0.021109084,-43.95568883419037,-2.206219,1258.0
1,5,2560,1953,0.002339007769478485,-0.029356230341363698,0.9975123405456543,0.2,0.2799072265625,-0.002853989601135254,64,-0.03533218428492546,0.0004092704424510632,0.021383569,-43.93764340877533,-2.289857,1258.0
1,6,3072,1920,0.005094418702356052,-0.025988864843384363,0.9968390464782715,0.2,0.282958984375,0.005090057849884033,80,-0.03551386669278145,0.0004092704424510632,0.017205536,-43.89431989192963,-2.289857,1258.0
1,7,3584,1902,0.002510359186999267,-0.026960187882650644,0.9954211711883545,0.2,0.26123046875,0.003890693187713623,96,-0.03087889403104782,0.0004092704424510632,0.02000647,-43.86663830280304,-2.289857,1258.0
2,8,4096,1883,0.005342193850083277,-0.023729457156150602,0.9958417415618896,0.2,0.2449951171875,0.0011672377586364746,112,-0.023882625624537468,0.0004092704424510632,0.01727885,-43.84148073196411,-2.2916666666666665,1258.0
2,9,4608,1874,0.0020601273063221015,-0.022767268324969336,0.9960958361625671,0.2,0.2447509765625,-0.0014019012451171875,128,-0.03306989371776581,0.0004092704424510632,0.014946139,-43.857306361198425,-2.2916666666666665,1258.0
2,10,5120,1869,0.006386179375112988,-0.03672483199625276,0.9969356656074524,0.2,0.326171875,0.0028531551361083984,144,-0.04718030244112015,0.0004092704424510632,0.021298952,-43.870845437049866,-2.3030815000000002,1258.0
