time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,512,3750,,,,,,,,,,,,,
0,2,1024,2533,0.1907982306656777,-0.026026090679806657,0.998612642288208,0.2,0.2261962890625,-1.3027288913726807,16,-0.045108944177627563,0.0004092704424510632,0.016288057,-43.97161817550659,,
0,3,1536,2279,0.005826519336551428,-0.03349104402877856,0.9967768788337708,0.2,0.261474609375,0.1064532995223999,32,-0.04761858284473419,0.0004092704424510632,0.01672496,-43.91249394416809,-2.429615,1258.0
0,4,2048,2163,0.009615525414119475,-0.021515118365641683,0.9967129826545715,0.2,0.2353515625,-0.02016615867614746,48,-0.024005796760320663,0.0004092704424510632,0.012059737,-43.879478335380554,-2.429615,1258.0
1,5,2560,2092,0.002341367831832031,-0.02873283057124354,0.9957407712936401,0.2,0.27001953125,-0.0005420446395874023,64,-0.02618035115301609,0.0004092704424510632,0.017949618,-43.871453046798706,-2.3844054999999997,1258.0
1,6,3072,2061,0.004319649451645091,-0.03043892202549614,0.9945738315582275,0.2,0.315673828125,0.033382296562194824,80,-0.037834327667951584,0.0004092704424510632,0.023151644,-43.828649282455444,-2.3844054999999997,1258.0
1,7,3584,2036,0.0023521747316408437,-0.02537515718722716,0.9939646124839783,0.2,0.2816162109375,0.022673428058624268,96,-0.03291390836238861,0.0004092704424510632,0.018371053,-43.80129361152649,-2.3844054999999997,1258.0
2,8,4096,2017,0.006845016425359063,-0.027716959331883118,0.9931255578994751,0.2,0.2862548828125,0.031334638595581055,112,-0.02902742102742195,0.0004092704424510632,0.019036457,-43.77975416183472,-2.3595136666666665,1258.0
2,9,4608,1994,0.0013466263517329935,-0.024423679133178666,0.9918473958969116,0.2,0.2645263671875,-0.0003826618194580078,128,-0.029819443821907043,0.0004092704424510632,0.015746089,-43.74712336063385,-2.3595136666666665,1258.0
2,10,5120,1984,0.00471159428707324,-0.02364163192396518,0.9922195076942444,0.2,0.2872314453125,0.05500417947769165,144,-0.02390943467617035,0.0004092704424510632,0.022170927,-43.72567820549011,-2.2824269999999998,1258.0
2,11,5632,1976,0.0030225743175833486,-0.02547035140742082,0.991943359375,0.2,0.2593994140625,-0.01750195026397705,160,-0.03628767281770706,0.0004092704424510632,0.018513449,-43.73442089557648,-2.2824269999999998,1258.0
3,12,6144,1963,0.0023424717619491275,-0.0329706983466167,0.9935599565505981,0.2,0.309326171875,0.00622713565826416,176,-0.05229390040040016,0.0004092704424510632,0.024576746,-43.74372923374176,-2.2824269999999998,1258.0
3,13,6656,1956,0.00587515979714226,-0.026563037012238055,0.994951605796814,0.2,0.2593994140625,0.020428061485290527,192,-0.04210828244686127,0.0004092704424510632,0.016349945,-43.80074369907379,-2.3019562,1258.0
3,14,7168,1951,0.010376048390753567,-0.02379396040487336,0.9953868985176086,0.2,0.259765625,0.004123866558074951,208,-0.015835924074053764,0.0004092704424510632,0.01616329,-43.82651329040527,-2.3019562,1258.0
3,15,7680,1947,0.0071721775602782145,-0.022232981951674446,0.9965760111808777,0.2,0.2181396484375,0.061634063720703125,224,-0.034165021032094955,0.0004092704424510632,0.014226312,-43.84692347049713,-2.317200333333333,1258.0
4,16,8192,1941,0.016381985449697822,-0.02748634993622545,0.9951698780059814,0.2,0.2894287109375,0.003158390522003174,240,-0.036243636161088943,0.0004092704424510632,0.027088545,-43.853198528289795,-2.317200333333333,1258.0
4,17,8704,1938,0.00293004632476368,-0.027580666544963606,0.9944505095481873,0.2,0.28271484375,0.039756059646606445,256,-0.03314528614282608,0.0004092704424510632,0.020063465,-43.80604445934296,-2.317200333333333,1258.0
4,18,9216,1936,0.005366103752749041,-0.028296934731770307,0.9978792667388916,0.2,0.2841796875,0.02586895227432251,272,-0.03038216009736061,0.0004092704424510632,0.02310399,-43.83972477912903,-2.317525142857143,1258.0
5,19,9728,1933,0.022699261491652578,-0.02443238730484154,1.0003743171691895,0.2,0.286865234375,0.024265944957733154,288,-0.025575626641511917,0.0004092704424510632,0.025375385,-43.948317766189575,-2.317525142857143,1258.0
