time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/std,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
8,15872,1897,31,0.2442626953125,0.0015518665313720703,0.9951466917991638,0.0004092704424510632,-0.044361915439367294,0.2,-0.02617686068697367,-43.814103841781616,0.02271764,0.0017761706731107552,480,1223.0,-2.1969585
8,16384,1894,32,0.2725830078125,-0.00013518333435058594,0.9948697090148926,0.0004092704424510632,-0.04357532784342766,0.2,-0.03247316344641149,-43.81559240818024,0.02587151,0.002448509600071702,496,1223.0,-2.195775153846154
8,16896,1892,33,0.2576904296875,0.00020968914031982422,0.9924519062042236,0.0004092704424510632,-0.014848323538899422,0.2,-0.02304735133657232,-43.77983498573303,0.03579296,0.06255588144995272,512,1223.0,-2.195775153846154
9,17408,1889,34,0.2735595703125,0.00084686279296875,0.991000771522522,0.0004092704424510632,-0.04194488748908043,0.2,-0.028339854849036783,-43.706501483917236,0.024403213,0.002321832722373074,528,1223.0,-2.1924982857142856
9,17920,1887,35,0.2596435546875,0.00048357248306274414,0.9909325838088989,0.0004092704424510632,0.018923714756965637,0.2,-0.023700092657236382,-43.68803572654724,0.020103885,0.09100991452578455,544,1223.0,-2.1924982857142856
9,18432,1885,36,0.24560546875,-0.05280029773712158,0.9890931248664856,0.0004092704424510632,-0.0419759526848793,0.2,-0.026231349358567968,-43.66138684749603,0.017328871,0.0018152379561797716,560,1223.0,-2.1870889333333334
10,18944,1882,37,0.2489013671875,0.0008366703987121582,0.9893100261688232,0.0004092704424510632,0.0011257268488407135,0.2,-0.026258011130266823,-43.62082886695862,0.01907543,0.08655455382540822,576,1223.0,-2.1870889333333334
10,19456,1880,38,0.2513427734375,-0.024595141410827637,0.9902037382125854,0.0004092704424510632,-0.03796130418777466,0.2,-0.025265911332098767,-43.64878034591675,0.023077553,0.0018586927799333353,592,1223.0,-2.1870889333333334
10,19968,1878,39,0.2445068359375,0.0031353235244750977,0.9919494390487671,0.0004092704424510632,-0.03474046289920807,0.2,-0.022164208799949847,-43.68015813827515,0.019633904,0.0020666280688601546,608,1223.0,-2.1786611249999996
10,20480,1877,40,0.279541015625,0.0011565685272216797,0.9940112829208374,0.0004092704424510632,0.0072408393025398254,0.2,-0.029857410059776157,-43.74693322181702,0.02363234,0.09868062613531947,624,1223.0,-2.1786611249999996
11,20992,1875,41,0.279052734375,-0.17135238647460938,0.9925320744514465,0.0004092704424510632,-0.03469618037343025,0.2,-0.027548612299142405,-43.76437771320343,0.018137338,0.002244820905616507,640,1223.0,-2.176008235294117
11,21504,1874,42,0.236328125,4.26173210144043e-05,0.9912903308868408,0.0004092704424510632,0.02115069329738617,0.2,-0.022557490068720654,-43.70905864238739,0.01947128,0.11488494090735912,656,1223.0,-2.176008235294117
11,22016,1873,43,0.212158203125,0.0005666017532348633,0.9903822541236877,0.0004092704424510632,-0.015827054157853127,0.2,-0.020638494665035978,-43.67877185344696,0.015894447,0.001962851980351843,672,1223.0,-2.1807369999999993
12,22528,1871,44,0.248779296875,7.814168930053711e-05,0.9893854260444641,0.0004092704424510632,0.02677065134048462,0.2,-0.027289214383927174,-43.64846646785736,0.017804958,0.11503479536622763,688,1223.0,-2.1807369999999993
12,23040,1870,45,0.211669921875,0.01598137617111206,0.9881463050842285,0.0004092704424510632,-0.026801763102412224,0.2,-0.024595982147729956,-43.61188530921936,0.015190652,0.0029072552861180156,704,1223.0,-2.1807369999999993
12,23552,1869,46,0.2265625,-0.00029671192169189453,0.9893242716789246,0.0004092704424510632,-0.03312765061855316,0.2,-0.02177618397399783,-43.60490596294403,0.01781201,0.0021016890786995646,720,1223.0,-2.175838210526315
12,24064,1868,47,0.185546875,7.200241088867188e-05,0.9905476570129395,0.0004092704424510632,0.032011669129133224,0.2,-0.019115768984192982,-43.65086579322815,0.014557226,0.13124929834157228,736,1223.0,-2.175838210526315
13,24576,1866,48,0.2376708984375,0.0002358555793762207,0.9898353219032288,0.0004092704424510632,-0.03566504269838333,0.2,-0.027229431143496186,-43.66227984428406,0.021735063,0.0019665905965666752,752,1223.0,-2.1874468499999997
13,25088,1865,49,0.2249755859375,9.870529174804688e-05,0.9887339472770691,0.0004092704424510632,0.020678162574768066,0.2,-0.02831533394055441,-43.627652406692505,0.01936607,0.13051012298092246,768,1223.0,-2.1874468499999997
13,25600,1864,50,0.2198486328125,0.002245962619781494,0.9895423054695129,0.0004092704424510632,-0.02752501517534256,0.2,-0.02322413540969137,-43.6155389547348,0.01703644,0.0017311168212472694,784,1223.0,-2.1874468499999997
14,26112,1863,51,0.293212890625,0.0006943941116333008,0.9891145825386047,0.0004092704424510632,-0.041777603328228,0.2,-0.035181263330741785,-43.63665759563446,0.02784422,0.002570206743257586,800,1223.0,-2.1895845238095233
14,26624,1861,52,0.2220458984375,0.00026702880859375,0.9878993034362793,0.0004092704424510632,0.026941686868667603,0.2,-0.02175493535469286,-43.59948480129242,0.019732427,0.14899461111053824,816,1223.0,-2.1895845238095233
14,27136,1860,53,0.2142333984375,0.045371830463409424,0.9873532652854919,0.0004092704424510632,-0.03586311638355255,0.2,-0.023453915149730165,-43.57709538936615,0.01469224,0.0013830261341354344,832,1223.0,-2.1872908636363633
14,27648,1859,54,0.234375,0.0006485581398010254,0.9850051999092102,0.0004092704424510632,0.03270372003316879,0.2,-0.02676483869436197,-43.53683149814606,0.015514266,0.1520426170900464,848,1223.0,-2.1872908636363633
15,28160,1858,55,0.26806640625,0.025723755359649658,0.9846178293228149,0.0004092704424510632,-0.04617514833807945,0.2,-0.03162740613333881,-43.47702407836914,0.01921867,0.001414512447809102,864,1223.0,-2.190442782608695
15,28672,1858,56,0.259521484375,0.0002523660659790039,0.9849587082862854,0.0004092704424510632,0.025184698402881622,0.2,-0.02949418523348868,-43.486395478248596,0.018702902,0.14558267989195883,880,1223.0,-2.190442782608695
15,29184,1857,57,0.2105712890625,0.031111955642700195,0.9866267442703247,0.0004092704424510632,-0.032188836485147476,0.2,-0.023568416974740103,-43.50858688354492,0.017254254,0.0020232648130331654,896,1223.0,-2.190442782608695
15,29696,1856,58,0.1895751953125,0.0006933808326721191,0.9857935905456543,0.0004092704424510632,-0.03413999453186989,0.2,-0.02227529278025031,-43.53364944458008,0.014043527,0.0022423411355703138,912,1223.0,-2.1918380416666667
16,30208,1855,59,0.213623046875,0.0002459287643432617,0.9858075380325317,0.0004092704424510632,0.04747387394309044,0.2,-0.021512252409593202,-43.50694465637207,0.021159064,0.16221932414919138,928,1223.0,-2.1918380416666667
16,30720,1855,60,0.2239990234375,0.01637929677963257,0.9844254851341248,0.0004092704424510632,-0.032426122575998306,0.2,-0.023602508386829868,-43.49786365032196,0.016898893,0.0016829761134431465,944,1223.0,-2.1962887999999996
16,31232,1854,61,0.1729736328125,0.0009662508964538574,0.9823107719421387,0.0004092704424510632,0.04711998999118805,0.2,-0.018612146479426883,-43.430100083351135,0.015166001,0.154382148059085,960,1223.0,-2.1962887999999996
17,31744,1853,62,0.173828125,0.01211780309677124,0.982622504234314,0.0004092704424510632,-0.02933056466281414,0.2,-0.01980212685884908,-43.39336907863617,0.0130112115,0.002092339524097042,976,1223.0,-2.1962887999999996
17,32256,1853,63,0.2738037109375,0.12184184789657593,0.9827335476875305,0.0004092704424510632,-0.04597759619355202,0.2,-0.030087057006312534,-43.41089975833893,0.02273006,0.002936013748694677,992,1223.0,-2.1983904615384615
17,32768,1853,64,0.258544921875,0.046506643295288086,0.9820569753646851,0.0004092704424510632,0.003513369709253311,0.2,-0.03169418315519579,-43.39787316322327,0.032112323,0.13531611976213753,1008,1223.0,-2.1983904615384615
17,33280,1852,65,0.2225341796875,-0.7735593318939209,0.9806843996047974,0.0004092704424510632,-0.02675515040755272,0.2,-0.02848093161446741,-43.36158895492554,0.01727683,0.004199116057861829,1024,1223.0,-2.1960831111111108
