time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/std,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
0,512,4002,1,,,,,,,,,,,,,
0,1024,2354,2,0.2335205078125,-0.36522340774536133,0.9984170198440552,0.0004092704424510632,-0.032022565603256226,0.2,-0.028788078372599557,-43.966338872909546,0.016196154,0.1586693479330279,16,,
0,1536,1996,3,0.2958984375,0.06840920448303223,0.9978781938552856,0.0004092704424510632,-0.03967989981174469,0.2,-0.02745779135148041,-43.92704641819,0.020126052,0.002597464193968335,32,1223.0,-2.322053
1,2048,1852,4,0.24072265625,-0.020357847213745117,0.9983049035072327,0.0004092704424510632,-0.03412236273288727,0.2,-0.02782635175390169,-43.92530643939972,0.015920995,0.0035569978863350116,48,1223.0,-2.322053
1,2560,1814,5,0.24951171875,0.004515290260314941,0.9983657598495483,0.0004092704424510632,-0.04037117958068848,0.2,-0.02680836440413259,-43.93179500102997,0.017671503,0.0014340459147206275,64,1223.0,-2.280869
1,3072,1730,6,0.338134765625,0.017860710620880127,0.9994233250617981,0.0004092704424510632,-0.032650209963321686,0.2,-0.030992176849395037,-43.94781172275543,0.02202855,0.005839552381075919,80,1223.0,-2.280869
2,3584,1711,7,0.216552734375,0.06260991096496582,0.9973347783088684,0.0004092704424510632,-0.04026419296860695,0.2,-0.020094755425816402,-43.94311535358429,0.014760319,0.0017619707323319744,96,1223.0,-2.280869
2,4096,1702,8,0.2613525390625,0.012233078479766846,0.9948757290840149,0.0004092704424510632,-0.0302989911288023,0.2,-0.027574538471526466,-43.85901117324829,0.017462468,0.002833560465660412,112,1223.0,-2.2712160000000003
2,4608,1683,9,0.27490234375,-0.0002727508544921875,0.9941537976264954,0.0004092704424510632,-0.03250005468726158,0.2,-0.028516263351775706,-43.80709409713745,0.017963182,0.013068841595668346,128,1223.0,-2.2712160000000003
3,5120,1663,10,0.2493896484375,0.02664846181869507,0.9920185208320618,0.0004092704424510632,-0.040258556604385376,0.2,-0.02712626481661573,-43.77285325527191,0.014154533,0.001642767707380699,144,1223.0,-2.24
