time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,train/std,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,4128,0,,,,,,,,,,,,,
1024,2,1883,0,0.2,-0.023153606132837012,16,0.0004092704424510632,-0.034657273441553116,1.0006790161132812,-44.00122606754303,0.012444268,0.2091064453125,0.10665305760267074,-0.6110528707504272,,
1536,3,1603,0,0.2,-0.024065408142632805,32,0.0004092704424510632,-0.02947394736111164,0.9984418153762817,-43.97783839702606,0.014891338,0.234130859375,0.0024744209185882937,-0.026430845260620117,-2.229476,1223.0
2048,4,1495,1,0.2,-0.023062547494191676,48,0.0004092704424510632,-0.027605900540947914,0.9978024363517761,-43.92209219932556,0.017310493,0.222412109375,0.010976986231980845,-0.0388178825378418,-2.229476,1223.0
2560,5,1433,1,0.2,-0.028348131774691865,64,0.0004092704424510632,-0.04832521080970764,0.9975124597549438,-43.91150188446045,0.016948882,0.2587890625,0.0015237545558193233,-0.007823944091796875,-2.288944,1223.0
3072,6,1397,2,0.2,-0.024687770499440376,80,0.0004092704424510632,-0.034391261637210846,0.9972712397575378,-43.90152394771576,0.015388872,0.239501953125,0.016481478611240163,-0.0028960704803466797,-2.288944,1223.0
3584,7,1371,2,0.2,-0.02781626846990548,96,0.0004092704424510632,-0.034867048263549805,0.9956556558609009,-43.87781894207001,0.021182425,0.2703857421875,0.0019527025397110265,0.010432660579681396,-2.288944,1223.0
4096,8,1352,3,0.2,-0.025137923570582643,112,0.0004092704424510632,-0.03571271896362305,0.9944339394569397,-43.825610518455505,0.0171213,0.2593994140625,0.0024229895243479405,0.009716629981994629,-2.2994346666666665,1223.0
4608,9,1338,3,0.2,-0.029966998525196686,128,0.0004092704424510632,-0.025216804817318916,0.9927790760993958,-43.78646767139435,0.019532181,0.3006591796875,0.027232809050474316,0.0018027424812316895,-2.2994346666666665,1223.0
