train/n_updates,train/ent_coef_loss,time/episodes,time/fps,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,train/critic_loss
4927,-165.6618194580078,4,10,0.0008459126528049375,1257.0,472,-119.41444396972656,5028,0.017115995287895203,-5.18265575,1.9395716190338135
9955,41.779422760009766,8,10,0.0008459126528049375,1257.0,941,-124.62063598632812,10056,0.0012781365076079965,-3.9836473750000003,44.60002899169922
14983,40.28578567504883,12,10,0.0008459126528049375,1257.0,1407,-124.49897766113281,15084,0.001413762685842812,-3.3179327499999993,5.8483476638793945
20011,-12.393978118896484,16,10,0.0008459126528049375,1257.0,1883,-113.86878967285156,20112,0.0013290941715240479,-2.9675680625,3.60799503326416
25039,6.350866794586182,20,10,0.0008459126528049375,1257.0,12,-102.1943359375,25140,0.0010049128904938698,-2.7613209,2.9743077754974365
30067,-27.64301300048828,24,10,0.0008459126528049375,1257.0,484,-99.04161071777344,30168,0.0007822258630767465,-2.6189611666666663,1.1437901258468628
35095,27.62238883972168,28,10,0.0008459126528049375,1257.0,947,-91.03313446044922,35196,0.000981873250566423,-2.555354214285714,6.14076042175293
40123,33.76041030883789,32,10,0.0008459126528049375,1257.0,1412,-84.75519561767578,40224,0.0006175503367558122,-2.4843508125000002,5.5647196769714355
45151,68.21527862548828,36,10,0.0008459126528049375,1257.0,1878,-47.39363098144531,45252,0.0015558376908302307,-2.4224755833333336,36.7607421875
50179,25.145954132080078,40,10,0.0008459126528049375,1257.0,25,-36.819644927978516,50280,0.0011055591749027371,-2.4042103,2.9568958282470703
55207,62.3946533203125,44,10,0.0008459126528049375,1257.0,493,-33.750213623046875,55308,0.0004969434812664986,-2.405952590909091,15.107711791992188
60235,-60.28915786743164,48,10,0.0008459126528049375,1257.0,970,-32.17405700683594,60336,0.0005762185901403427,-2.3839426875,14.129046440124512
65263,-17.660781860351562,52,10,0.0008459126528049375,1257.0,1442,-29.822359085083008,65364,0.000272093981038779,-2.4106979423076926,1.3834398984909058
70291,-34.04216003417969,56,10,0.0008459126528049375,1257.0,1913,-26.729642868041992,70392,0.0001483814266975969,-2.395432,0.6125239133834839
75319,-46.168243408203125,60,10,0.0008459126528049375,1257.0,38,-13.510279655456543,75420,0.0007412646664306521,-2.3732905,3.2250661849975586
80347,-34.734214782714844,64,10,0.0008459126528049375,1257.0,517,-6.97470760345459,80448,0.00035668746568262577,-2.357289546875,0.8293277025222778
85375,-31.196914672851562,68,10,0.0008459126528049375,1257.0,991,-0.6210120916366577,85476,0.0005582607118412852,-2.364047970588235,3.1174328327178955
