time/episodes,train/critic_loss,train/learning_rate,time/total_timesteps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,time/fps,rollout/ep_len_mean,time/time_elapsed
4,1.8970239162445068,0.0008459126528049375,5028,4927,-120.17729949951172,-5.23894175,-183.31710815429688,0.017091846093535423,73,1257.0,68
8,1.3813469409942627,0.0008459126528049375,10056,9955,-123.28421783447266,-4.14811975,-25.981374740600586,0.0008324567461386323,71,1257.0,139
12,2.7825193405151367,0.0008459126528049375,15084,14983,-110.16095733642578,-3.4689945000000004,49.898250579833984,0.0011837255442515016,70,1257.0,213
16,1.9067741632461548,0.0008459126528049375,20112,20011,-108.90956115722656,-3.1390790625000005,12.13504409790039,0.0013636258663609624,70,1257.0,286
20,1.4805572032928467,0.0008459126528049375,25140,25039,-94.12033081054688,-2.89351275,-11.1326322555542,0.0012709953589364886,70,1257.0,1
24,2.1333701610565186,0.0008459126528049375,30168,30067,-92.70118713378906,-2.8055481666666666,-42.214324951171875,0.00034059432800859213,68,1257.0,75
28,1.6433658599853516,0.0008459126528049375,35196,35095,-89.39974975585938,-2.648873107142857,-6.660536766052246,0.0003565833903849125,68,1257.0,148
32,2.748152256011963,0.0008459126528049375,40224,40123,-71.88726043701172,-2.539114625,-113.31490325927734,0.0005309592233970761,68,1257.0,221
36,8.799277305603027,0.0008459126528049375,45252,45151,-63.826011657714844,-2.449913194444444,5.611902236938477,0.0003521760809235275,68,1257.0,294
40,4.441863059997559,0.0008459126528049375,50280,50179,-50.59062957763672,-2.3813840999999996,0.8377386927604675,0.00035634933738037944,68,1257.0,4
44,1.8420082330703735,0.0008459126528049375,55308,55207,-34.15924835205078,-2.339921613636364,50.60293197631836,0.0003582250792533159,68,1257.0,77
48,6.119818210601807,0.0008459126528049375,60336,60235,-17.753952026367188,-2.2962505625,-88.71446990966797,0.0010009311372414231,68,1257.0,150
52,3.8833892345428467,0.0008459126528049375,65364,65263,-14.696415901184082,-2.2541772307692307,41.09722137451172,0.0005543017759919167,68,1257.0,223
56,5.745162010192871,0.0008459126528049375,70392,70291,3.298870086669922,-2.213965964285714,-51.32442855834961,0.0005943725118413568,68,1257.0,297
60,3.269991159439087,0.0008459126528049375,75420,75319,10.944300651550293,-2.1915151499999994,-35.64638900756836,0.0006658942438662052,67,1257.0,6
64,1.6775898933410645,0.0008459126528049375,80448,80347,16.063535690307617,-2.179799734375,-59.08460235595703,0.0005796948680654168,66,1257.0,81
68,3.746370792388916,0.0008459126528049375,85476,85375,21.95271873474121,-2.1847221176470586,7.141448497772217,0.0006014315877109766,66,1257.0,158
72,7.4824113845825195,0.0008459126528049375,90504,90403,28.23497772216797,-2.1705961666666664,-17.227998733520508,0.0003459386061877012,66,1257.0,234
76,3.689350128173828,0.0008459126528049375,95532,95431,30.897212982177734,-2.154868644736842,-70.44132232666016,0.00031600744114257395,65,1257.0,311
