time/episodes,train/critic_loss,train/learning_rate,time/total_timesteps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,time/fps,rollout/ep_len_mean,time/time_elapsed
4,43.98089599609375,0.0008459126528049375,5028,4927,-120.54855346679688,-5.23958025,-170.3359832763672,0.017379507422447205,70,1257.0,71
8,4.663012504577637,0.0008459126528049375,10056,9955,-120.91869354248047,-4.13327625,-69.05924987792969,0.0016203653067350388,69,1257.0,144
12,4.065485954284668,0.0008459126528049375,15084,14983,-113.94412994384766,-3.6657695833333332,47.957115173339844,0.000986287952400744,69,1257.0,217
16,3.4680349826812744,0.0008459126528049375,20112,20011,-104.46151733398438,-3.2678785,-78.76737976074219,0.0008982584113255143,68,1257.0,292
20,2.77942156791687,0.0008459126528049375,25140,25039,-89.33535766601562,-3.0508175500000005,-114.5252685546875,0.0009691000450402498,66,1257.0,2
24,2.088967800140381,0.0008459126528049375,30168,30067,-81.446533203125,-2.926704666666667,-49.88177490234375,0.0008045285358093679,66,1257.0,77
28,4.654618263244629,0.0008459126528049375,35196,35095,-64.59246826171875,-2.784019428571429,11.456371307373047,0.0007759612635709345,66,1257.0,152
32,1.4891016483306885,0.0008459126528049375,40224,40123,-60.59471130371094,-2.6869553437500002,-48.95698928833008,0.00039481534622609615,67,1257.0,227
36,1.4833159446716309,0.0008459126528049375,45252,45151,-59.15945816040039,-2.604358305555556,-4.882972717285156,0.0002673342823982239,67,1257.0,301
40,2.025090456008911,0.0008459126528049375,50280,50179,-43.62334442138672,-2.544638225,-33.99112319946289,0.00034573773154988885,66,1257.0,4
44,2.235704183578491,0.0008459126528049375,55308,55207,-37.43442916870117,-2.512312136363636,-15.12424087524414,0.00028822539024986327,66,1257.0,79
48,3.3007869720458984,0.0008459126528049375,60336,60235,-34.218318939208984,-2.4868088125,-33.552982330322266,0.00035246688639745116,66,1257.0,155
52,3.927292823791504,0.0008459126528049375,65364,65263,-34.67740249633789,-2.470843442307692,-8.225059509277344,0.0005877978401258588,66,1257.0,231
56,2.61308217048645,0.0008459126528049375,70392,70291,-32.33647537231445,-2.4446116964285713,-106.99891662597656,0.0004943605163134634,66,1257.0,308
60,2.1503517627716064,0.0008459126528049375,75420,75319,-14.07465934753418,-2.415901066666667,-25.19994354248047,0.0009592329734005034,65,1257.0,6
64,1.8424628973007202,0.0008459126528049375,80448,80347,-10.643319129943848,-2.390770671875,-5.042726516723633,0.000402392033720389,64,1257.0,84
68,39.36014938354492,0.0008459126528049375,85476,85375,43.13561248779297,-2.3572831029411767,147.0470428466797,0.0017787017859518528,64,1257.0,163
72,6.627807140350342,0.0008459126528049375,90504,90403,54.51069641113281,-2.3359218055555555,24.669857025146484,0.000836359104141593,64,1257.0,241
76,4.614712238311768,0.0008459126528049375,95532,95431,63.038448333740234,-2.322741934210527,-26.976009368896484,0.0005499441176652908,64,1257.0,320
