time/episodes,train/critic_loss,train/learning_rate,time/total_timesteps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,time/fps,rollout/ep_len_mean,time/time_elapsed
4,1.4664459228515625,0.0008459126528049375,5028,4927,-118.6644287109375,-5.1612515000000005,-171.61886596679688,0.01697601191699505,66,1257.0,75
8,4.591496467590332,0.0008459126528049375,10056,9955,-119.3966064453125,-4.2149985,-29.026464462280273,0.0012563357595354319,65,1257.0,152
12,5.483648300170898,0.0008459126528049375,15084,14983,-114.07354736328125,-3.554694166666667,47.283485412597656,0.0015789676690474153,65,1257.0,229
16,0.9634140133857727,0.0008459126528049375,20112,20011,-106.25399780273438,-3.1912011875,-6.365793228149414,0.0007235461962409317,65,1257.0,306
20,3.3727567195892334,0.0008459126528049375,25140,25039,-97.0555648803711,-2.9069806000000002,-54.34015655517578,0.001023964723572135,64,1257.0,2
24,1.041327953338623,0.0008459126528049375,30168,30067,-83.26641845703125,-2.741271791666667,-37.24911880493164,0.0006137791206128895,65,1257.0,79
28,2.2640955448150635,0.0008459126528049375,35196,35095,-76.40894317626953,-2.6462113214285714,-39.462215423583984,0.0008785551181063056,65,1257.0,154
32,2.2860753536224365,0.0008459126528049375,40224,40123,-65.43390655517578,-2.5882243750000002,-2.9138574600219727,0.001043441821821034,66,1257.0,229
36,2.3044023513793945,0.0008459126528049375,45252,45151,-56.00419998168945,-2.569945111111111,-49.233585357666016,0.0010290076024830341,66,1257.0,305
40,0.973318874835968,0.0008459126528049375,50280,50179,-52.09162139892578,-2.5249277,-50.14774703979492,0.00040166929829865694,69,1257.0,4
44,2.887948513031006,0.0008459126528049375,55308,55207,-43.832794189453125,-2.4548268863636364,-82.49266815185547,0.0007237777463160455,68,1257.0,77
48,2.598940849304199,0.0008459126528049375,60336,60235,-37.3912239074707,-2.4173905208333335,-135.30844116210938,0.0007572697359137237,68,1257.0,150
52,0.8596460819244385,0.0008459126528049375,65364,65263,-33.44621658325195,-2.3844022115384615,-40.80464172363281,0.0002848721051122993,68,1257.0,224
56,0.8860520720481873,0.0008459126528049375,70392,70291,-27.998748779296875,-2.351561125,62.541866302490234,0.0002974103845190257,68,1257.0,299
60,1.3636772632598877,0.0008459126528049375,75420,75319,-27.164817810058594,-2.3224867166666665,9.034462928771973,0.0005752294673584402,65,1257.0,6
64,1.1157801151275635,0.0008459126528049375,80448,80347,-17.717472076416016,-2.3010832031249997,-18.039335250854492,0.0006601985660381615,64,1257.0,84
68,1.0276167392730713,0.0008459126528049375,85476,85375,-11.405570983886719,-2.2876618970588236,20.256214141845703,0.0002810523728840053,64,1257.0,162
72,1.0585919618606567,0.0008459126528049375,90504,90403,-8.316795349121094,-2.267831666666667,45.11686325073242,0.00044819407048635185,64,1257.0,240
76,4.054562568664551,0.0008459126528049375,95532,95431,-0.9160977602005005,-2.254553934210526,-28.059524536132812,0.0003601548378355801,64,1257.0,318
