time/episodes,train/critic_loss,train/learning_rate,time/total_timesteps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,time/fps,rollout/ep_len_mean,time/time_elapsed
4,3.5593130588531494,0.0008459126528049375,5028,4927,-121.3416519165039,-5.158193,-179.45166015625,0.016874630004167557,73,1257.0,68
8,4.912467956542969,0.0008459126528049375,10056,9955,-126.26805877685547,-4.142392375,-14.026139259338379,0.0010044744703918695,72,1257.0,138
12,4.080671310424805,0.0008459126528049375,15084,14983,-121.20537567138672,-3.419227916666667,-0.4340363144874573,0.0009301843238063157,72,1257.0,208
16,3.7494781017303467,0.0008459126528049375,20112,20011,-114.47733306884766,-3.1002169375,50.12724304199219,0.0006474340916611254,72,1257.0,279
20,3.187920570373535,0.0008459126528049375,25140,25039,-116.00772857666016,-2.85866355,-14.320230484008789,0.0008534264052286744,72,1257.0,1
24,3.5817713737487793,0.0008459126528049375,30168,30067,-113.38319396972656,-2.6546236666666663,47.03706359863281,0.0006252181483432651,71,1257.0,72
28,3.727294683456421,0.0008459126528049375,35196,35095,-106.83338928222656,-2.5275370357142855,64.4405517578125,0.0009344672434963286,71,1257.0,142
32,15.605334281921387,0.0008459126528049375,40224,40123,-107.17106628417969,-2.4509647812499997,-38.97367477416992,0.0006822929135523736,71,1257.0,212
36,11.545761108398438,0.0008459126528049375,45252,45151,-83.09901428222656,-2.3788646666666664,18.98946762084961,0.0017139434348791838,71,1257.0,282
40,9.25236701965332,0.0008459126528049375,50280,50179,-71.34420013427734,-2.320021275,48.63590621948242,0.0007667093304917216,71,1257.0,3
44,7.512570858001709,0.0008459126528049375,55308,55207,-58.737945556640625,-2.2722002272727275,58.096153259277344,0.0006375324446707964,71,1257.0,74
48,7.501269340515137,0.0008459126528049375,60336,60235,-61.62986755371094,-2.2411749791666664,114.44657135009766,0.0004601664550136775,70,1257.0,145
52,23.938743591308594,0.0008459126528049375,65364,65263,-45.2797966003418,-2.2017555769230768,-66.98064422607422,0.0010086584370583296,70,1257.0,216
56,11.544365882873535,0.0008459126528049375,70392,70291,-43.5172004699707,-2.1661482142857147,46.9986572265625,0.0008935595978982747,70,1257.0,288
60,23.842851638793945,0.0008459126528049375,75420,75319,-27.842222213745117,-2.1436552166666667,-72.33418273925781,0.0007405895157717168,68,1257.0,6
64,12.17607593536377,0.0008459126528049375,80448,80347,-23.769771575927734,-2.108554671875,53.74006271362305,0.0009517690632492304,67,1257.0,80
68,12.351564407348633,0.0008459126528049375,85476,85375,-10.353394508361816,-2.080370573529412,1.357438087463379,0.0014212829992175102,67,1257.0,155
72,28.724533081054688,0.0008459126528049375,90504,90403,0.891517162322998,-2.0717565833333333,-46.350486755371094,0.0015790994511917233,67,1257.0,230
76,34.82892990112305,0.0008459126528049375,95532,95431,7.838101863861084,-2.0613162631578947,-41.79021453857422,0.0015294658951461315,67,1257.0,305
