time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/std,train/policy_gradient_loss,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
4156,1,0,512,,,,,,,,,,,,,
2605,2,0,1024,0.2506103515625,1.0001323223114014,-0.02946020163653884,0.0156583,-0.02477453462779522,0.1443737884183065,-43.98789978027344,0.0004092704424510632,0.2,-0.7635465860366821,16,,
2294,3,0,1536,0.35986328125,0.9995623230934143,-0.029449483074131422,0.039627902,-0.03197702765464783,0.014895107451593503,-43.982043981552124,0.0004092704424510632,0.2,-0.0190047025680542,32,1258.0,-3.423183
2171,4,0,2048,0.297607421875,0.9991412162780762,-0.03133522774442099,0.020873975,-0.019398218020796776,0.007072457781760022,-43.96646428108215,0.0004092704424510632,0.2,0.00047588348388671875,48,1258.0,-3.423183
2100,5,1,2560,0.270263671875,1.0001517534255981,-0.025857953398372047,0.01938338,-0.03352298215031624,0.008260920774773695,-43.970072865486145,0.0004092704424510632,0.2,-0.030930757522583008,64,1258.0,-3.2351349999999996
2059,6,1,3072,0.2603759765625,0.9998267889022827,-0.02368316939100623,0.016685853,-0.03329235315322876,0.012481026322348043,-43.98811852931976,0.0004092704424510632,0.2,0.002504587173461914,80,1258.0,-3.2351349999999996
2030,7,1,3584,0.2855224609375,1.0006054639816284,-0.024863787286449224,0.017924003,-0.0307961143553257,0.009462554633500986,-43.981929063797,0.0004092704424510632,0.2,0.0013939738273620605,96,1258.0,-3.2351349999999996
2010,8,2,4096,0.2698974609375,1.0015804767608643,-0.030221871405956335,0.01591659,-0.04217249155044556,0.002321345906239003,-44.016106605529785,0.0004092704424510632,0.2,-0.008154153823852539,112,1258.0,-3.2280719999999996
1993,9,2,4608,0.2611083984375,1.0033209323883057,-0.02488099437323399,0.015891332,-0.02292945235967636,0.025902776513248682,-44.053746938705444,0.0004092704424510632,0.2,0.0013056397438049316,128,1258.0,-3.2280719999999996
1978,10,2,5120,0.285888671875,1.0034606456756592,-0.025914099809597246,0.02177885,-0.030544888228178024,0.00978049413242843,-44.086979389190674,0.0004092704424510632,0.2,0.006185948848724365,144,1258.0,-3.2446275
1964,11,2,5632,0.2537841796875,1.0015106201171875,-0.026092293570400216,0.019603204,-0.014767428860068321,0.03818106866674498,-44.06278085708618,0.0004092704424510632,0.2,0.0011422038078308105,160,1258.0,-3.2446275
1952,12,3,6144,0.233642578125,1.001299500465393,-0.022644121883786283,0.01749415,-0.026949867606163025,0.011978799884673208,-44.01743543148041,0.0004092704424510632,0.2,0.008480608463287354,176,1258.0,-3.2446275
1945,13,3,6656,0.254150390625,1.001097559928894,-0.030341379228048027,0.0163837,-0.039092522114515305,0.0027003711911675055,-44.01796197891235,0.0004092704424510632,0.2,0.001553177833557129,192,1258.0,-3.2563918000000003
1932,14,3,7168,0.24365234375,1.001850962638855,-0.02133999767829664,0.015827507,-0.0002626553177833557,0.05877860763575882,-44.0194091796875,0.0004092704424510632,0.2,0.0011565685272216797,208,1258.0,-3.2563918000000003
1916,15,4,7680,0.2789306640625,1.0011675357818604,-0.030752693390240893,0.025182322,-0.033340971916913986,0.009426672258996405,-44.03092801570892,0.0004092704424510632,0.2,0.05614584684371948,224,1258.0,-3.2277585
