rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,time/episodes,train/learning_rate
1258.0,1.8481976985931396,-4.82038225,20,5032,244,4931,-182.7680206298828,-121.52415466308594,0.016944043338298798,4,0.0008459126528049375
1258.0,5.5421366691589355,-3.7841085,21,10064,479,9963,88.93353271484375,-128.1068878173828,0.0009209031122736633,8,0.0008459126528049375
1258.0,3.8753774166107178,-3.0394869166666663,20,15096,733,14995,-113.6926498413086,-127.97713470458984,0.0010684136068448424,12,0.0008459126528049375
1258.0,3.2674174308776855,-2.71736825,20,20128,968,20027,-34.1295051574707,-107.19296264648438,0.0015073426766321063,16,0.0008459126528049375
1258.0,1.081991195678711,-2.50761515,20,25160,7,25059,-10.011417388916016,-98.37156677246094,0.0005092174396850169,20,0.0008459126528049375
1258.0,1.5306907892227173,-2.354475583333333,20,30192,252,30091,63.63008499145508,-86.79551696777344,0.0008617130806669593,24,0.0008459126528049375
1258.0,1.3015398979187012,-2.2719089642857146,20,35224,491,35123,-34.732852935791016,-84.88723754882812,0.0003252488386351615,28,0.0008459126528049375
1258.0,1.7095435857772827,-2.1986989062499998,20,40256,743,40155,62.739463806152344,-73.10989379882812,0.0006635098252445459,32,0.0008459126528049375
1258.0,4.716788291931152,-2.1249887499999995,20,45288,996,45187,35.78034591674805,-51.7209587097168,0.0007468622643500566,36,0.0008459126528049375
1258.0,8.990690231323242,-2.088601725,20,50320,15,50219,-28.020015716552734,-44.34743118286133,0.0008408813737332821,40,0.0008459126528049375
1258.0,1.1977174282073975,-2.062027613636364,20,55352,263,55251,-51.07869338989258,-35.98194122314453,0.0003283297992311418,44,0.0008459126528049375
1258.0,1.8840762376785278,-2.022565,20,60384,508,60283,51.73175811767578,-32.12737274169922,0.0002529327757656574,48,0.0008459126528049375
1258.0,10.323175430297852,-1.986092807692308,20,65416,756,65315,55.1881217956543,-30.278100967407227,0.00041990395402535796,52,0.0008459126528049375
1258.0,46.84779739379883,-1.9635318392857144,20,70448,1001,70347,89.25080871582031,-22.127994537353516,0.00043117860332131386,56,0.0008459126528049375
1258.0,2.3167147636413574,-1.9360680666666665,20,75480,23,75379,17.903911590576172,-16.875408172607422,0.000348097673850134,60,0.0008459126528049375
1258.0,3.0642125606536865,-1.9243476250000002,20,80512,272,80411,6.1538286209106445,-9.831114768981934,0.0006955486023798585,64,0.0008459126528049375
1258.0,3.120636463165283,-1.913513117647059,19,85544,527,85443,-15.3385009765625,-9.781475067138672,0.0009737813379615545,68,0.0008459126528049375
1258.0,29.932340621948242,-1.8985616250000001,19,90576,782,90475,24.357589721679688,-1.5411486625671387,0.001036684145219624,72,0.0008459126528049375
1258.0,3.4408891201019287,-1.8915318815789475,19,95608,1037,95507,-15.075100898742676,7.183680534362793,0.0006486080237664282,76,0.0008459126528049375
