time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/std,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
3598,512,0,1,,,,,,,,,,,,,
1771,1024,0,2,0.0004092704424510632,0.015521332,-0.845199704170227,0.2,1.0018633604049683,-44.01495409011841,0.2412109375,16,0.11135010024918301,-0.029147784283850342,-0.051024239510297775,,
1511,1536,1,3,0.0004092704424510632,0.01477452,-0.00789785385131836,0.2,1.0008944272994995,-44.035601019859314,0.218017578125,32,0.002529869627323933,-0.02327985456213355,-0.0282719898968935,-2.264093,1258.0
1411,2048,1,4,0.0004092704424510632,0.017556239,0.010028839111328125,0.2,0.9999929666519165,-43.99820554256439,0.2718505859375,48,0.02209594688611105,-0.02882496322854422,-0.01649514213204384,-2.264093,1258.0
1357,2560,1,5,0.0004092704424510632,0.017151859,0.03335350751876831,0.2,1.0009993314743042,-43.995421290397644,0.2235107421875,64,0.0027024844857805874,-0.024058655340922996,-0.032132554799318314,-2.3047185,1258.0
1326,3072,2,6,0.0004092704424510632,0.018079052,0.00023496150970458984,0.2,1.0010548830032349,-44.01731979846954,0.2880859375,80,0.03237643378088251,-0.02656349728931673,-0.006111254915595055,-2.3047185,1258.0
1304,3584,2,7,0.0004092704424510632,0.021618817,-0.011138439178466797,0.2,1.0017352104187012,-44.02325665950775,0.298095703125,96,0.0010591741765892948,-0.028833824821049348,-0.03262997046113014,-2.3047185,1258.0
1287,4096,3,8,0.0004092704424510632,0.021675128,0.005332052707672119,0.2,1.0015015602111816,-44.032599210739136,0.302978515625,112,0.006146958105091471,-0.030956090398831293,-0.042740143835544586,-2.3287533333333332,1258.0
1273,4608,3,9,0.0004092704424510632,0.020672288,0.002094268798828125,0.2,1.0014195442199707,-44.02752602100372,0.283447265625,128,0.03606816002866253,-0.0278078310075216,-0.01838190294802189,-2.3287533333333332,1258.0
1264,5120,4,10,0.0004092704424510632,0.01663766,0.02216160297393799,0.2,0.9992501735687256,-43.99822556972504,0.2706298828125,144,0.0027065512840636075,-0.026605785475112498,-0.034680891782045364,-2.3477657499999998,1258.0
1257,5632,4,11,0.0004092704424510632,0.029531933,0.005856871604919434,0.2,0.9978004097938538,-43.931010127067566,0.3316650390625,160,0.0465747220441699,-0.030230729724280536,-0.015732768923044205,-2.3477657499999998,1258.0
1252,6144,4,12,0.0004092704424510632,0.014860091,0.18688368797302246,0.2,0.9972777962684631,-43.90171229839325,0.224853515625,176,0.0014861986182950204,-0.02267823144211434,-0.031819187104701996,-2.3477657499999998,1258.0
1246,6656,5,13,0.0004092704424510632,0.015340968,0.031722426414489746,0.2,0.9976826906204224,-43.89824557304382,0.207275390625,192,0.006203577533597127,-0.022704015602357686,-0.02362772636115551,-2.3615328,1258.0
1242,7168,5,14,0.0004092704424510632,0.014701314,0.03218531608581543,0.2,0.9989861249923706,-43.92614507675171,0.2352294921875,208,0.04859804699663073,-0.022438938118284568,-0.0022156164050102234,-2.3615328,1258.0
1237,7680,6,15,0.0004092704424510632,0.016476661,0.00606226921081543,0.2,0.9976834058761597,-43.93281030654907,0.2176513671875,224,0.0022717388383171055,-0.024495381105225533,-0.03389393910765648,-2.3681761666666667,1258.0
1233,8192,6,16,0.0004092704424510632,0.017006196,0.023776710033416748,0.2,0.9972622394561768,-43.892558097839355,0.2344970703125,240,0.06225454667583108,-0.024923971708631143,-0.016285734251141548,-2.3681761666666667,1258.0
1229,8704,7,17,0.0004092704424510632,0.012141822,0.0151444673538208,0.2,0.9963659048080444,-43.88078582286835,0.226318359375,256,0.0018197436365881003,-0.023468807252356783,-0.02877921797335148,-2.3681761666666667,1258.0
1226,9216,7,18,0.0004092704424510632,0.016089875,0.1096375584602356,0.2,0.9954131245613098,-43.84928011894226,0.233642578125,272,0.006100808132032398,-0.024533290677936748,-0.03952701762318611,-2.375720571428571,1258.0
1222,9728,7,19,0.0004092704424510632,0.019900694,0.17337268590927124,0.2,0.993765652179718,-43.81007409095764,0.2445068359375,288,0.06178574881050736,-0.020177085170871578,0.00022986717522144318,-2.375720571428571,1258.0
1222,10240,8,20,0.0004092704424510632,0.01803236,-0.44433557987213135,0.2,0.9951644539833069,-43.795631408691406,0.22412109375,304,0.005379746144171804,-0.02115971931925742,-0.040389273315668106,-2.354472875,1258.0
1220,10752,8,21,0.0004092704424510632,0.028469028,0.36546576023101807,0.2,0.9954298734664917,-43.833258390426636,0.3070068359375,320,0.06598171836230904,-0.03151611793146003,-0.011558644473552704,-2.354472875,1258.0
