time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/std,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
3795,512,0,1,,,,,,,,,,,,,
1772,1024,0,2,0.0004092704424510632,0.017552264,-2.4320924282073975,0.2,0.999815046787262,-43.982707500457764,0.24267578125,16,0.19438911682118487,-0.025921686668880284,-0.039250049740076065,,
1516,1536,1,3,0.0004092704424510632,0.014662591,0.0657152533531189,0.2,0.9988285899162292,-43.96856498718262,0.2283935546875,32,0.0029994622855156194,-0.02002979452663567,-0.01857299543917179,-2.497374,1258.0
1398,2048,1,4,0.0004092704424510632,0.017591907,-0.04031777381896973,0.2,0.9981375932693481,-43.93688356876373,0.260986328125,48,0.008690689239301719,-0.025367763431859203,-0.028662635013461113,-2.497374,1258.0
1351,2560,1,5,0.0004092704424510632,0.015766338,0.020690202713012695,0.2,0.9977477192878723,-43.922157406806946,0.2769775390625,64,0.0022444529822678305,-0.025989185422076844,-0.02183760516345501,-2.4616085,1258.0
1319,3072,2,6,0.0004092704424510632,0.018811125,-0.0032951831817626953,0.2,0.9981752038002014,-43.918049931526184,0.2880859375,80,0.008466310755466111,-0.026266897533787414,-0.024105675518512726,-2.4616085,1258.0
1296,3584,2,7,0.0004092704424510632,0.01757541,-0.037718892097473145,0.2,0.9976693391799927,-43.92197823524475,0.2547607421875,96,0.00140840371750528,-0.026954146989737637,-0.03783078491687775,-2.4616085,1258.0
1277,4096,3,8,0.0004092704424510632,0.028229954,0.025711417198181152,0.2,0.9996564388275146,-43.93178153038025,0.3114013671875,112,0.006313995370874181,-0.02975415880791843,-0.02984641306102276,-2.492029,1258.0
1265,4608,3,9,0.0004092704424510632,0.017414382,0.03349024057388306,0.2,1.000319242477417,-43.98372662067413,0.29345703125,128,0.003742404413060285,-0.03128588685649447,-0.03156926855444908,-2.492029,1258.0
1254,5120,4,10,0.0004092704424510632,0.01814375,0.02384120225906372,0.2,0.9986433982849121,-43.97037208080292,0.255859375,144,0.0025398898505955003,-0.026230842020595446,-0.027741247788071632,-2.4718785,1258.0
1245,5632,4,11,0.0004092704424510632,0.016297203,0.008923649787902832,0.2,0.9971878528594971,-43.91120743751526,0.2255859375,160,0.013935500697698444,-0.023406160056765657,-0.025907550007104874,-2.4718785,1258.0
1239,6144,4,12,0.0004092704424510632,0.017014604,-0.017882823944091797,0.2,0.9971516132354736,-43.88833248615265,0.27001953125,176,0.00177703627741721,-0.02665686880936846,-0.033595215529203415,-2.4718785,1258.0
1233,6656,5,13,0.0004092704424510632,0.011414025,0.09960639476776123,0.2,0.9943605661392212,-43.853965163230896,0.1898193359375,192,0.0062921376375015825,-0.020805323132663034,-0.035277109593153,-2.4611305999999997,1258.0
1228,7168,5,14,0.0004092704424510632,0.017550532,0.10165917873382568,0.2,0.9914097785949707,-43.753437995910645,0.27880859375,208,0.014644003618741408,-0.027792871565907262,-0.03839269280433655,-2.4611305999999997,1258.0
