train/n_updates,train/critic_loss,train/ent_coef_loss,time/fps,time/total_timesteps,train/actor_loss,train/learning_rate,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean
4791,49.37663269042969,-181.8220672607422,13,4892,-120.67345428466797,0.0008459126528049375,353,4,-4.1523575,0.019562507048249245,1223.0
9683,2.2458343505859375,53.610042572021484,13,9784,-127.67318725585938,0.0008459126528049375,712,8,-3.13521875,0.0012902752496302128,1223.0
14575,23.680051803588867,8.782740592956543,13,14676,-128.1724090576172,0.0008459126528049375,1068,12,-2.494624583333333,0.0017796027241274714,1223.0
19467,2.5092597007751465,111.36305236816406,13,19568,-120.64163970947266,0.0008459126528049375,1423,16,-2.2101612499999996,0.000959765980951488,1223.0
24359,5.996564865112305,36.05615234375,13,24460,-120.57007598876953,0.0008459126528049375,1779,20,-2.03665735,0.0010713832452893257,1223.0
29251,3.5292487144470215,26.662851333618164,13,29352,-105.11048126220703,0.0008459126528049375,317,24,-1.9126372916666667,0.0009436047985218465,1223.0
34143,3.0505921840667725,10.678699493408203,14,34244,-104.66584014892578,0.0008459126528049375,650,28,-1.8422815000000001,0.00029361428460106254,1223.0
39035,1.9021174907684326,-51.89049530029297,14,39136,-92.32719421386719,0.0008459126528049375,994,32,-1.7610965,0.0005772151635028422,1223.0
43927,2.2259116172790527,82.83750915527344,14,44028,-92.1952133178711,0.0008459126528049375,1333,36,-1.6888875,0.00041999705717898905,1223.0
48819,7.584624767303467,-126.95606994628906,14,48920,-65.7088623046875,0.0008459126528049375,1682,40,-1.6339550250000001,0.0007211502525024116,1223.0
53711,3.715850353240967,10.428641319274902,13,53812,-63.063575744628906,0.0008459126528049375,272,44,-1.6275593181818182,0.0006902599125169218,1223.0
58603,3.5328867435455322,-17.496593475341797,13,58704,-41.369571685791016,0.0008459126528049375,627,48,-1.5934390208333333,0.0009010150097310543,1223.0
63495,1.957326889038086,-16.29819107055664,13,63596,-26.943981170654297,0.0008459126528049375,984,52,-1.570754961538462,0.00028175924671813846,1223.0
68387,1.1607234477996826,-30.720623016357422,13,68488,-25.18053436279297,0.0008459126528049375,1337,56,-1.5511055714285713,0.000570311734918505,1223.0
73279,8.48042106628418,-91.99481964111328,13,73380,-15.496747016906738,0.0008459126528049375,1698,60,-1.5371133166666664,0.000544111942872405,1223.0
78171,1.3480695486068726,-15.493823051452637,13,78272,-12.125934600830078,0.0008459126528049375,251,64,-1.52883790625,0.0003558302705641836,1223.0
83063,1.915627121925354,14.964688301086426,12,83164,-4.892858982086182,0.0008459126528049375,630,68,-1.522036411764706,0.0005532795912586153,1223.0
87955,6.174447059631348,16.542503356933594,12,88056,1.1014256477355957,0.0008459126528049375,1004,72,-1.5020410416666665,0.001178707112558186,1223.0
