train/ent_coef_loss,train/ent_coef,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,time/total_timesteps,time/time_elapsed,train/critic_loss
-168.72052001953125,0.017195403575897217,4931,-124.12293243408203,-4.31185,31,1258.0,4,0.0008459126528049375,5032,159,2.1512444019317627
147.76113891601562,0.0010338841238990426,9963,-129.47608947753906,-3.37384725,30,1258.0,8,0.0008459126528049375,10064,332,4.129878997802734
-82.59832000732422,0.0007511140429414809,14995,-129.80606079101562,-2.71843675,28,1258.0,12,0.0008459126528049375,15096,532,2.827609062194824
38.28172302246094,0.000799056317191571,20027,-111.66898345947266,-2.4348948124999996,28,1258.0,16,0.0008459126528049375,20128,709,4.838058948516846
24.738271713256836,0.0006279902881942689,25059,-104.88443756103516,-2.2623537999999996,25,1258.0,20,0.0008459126528049375,25160,6,6.166984558105469
-74.71104431152344,0.0005898472154513001,30091,-101.10489654541016,-2.0655413333333335,25,1258.0,24,0.0008459126528049375,30192,205,2.903343915939331
84.86003112792969,0.000534241902641952,35123,-100.17381286621094,-1.9427401785714284,25,1258.0,28,0.0008459126528049375,35224,405,1.4618473052978516
-42.131622314453125,0.0005554254166781902,40155,-91.99198150634766,-1.8405595000000001,26,1258.0,32,0.0008459126528049375,40256,570,3.7961509227752686
-1.1970899105072021,0.00031756117823533714,45187,-95.34758758544922,-1.7808571666666668,26,1258.0,36,0.0008459126528049375,45288,767,1.6412004232406616
-10.394700050354004,0.0006440627621486783,50219,-84.53118896484375,-1.733118525,25,1258.0,40,0.0008459126528049375,50320,12,2.7497520446777344
15.028971672058105,0.0004990886081941426,55251,-76.37586975097656,-1.6921679318181821,28,1258.0,44,0.0008459126528049375,55352,189,3.157806634902954
-44.58877182006836,0.0005700436304323375,60283,-72.03221130371094,-1.659183729166667,27,1258.0,48,0.0008459126528049375,60384,376,1.9512158632278442
70.36063385009766,0.000604701170232147,65315,-60.56108474731445,-1.6187730384615384,27,1258.0,52,0.0008459126528049375,65416,562,10.43333911895752
63.44853591918945,0.00044207353494130075,70347,-63.8610725402832,-1.5861210000000001,27,1258.0,56,0.0008459126528049375,70448,731,3.009244918823242
6.602137565612793,0.0004819797177333385,75379,-59.15502166748047,-1.5577241166666667,29,1258.0,60,0.0008459126528049375,75480,16,1.6094225645065308
10.992768287658691,0.00035509548615664244,80411,-52.25636291503906,-1.533316734375,28,1258.0,64,0.0008459126528049375,80512,194,2.871269464492798
35.85578918457031,0.0005236460128799081,85443,-46.59735107421875,-1.5153285147058824,26,1258.0,68,0.0008459126528049375,85544,397,3.0558629035949707
-65.71839904785156,0.0003374993393663317,90475,-38.118534088134766,-1.5129086944444443,25,1258.0,72,0.0008459126528049375,90576,607,2.9013519287109375
-8.51330852508545,0.0006296601495705545,95507,-35.09074783325195,-1.510210157894737,25,1258.0,76,0.0008459126528049375,95608,798,2.2558789253234863
