time/episodes,train/ent_coef,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss
4,0.017703164368867874,451,5028,1257.0,-4.876695000000001,11,-121.4844970703125,4927,0.0008459126528049375,-167.47512817382812,47.367454528808594
8,0.0014089099131524563,905,10056,1257.0,-3.790839,11,-127.16419219970703,9955,0.0008459126528049375,-5.695363521575928,4.046327114105225
12,0.0016903653740882874,1363,15084,1257.0,-3.220849916666667,11,-119.74319458007812,14983,0.0008459126528049375,-3.5114879608154297,7.86369514465332
16,0.0013179131783545017,1820,20112,1257.0,-2.8933351875,11,-104.95632934570312,20011,0.0008459126528049375,-38.112159729003906,3.091618061065674
20,0.0009842034196481109,12,25140,1257.0,-2.7043125999999997,11,-105.7410888671875,25039,0.0008459126528049375,-24.31577491760254,3.4876370429992676
24,0.0013210363686084747,480,30168,1257.0,-2.55008425,10,-89.26678466796875,30067,0.0008459126528049375,-49.782386779785156,4.143265247344971
28,0.0006719459197483957,936,35196,1257.0,-2.4340884642857143,10,-77.70037841796875,35095,0.0008459126528049375,-4.096889019012451,7.905845642089844
32,0.0015561938052996993,1392,40224,1257.0,-2.3216796875,10,-61.075103759765625,40123,0.0008459126528049375,-66.66751861572266,3.743008613586426
36,0.000588811410125345,1847,45252,1257.0,-2.26112575,10,-54.77408981323242,45151,0.0008459126528049375,-8.8705415725708,1.7510464191436768
40,0.0007583932601846755,25,50280,1257.0,-2.19388145,11,-43.12641525268555,50179,0.0008459126528049375,29.783266067504883,1.257051944732666
44,0.0009306261781603098,484,55308,1257.0,-2.139989,10,-32.02099609375,55207,0.0008459126528049375,23.842918395996094,3.276616096496582
48,0.0010279032867401838,959,60336,1257.0,-2.098361666666667,10,-23.235240936279297,60235,0.0008459126528049375,-0.36949169635772705,4.736697673797607
52,0.0006458532297983766,1434,65364,1257.0,-2.0736159615384615,10,-22.01815414428711,65263,0.0008459126528049375,6.842232704162598,1.7916316986083984
56,0.000612382311373949,1911,70392,1257.0,-2.0265466250000004,10,-14.782743453979492,70291,0.0008459126528049375,6.70257043838501,0.9771619439125061
60,0.0007648459868505597,40,75420,1257.0,-1.9941054500000002,10,-6.283802032470703,75319,0.0008459126528049375,-15.372551918029785,1.8592244386672974
64,0.000336128898197785,535,80448,1257.0,-1.96211496875,10,-5.155722618103027,80347,0.0008459126528049375,27.658729553222656,1.5730013847351074
68,0.0008311232668347657,1037,85476,1257.0,-1.9175081911764706,10,1.481938362121582,85375,0.0008459126528049375,-26.100704193115234,2.6239445209503174
72,0.0003720263484865427,1536,90504,1257.0,-1.8978070555555557,10,4.203305244445801,90403,0.0008459126528049375,17.058731079101562,1.7999660968780518
