rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/episodes,train/ent_coef,train/learning_rate,time/fps,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss
1257.0,-171.41390991210938,-121.1269760131836,4,0.01743468828499317,0.0008459126528049375,22,4927,5028,227,-4.4087320000000005,1.9365582466125488
1257.0,-72.5037612915039,-121.31066131591797,8,0.0017690632957965136,0.0008459126528049375,21,9955,10056,477,-3.293563375,3.5333263874053955
1257.0,-21.95769500732422,-113.07201385498047,12,0.001166174071840942,0.0008459126528049375,21,14983,15084,716,-2.6152325,2.744168281555176
1257.0,-16.02549934387207,-109.82936096191406,16,0.0008750456618145108,0.0008459126528049375,21,20011,20112,956,-2.2672059375,1.4210807085037231
1257.0,28.21119499206543,-77.2234878540039,20,0.0011578991543501616,0.0008459126528049375,21,25039,25140,6,-2.0749534499999998,5.62454891204834
1257.0,-42.8487548828125,-67.82219696044922,24,0.001500228769145906,0.0008459126528049375,20,30067,30168,250,-1.9306179583333334,2.2900314331054688
1257.0,-36.00300598144531,-58.16209411621094,28,0.0008212915854528546,0.0008459126528049375,20,35095,35196,489,-1.8517185357142858,2.731684923171997
1257.0,57.938865661621094,-51.899173736572266,32,0.0004415898001752794,0.0008459126528049375,20,40123,40224,726,-1.79717971875,0.696895956993103
1257.0,9.94910717010498,-36.49365997314453,36,0.001308802398853004,0.0008459126528049375,21,45151,45252,964,-1.7274615,6.006689548492432
1257.0,10.271693229675293,-33.09588623046875,40,0.0006806227029301226,0.0008459126528049375,23,50179,50280,11,-1.6898276500000002,3.5941805839538574
1257.0,-68.8489761352539,-30.81676483154297,44,0.0001796470460249111,0.0008459126528049375,21,55207,55308,251,-1.6682415227272727,0.897728443145752
1257.0,45.44856262207031,-21.892885208129883,48,0.0010577869834378362,0.0008459126528049375,20,60235,60336,498,-1.6369657499999999,28.238618850708008
1257.0,92.32164001464844,-10.145325660705566,52,0.0003499938757158816,0.0008459126528049375,20,65263,65364,738,-1.6164931538461536,3.36167049407959
1257.0,-4.715262413024902,-5.374138355255127,56,0.0004986846470274031,0.0008459126528049375,20,70291,70392,989,-1.5959367857142859,1.5304992198944092
1257.0,-11.690732955932617,15.20761489868164,60,0.0008523713913746178,0.0008459126528049375,21,75319,75420,19,-1.5796828,3.7539072036743164
1257.0,-14.695413589477539,17.29754638671875,64,0.0005210523959249258,0.0008459126528049375,20,80347,80448,263,-1.572537875,2.1224679946899414
1257.0,14.209375381469727,23.382720947265625,68,0.0005088933976367116,0.0008459126528049375,20,85375,85476,512,-1.553928,2.597402572631836
