rollout/ep_rew_mean,time/episodes,time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/learning_rate,train/ent_coef
-4.7195765,4,34,-120.27069854736328,146,2.03318452835083,4931,1258.0,5032,-169.46273803710938,0.0008459126528049375,0.017401862889528275
-3.6783912500000002,8,33,-122.81224822998047,298,6.026555061340332,9963,1258.0,10064,-80.44834899902344,0.0008459126528049375,0.0011100847041234374
-3.163244,12,33,-117.77775573730469,448,3.064594268798828,14995,1258.0,15096,77.86866760253906,0.0008459126528049375,0.0009545829379931092
-2.88840825,16,33,-107.14439392089844,602,2.21116042137146,20027,1258.0,20128,-60.191612243652344,0.0008459126528049375,0.0009367157472297549
-2.72735745,20,33,-94.17839813232422,4,4.086930274963379,25059,1258.0,25160,-29.69896697998047,0.0008459126528049375,0.0008199278963729739
-2.6367205,24,33,-86.32722473144531,154,4.866819381713867,30091,1258.0,30192,-17.35634422302246,0.0008459126528049375,0.0007440377958118916
-2.562988178571429,28,33,-84.08113861083984,305,4.700747013092041,35123,1258.0,35224,-2.9509453773498535,0.0008459126528049375,0.0003939294256269932
-2.4662792812500003,32,33,-79.75455474853516,455,1.8413476943969727,40155,1258.0,40256,-72.11337280273438,0.0008459126528049375,0.00039129890501499176
-2.4053074444444444,36,33,-75.8943099975586,605,1.9593888521194458,45187,1258.0,45288,28.767230987548828,0.0008459126528049375,0.0004401638580020517
-2.3485100500000002,40,33,-55.469627380371094,9,8.476621627807617,50219,1258.0,50320,17.745830535888672,0.0008459126528049375,0.001390075427480042
-2.320034,44,33,-48.036197662353516,159,3.7894632816314697,55251,1258.0,55352,-43.32561492919922,0.0008459126528049375,0.0004883029032498598
-2.2765872291666667,48,33,-43.47712707519531,308,1.2485451698303223,60283,1258.0,60384,35.809635162353516,0.0008459126528049375,0.00040064897621050477
-2.226631326923077,52,33,-36.787376403808594,460,3.764601230621338,65315,1258.0,65416,27.050579071044922,0.0008459126528049375,0.0007022407371550798
-2.1876220892857146,56,33,-28.536699295043945,615,5.125704765319824,70347,1258.0,70448,-60.03238296508789,0.0008459126528049375,0.0006541151087731123
-2.15617355,60,30,-20.991559982299805,15,7.488663673400879,75379,1258.0,75480,123.58799743652344,0.0008459126528049375,0.0006644773529842496
-2.118505203125,64,30,-20.07830238342285,179,7.248475551605225,80411,1258.0,80512,-25.506330490112305,0.0008459126528049375,0.0013045636005699635
-2.086884058823529,68,30,-9.07593059539795,345,15.576998710632324,85443,1258.0,85544,-79.19734954833984,0.0008459126528049375,0.001072125742211938
-2.0528503194444445,72,30,-7.42059850692749,509,5.061206817626953,90475,1258.0,90576,-48.87932586669922,0.0008459126528049375,0.0007540402002632618
-2.0234940921052633,76,30,4.448864936828613,675,5.902660369873047,95507,1258.0,95608,-64.45143127441406,0.0008459126528049375,0.0006783139542676508
