time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,4096,1,0,,,,,,,,,,,,,
1024,1939,2,0,-0.03092619904782623,-0.028933461755514145,0.2,1.0000602006912231,0.22664648390491493,0.2265625,16,0.0004092704424510632,-43.98751926422119,0.012924689,-1.0821022987365723,,
1536,1682,3,0,-0.028753115810104646,-0.03793615475296974,0.2,1.00018310546875,0.006610095704672858,0.3212890625,32,0.0004092704424510632,-43.9909873008728,0.02308458,0.0012876391410827637,-2.803135,1258.0
2048,1576,4,1,-0.03414873647852801,-0.039605654776096344,0.2,0.9998176693916321,0.0050822329794755206,0.2821044921875,48,0.0004092704424510632,-43.984684109687805,0.021522965,0.004826843738555908,-2.803135,1258.0
2560,1515,5,1,-0.027001041031326167,-0.036861784756183624,0.2,0.9995334148406982,0.004327572001784574,0.274169921875,64,0.0004092704424510632,-43.97525954246521,0.018605154,0.008651018142700195,-2.698778,1258.0
3072,1479,6,2,-0.026015466573880985,-0.02983216568827629,0.2,0.9990677237510681,0.006995258925599046,0.2642822265625,80,0.0004092704424510632,-43.96090626716614,0.015798792,0.002315700054168701,-2.698778,1258.0
3584,1447,7,2,-0.028110973915318027,-0.039587777107954025,0.2,0.998101532459259,0.005570988236286212,0.3006591796875,96,0.0004092704424510632,-43.94267511367798,0.022030862,0.0019006729125976562,-2.698778,1258.0
4096,1429,8,2,-0.023625812042155303,-0.03400585427880287,0.2,0.9984802603721619,0.002411667584965471,0.23583984375,112,0.0004092704424510632,-43.923247933387756,0.014333827,0.007256686687469482,-2.6903400000000004,1258.0
4608,1417,9,3,-0.022999739070655778,-0.00921333022415638,0.2,0.9984749555587769,0.012998989608604461,0.258056640625,128,0.0004092704424510632,-43.93320178985596,0.017413395,0.001934051513671875,-2.6903400000000004,1258.0
5120,1406,10,3,-0.02741536690518842,-0.03131188452243805,0.2,0.9967593550682068,0.009052698573214002,0.25439453125,144,0.0004092704424510632,-43.90915083885193,0.017782629,0.0036708712577819824,-2.701975,1258.0
5632,1397,11,4,-0.028237427963176742,-0.028547484427690506,0.2,0.9950141906738281,0.021626076952088624,0.285888671875,160,0.0004092704424510632,-43.85191488265991,0.021468878,0.0005050897598266602,-2.701975,1258.0
6144,1389,12,4,-0.024818476042128168,-0.03302126005291939,0.2,0.9932289719581604,0.005140520144777838,0.236572265625,176,0.0004092704424510632,-43.791438937187195,0.018894691,0.007373690605163574,-2.701975,1258.0
6656,1380,13,4,-0.02692843644763343,-0.03573513403534889,0.2,0.9924139380455017,0.0028200101623951923,0.26708984375,192,0.0004092704424510632,-43.75113010406494,0.024653208,0.006384313106536865,-2.7011948,1258.0
7168,1374,14,5,-0.02743499218195211,-0.02778271585702896,0.2,0.9929725527763367,0.03453142335638404,0.2593994140625,208,0.0004092704424510632,-43.749544858932495,0.023470715,0.002162337303161621,-2.7011948,1258.0
7680,1370,15,5,-0.02283893078856636,-0.022573206573724747,0.2,0.9929624199867249,0.005779165207059123,0.226806640625,224,0.0004092704424510632,-43.75651228427887,0.019528769,0.10611343383789062,-2.6978815,1258.0
8192,1365,16,6,-0.028202840127050877,-0.009564027190208435,0.2,0.9923328161239624,0.04351120861247182,0.2930908203125,240,0.0004092704424510632,-43.743155002593994,0.020788621,0.005250394344329834,-2.6978815,1258.0
8704,1361,17,6,-0.025287514290539548,-0.03037869930267334,0.2,0.9926447868347168,0.004499951006437186,0.2509765625,256,0.0004092704424510632,-43.73637247085571,0.01910077,0.4820786118507385,-2.6978815,1258.0
9216,1359,18,6,-0.027045137743698433,-0.037510666996240616,0.2,0.9900491833686829,0.0034844497349695303,0.26220703125,272,0.0004092704424510632,-43.71358609199524,0.021575334,0.10825324058532715,-2.7194,1258.0
9728,1358,19,7,-0.02789264003513381,-0.008073452860116959,0.2,0.9899790287017822,0.05627975985407829,0.2366943359375,288,0.0004092704424510632,-43.653152108192444,0.016084544,0.0028777718544006348,-2.7194,1258.0
10240,1357,20,7,-0.02977337152697146,-0.038143452256917953,0.2,0.989154577255249,0.004128660468268208,0.2777099609375,304,0.0004092704424510632,-43.64712941646576,0.025874225,0.3136935830116272,-2.70934075,1258.0
10752,1356,21,7,-0.032961554650682956,-0.022635426372289658,0.2,0.9884690046310425,0.058652086765505373,0.3262939453125,320,0.0004092704424510632,-43.62249827384949,0.035169873,0.052550435066223145,-2.70934075,1258.0
11264,1356,22,8,-0.026855366020754445,-0.0367644801735878,0.2,0.9890663027763367,0.003939779468055349,0.3009033203125,336,0.0004092704424510632,-43.607874274253845,0.022879872,0.500902533531189,-2.70934075,1258.0
11776,1354,23,8,-0.027868828183272853,-0.040057551115751266,0.2,0.9920679926872253,0.004917826001474168,0.232421875,352,0.0004092704424510632,-43.67096793651581,0.0150866965,0.08873194456100464,-2.698172888888889,1258.0
12288,1353,24,9,-0.023986341955605894,-0.0015233643352985382,0.2,0.9929869771003723,0.07547988602891564,0.3096923828125,368,0.0004092704424510632,-43.74496269226074,0.029662507,0.006956875324249268,-2.698172888888889,1258.0
12800,1351,25,9,-0.018764780383207835,-0.027388738468289375,0.2,0.9913824796676636,0.0018356826767558232,0.2154541015625,384,0.0004092704424510632,-43.72891867160797,0.017508652,0.17477035522460938,-2.6907261,1258.0
13312,1350,26,9,-0.02568023577987333,-0.0008548572659492493,0.2,0.9894535541534424,0.06521793431602418,0.252197265625,400,0.0004092704424510632,-43.66980183124542,0.019516878,0.14647305011749268,-2.6907261,1258.0
13824,1349,27,10,-0.024695245636394247,-0.02616059221327305,0.2,0.9893154501914978,0.0055512823309982195,0.249755859375,416,0.0004092704424510632,-43.63521873950958,0.021402957,0.4408252239227295,-2.6907261,1258.0
14336,1348,28,10,-0.028601058802451007,-0.029908528551459312,0.2,0.9876538515090942,0.004701596182712819,0.2655029296875,432,0.0004092704424510632,-43.615591526031494,0.020249426,0.41977882385253906,-2.686141,1258.0
14848,1347,29,11,-0.024304757571371738,-0.008903475478291512,0.2,0.9856007099151611,0.03757179278181866,0.3109130859375,448,0.0004092704424510632,-43.54863917827606,0.042664718,0.19939547777175903,-2.686141,1258.0
15360,1346,30,11,-0.026819937833352014,-0.03851119428873062,0.2,0.9853171110153198,0.0044764563426724635,0.2740478515625,464,0.0004092704424510632,-43.50871980190277,0.022635343,-0.5385901927947998,-2.6810570833333336,1258.0
15872,1346,31,11,-0.023041415508487262,0.006616424769163132,0.2,0.9857162237167358,0.07349006168078631,0.2491455078125,480,0.0004092704424510632,-43.51375615596771,0.013407683,0.1253543496131897,-2.6810570833333336,1258.0
16384,1345,32,12,-0.021729191503254697,-0.029773011803627014,0.2,0.9851405024528503,0.006923785505932756,0.2271728515625,496,0.0004092704424510632,-43.514939069747925,0.016645137,-0.3595618009567261,-2.670104307692308,1258.0
16896,1345,33,12,-0.029797155322739854,0.0017480403184890747,0.2,0.9852795600891113,0.08003654726780951,0.3321533203125,512,0.0004092704424510632,-43.50284826755524,0.024824105,0.2928416132926941,-2.670104307692308,1258.0
17408,1344,34,12,-0.02641424984904006,-0.02662701904773712,0.2,0.9860309362411499,0.01671318439184688,0.2657470703125,528,0.0004092704424510632,-43.51858627796173,0.016559593,-0.8382470607757568,-2.670104307692308,1258.0
