time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,4219,1,0,,,,,,,,,,,,,
1024,1987,2,0,-0.03138114791363478,-0.03874794766306877,0.2,0.9987809062004089,0.20132641387317562,0.27490234375,16,0.0004092704424510632,-43.967280983924866,0.020975433,-0.608781099319458,,
1536,1694,3,0,-0.02738744267844595,-0.03682751581072807,0.2,0.9998246431350708,0.005232144118053839,0.2999267578125,32,0.0004092704424510632,-43.96098446846008,0.020485938,-0.005670905113220215,-2.934187,1258.0
2048,1575,4,1,-0.02633739629527554,-0.029417989775538445,0.2,0.9995887279510498,0.014490706118522212,0.252197265625,48,0.0004092704424510632,-43.98118305206299,0.013426647,0.007672667503356934,-2.934187,1258.0
2560,1512,5,1,-0.02889018674613908,-0.035868749022483826,0.2,1.000654697418213,0.005820591555675492,0.26611328125,64,0.0004092704424510632,-43.98241698741913,0.01918478,0.0059934258460998535,-2.910845,1258.0
3072,1477,6,2,-0.02901607655803673,-0.03172161430120468,0.2,0.9999639987945557,0.023193666886072606,0.298583984375,80,0.0004092704424510632,-44.00073957443237,0.019627348,0.007857024669647217,-2.910845,1258.0
3584,1450,7,2,-0.025343240151414648,-0.026584234088659286,0.2,0.9992024898529053,0.007634211826371029,0.25048828125,96,0.0004092704424510632,-43.96599316596985,0.01787674,-0.0021970272064208984,-2.910845,1258.0
4096,1429,8,2,-0.02809432818321511,-0.030563583597540855,0.2,0.9983164072036743,0.0022463992499979213,0.2435302734375,112,0.0004092704424510632,-43.94349646568298,0.016045637,0.03453505039215088,-2.86566,1258.0
4608,1414,9,3,-0.030895398696884513,-0.024918125942349434,0.2,0.9997209906578064,0.03629674360854551,0.3233642578125,128,0.0004092704424510632,-43.94647717475891,0.026264627,0.009620606899261475,-2.86566,1258.0
5120,1394,10,3,-0.027000910871720407,-0.03572428226470947,0.2,0.9986339807510376,0.004470155567105394,0.2716064453125,144,0.0004092704424510632,-43.965941429138184,0.01899106,0.33631211519241333,-2.86197225,1258.0
5632,1376,11,4,-0.016799337085103616,0.005750487558543682,0.2,0.9945812225341797,0.042961046448908746,0.1685791015625,160,0.0004092704424510632,-43.87737286090851,0.012817684,0.09301137924194336,-2.86197225,1258.0
6144,1359,12,4,-0.03017500357236713,-0.05409596487879753,0.2,0.9926400780677795,0.003945779284549644,0.2425537109375,176,0.0004092704424510632,-43.77276837825775,0.022595521,0.38375651836395264,-2.86197225,1258.0
6656,1353,13,4,-0.020594481771695428,-0.01734105683863163,0.2,0.9915161728858948,0.0029551734442065936,0.1922607421875,192,0.0004092704424510632,-43.73044490814209,0.01398378,0.27291417121887207,-2.8484132,1258.0
7168,1348,14,5,-0.030696645670104772,-0.03028755821287632,0.2,0.9910522103309631,0.04575657087843865,0.293701171875,208,0.0004092704424510632,-43.70008206367493,0.03260649,0.10847395658493042,-2.8484132,1258.0
7680,1344,15,5,-0.02493365622649435,-0.030462104827165604,0.2,0.9908471703529358,0.006236863468075171,0.280029296875,224,0.0004092704424510632,-43.691516399383545,0.02126884,0.14282816648483276,-2.804740333333333,1258.0
8192,1340,16,6,-0.021889749070396647,-0.02061854861676693,0.2,0.9883840084075928,0.05438573798164725,0.2265625,240,0.0004092704424510632,-43.65516209602356,0.015825495,0.23998814821243286,-2.804740333333333,1258.0
8704,1339,17,6,-0.02737277516280301,-0.03939557820558548,0.2,0.989187479019165,0.00673514590744162,0.2818603515625,256,0.0004092704424510632,-43.61058068275452,0.021468496,0.2767401933670044,-2.804740333333333,1258.0
9216,1337,18,6,-0.027754037073464133,-0.04456662759184837,0.2,0.9902790784835815,0.003012255678186193,0.2469482421875,272,0.0004092704424510632,-43.653533577919006,0.018065562,0.14461225271224976,-2.810228,1258.0
9728,1334,19,7,-0.02392268278345,-0.019867083057761192,0.2,0.9921836853027344,0.05444656644249335,0.253662109375,288,0.0004092704424510632,-43.69336128234863,0.022424262,0.13015294075012207,-2.810228,1258.0
10240,1333,20,7,-0.02383904327871278,-0.03215013071894646,0.2,0.993737518787384,0.011761676665628329,0.2042236328125,304,0.0004092704424510632,-43.74447822570801,0.016719744,-1.1294448375701904,-2.8229945,1258.0
10752,1331,21,8,-0.025711655893246643,-0.0014859791845083237,0.2,0.991425096988678,0.058421221445314586,0.2728271484375,320,0.0004092704424510632,-43.74794888496399,0.021591198,0.24706655740737915,-2.8229945,1258.0
11264,1330,22,8,-0.02658562973374501,-0.03927210345864296,0.2,0.9916165471076965,0.006160870572784916,0.2469482421875,336,0.0004092704424510632,-43.68613159656525,0.02352168,-0.20440459251403809,-2.8229945,1258.0
11776,1329,23,8,-0.020748583221575245,-0.037803590297698975,0.2,0.9921492338180542,0.0042849636665778235,0.1864013671875,352,0.0004092704424510632,-43.71009016036987,0.015756182,-0.00888967514038086,-2.810919,1258.0
12288,1327,24,9,-0.027400872204452753,-0.022473106160759926,0.2,0.9931308031082153,0.06209302099887282,0.258056640625,368,0.0004092704424510632,-43.730934500694275,0.026674617,0.09560692310333252,-2.810919,1258.0
12800,1327,25,9,-0.0313867770601064,-0.047576360404491425,0.2,0.9936639070510864,0.006378990859957412,0.308349609375,384,0.0004092704424510632,-43.75488066673279,0.024596348,-1.3540973663330078,-2.7937514,1258.0
13312,1322,26,10,-0.025188777115545236,-0.005423089489340782,0.2,0.9932172298431396,0.06838750152383,0.2786865234375,400,0.0004092704424510632,-43.75936532020569,0.023191938,0.15089374780654907,-2.7937514,1258.0
